Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
INS 101E,Technical Drawing,"Sibel Gürel, Bahar Ayhan Tezer",Perşembe Cuma,1130/1229 1030/1229,INB INB,50,50,INS INSE,24930,2018 - 2019 Bahar Dönemi
INS 106,İnşaat Müh. İçin Yerbilimi,Yılmaz Mahmutoğlu,Çarşamba,1030/1229,INB,55,55,INS,24217,2018 - 2019 Bahar Dönemi
INS 106,İnşaat Müh. İçin Yerbilimi,Erkan Bozkurtoğlu,Salı,0830/1029,INB,55,55,INS,24216,2018 - 2019 Bahar Dönemi
INS 106,İnşaat Müh. İçin Yerbilimi,Remzi Karagüzel,Pazartesi,1030/1229,INB,55,55,INS,24215,2018 - 2019 Bahar Dönemi
INS 106,İnşaat Müh. İçin Yerbilimi,Enver Vural Yavuz,Pazartesi,1030/1229,INB,55,55,INS,24214,2018 - 2019 Bahar Dönemi
INS 106E,Earth Science for Civil Engin.,Nurgül Çelik Balcı,Çarşamba,1030/1229,INB,50,50,INS INSE,24218,2018 - 2019 Bahar Dönemi
INS 106E,Earth Science for Civil Engin.,Ziyadin Çakır,Salı,0830/1029,INB,50,50,INS INSE,24219,2018 - 2019 Bahar Dönemi
INS 107E,Int. to Prog. Lang. (Python),Cem Demir,Salı Çarşamba,1130/1229 0830/1029,INB INB,65,65,INS INSE,24220,2018 - 2019 Bahar Dönemi
INS 201,Malzeme Bilimi,Ayda Şafak Ağar Özbek,Çarşamba Cuma,1030/1129 1030/1229,INB INB,46,45,INS,24695,2018 - 2019 Bahar Dönemi
INS 201E,Materials Science,"Yılmaz Akkaya, Oğuz Güneş",Çarşamba Cuma,1030/1129 1030/1229,INB INB,43,45,INS INSE,24697,2018 - 2019 Bahar Dönemi
INS 214E,Partial Differential Equations,Teoman Özer,Salı Çarşamba,1030/1129 1130/1329,INB INB,22,60,INS INSE PETE,22782,2018 - 2019 Bahar Dönemi
INS 228,Yapı Malzemesi,Özgür Ekincioğlu,Çarşamba Perşembe,0830/1029 0830/1029,INB INB,45,45,INS,24715,2018 - 2019 Bahar Dönemi
INS 228,Yapı Malzemesi,Hasan Yıldırım,Çarşamba Perşembe,0830/1029 0830/1029,INB INB,45,45,INS,24713,2018 - 2019 Bahar Dönemi
INS 228,Yapı Malzemesi,Özkan Şengül,Pazartesi Salı,1030/1229 0830/1029,INB INB,25,45,INS,24709,2018 - 2019 Bahar Dönemi
INS 228,Yapı Malzemesi,Yılmaz Akkaya,Pazartesi Salı,1030/1229 0830/1029,INB INB,22,45,INS,24700,2018 - 2019 Bahar Dönemi
INS 228,Yapı Malzemesi,Ünal Anıl Doğan,Pazartesi Perşembe,0830/1029 1030/1229,INB INB,44,45,INS,24705,2018 - 2019 Bahar Dönemi
INS 228E,Building Materials,Mustafa Hulusi Özkul,Pazartesi Salı,1030/1229 0830/1029,INB INB,24,45,INS INSE,24719,2018 - 2019 Bahar Dönemi
INS 228E,Building Materials,Oğuz Güneş,Pazartesi Perşembe,0830/1029 1030/1229,INB INB,33,45,INS INSE,24725,2018 - 2019 Bahar Dönemi
INS 252,Ölçme Bilgisi,Şinasi Kaya,Perşembe,1330/1729,INB,19,35,INS,21362,2018 - 2019 Bahar Dönemi
INS 252,Ölçme Bilgisi,Nebiye Musaoğlu,Salı,1330/1729,INB,27,35,INS,21360,2018 - 2019 Bahar Dönemi
INS 252,Ölçme Bilgisi,Hasan Hakan Yavaşoğlu,Salı,1330/1729,INB,35,35,INS,21324,2018 - 2019 Bahar Dönemi
INS 252,Ölçme Bilgisi,Ahmet Özgür Doğru,Salı,1330/1729,INB,29,35,INS,21319,2018 - 2019 Bahar Dönemi
INS 252,Ölçme Bilgisi,Mustafa Yanalak,Salı,1330/1729,INB,35,35,INS,21302,2018 - 2019 Bahar Dönemi
INS 252,Ölçme Bilgisi,Hayri Hakan Denli,Pazartesi,1330/1729,INB,36,36,INS,21303,2018 - 2019 Bahar Dönemi
