Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
JEO 112,Genel Jeoloji,Kürşad Kadir Eriş,Cuma,0830/1129,MDB,50,49,MAD MADM,22227,2018 - 2019 Bahar Dönemi
JEO 112E,General Geology,--,Perşembe,0830/1129,MDB,0,0,MADE,22232,2018 - 2019 Bahar Dönemi
JEO 121,Yer Bilimlerinde Tasarım,Enver Vural Yavuz,Cuma,0830/1129,MDB,50,52,JEF,22031,2018 - 2019 Bahar Dönemi
JEO 211,Mineraloji,Recep Fahri Esenli,Perşembe,0830/1129,MDB,52,55,JEO JEOM,22011,2018 - 2019 Bahar Dönemi
JEO 211,Mineraloji,Zekiye Karacık,Pazartesi,0830/1129,MDB,6,35,JEO JEOM,22012,2018 - 2019 Bahar Dönemi
JEO 214E,Magm. & Metamor. Rocks Petrog.,Şafak Altunkaynak,Salı,1330/1729,MDB,31,33,JEO,22013,2018 - 2019 Bahar Dönemi
JEO 214E,Magm. & Metamor. Rocks Petrog.,Şafak Altunkaynak,Pazartesi Salı,1230/1429 1130/1329,MDB MDB,12,30,JEO,22014,2018 - 2019 Bahar Dönemi
JEO 218,Jeolojide Termodinamik,Murat Budakoğlu,Salı,0830/1129,MDB,50,60,JEO,21959,2018 - 2019 Bahar Dönemi
JEO 222,Jeomekanik,Yılmaz Mahmutoğlu,Cuma,0830/1229,MDB,20,20,JEF JEO JEOM,25239,2018 - 2019 Bahar Dönemi
JEO 222E,Geomechanics,Ziyadin Çakır,Çarşamba,1130/1529,MDB,18,20,JEO JEOE JEOM,22016,2018 - 2019 Bahar Dönemi
JEO 242E,Optical Mineralogy,Zekiye Karacık,Çarşamba,0830/1129,MDB,11,20,JEO JEOE,22017,2018 - 2019 Bahar Dönemi
JEO 254,Yapısal Jeolojiye Giriş,Cenk Yaltırak,Perşembe,1330/1529,MDB,49,50,JEF,22085,2018 - 2019 Bahar Dönemi
JEO 256E,Structural Geology,Aral Okay,Perşembe,1330/1629,MDB,55,60,JEO JEOE JEOM,21962,2018 - 2019 Bahar Dönemi
JEO 262E,Stratigraphy,Boris Nataline,Perşembe,1330/1529,MDB,15,40,JEO JEOE JEOM,22021,2018 - 2019 Bahar Dönemi
JEO 263,Ölçme Bilgisi,Yunus Kalkan,Pazartesi,1430/1729,INB,35,60,JEO,21966,2018 - 2019 Bahar Dönemi
JEO 272E,Thermodynamics in Geology,Emin Çiftçi,Salı,0930/1129,MDB,5,60,JEO JEOE,22024,2018 - 2019 Bahar Dönemi
JEO 312,Saha Jeoloji,"Gürsel Sunal, Cengiz Zabcı",Pazartesi,1330/1729,MDB,32,60,JEO JEOM,21932,2018 - 2019 Bahar Dönemi
JEO 315,Jeolojide Arz. ve Hrta Tekn.,Ufuk Tarı,Çarşamba,1230/1529,MDB,25,50,JEF,22086,2018 - 2019 Bahar Dönemi
JEO 315E,Field & Mapping Tech.in Geol.,Cengiz Zabcı,Çarşamba,1230/1529,MDB,2,10,JEFE,22300,2018 - 2019 Bahar Dönemi
JEO 316,Kıymetli Mineral ve Kayaçlar,Mehmet Sezai Kırıkoğlu,Pazartesi,0930/1229,MDB,26,30,JEO,22026,2018 - 2019 Bahar Dönemi
JEO 322E,Hydrogeology,Cengiz Zabcı,Salı,0830/1229,MDB,47,60,JEO JEOE JEOM,22023,2018 - 2019 Bahar Dönemi
JEO 326,Yapı Gereçleri Jeolojisi,--,Cuma,1430/1729,MDB,0,0,JEO,22028,2018 - 2019 Bahar Dönemi
JEO 328E,Geological Maps &Cartography;,Hüsnü Serdar Akyüz,Pazartesi,0930/1229,MDB,30,30,JEO JEOE PETE,22029,2018 - 2019 Bahar Dönemi
JEO 331,Petrografi,Şenel Özdamar,Perşembe,0830/1129,MDB,33,50,MAD,22060,2018 - 2019 Bahar Dönemi
JEO 331E,Petrography,--,Çarşamba,1230/1529,MDB,0,0,MADE,22282,2018 - 2019 Bahar Dönemi
JEO 332E,Petrology,Aral Okay,Salı,1330/1529,MDB,5,20,JEO JEOE,22045,2018 - 2019 Bahar Dönemi
JEO 334E,Subsurface Geology,"Gürsel Sunal, Cengiz Zabcı",Cuma,1430/1729,MDB,17,30,JEO JEOE PETE,22030,2018 - 2019 Bahar Dönemi
JEO 338,Maden Aramaları,Demet Yıldırım,Pazartesi,0930/1229,MDB,9,30,JEO,22032,2018 - 2019 Bahar Dönemi
JEO 341E,Sedimentology,Gülsen Uçarkuş,Çarşamba,1230/1529,MDB,26,40,JEO JEOE,21999,2018 - 2019 Bahar Dönemi
JEO 346,Kaya Mekaniği,--,Perşembe,0930/1229,MDB,0,0,JEO,22000,2018 - 2019 Bahar Dönemi
JEO 347E,Applied Rock Mechanics,Ziyadin Çakır,Perşembe,0930/1229,MDB,34,34,JEO JEOE,22001,2018 - 2019 Bahar Dönemi
JEO 348,Sedimanter Kayaç Petrografisi,Hüsnü Serdar Akyüz,Cuma,0930/1229,MDB,26,30,JEO,22003,2018 - 2019 Bahar Dönemi
JEO 348,Sedimanter Kayaç Petrografisi,Kürşad Kadir Eriş,Çarşamba,0830/1129,MDB,15,30,JEO,22002,2018 - 2019 Bahar Dönemi
JEO 412,Endüstriyel Hammaddeler,"Mehmet Sezai Kırıkoğlu, Demet Yıldırım",Çarşamba,0830/1129,MDB,28,40,JEO JEOM,22004,2018 - 2019 Bahar Dönemi
JEO 412E,Industrial Materials,Emin Çiftçi,Çarşamba,0830/1129,MDB,14,40,JEO JEOE,22005,2018 - 2019 Bahar Dönemi
JEO 416,Kömür Yatakları,--,Perşembe,1430/1729,MDB,0,0,JEO,22006,2018 - 2019 Bahar Dönemi
JEO 418E,Hydrogeochemistry,--,Perşembe,1430/1729,MDB,0,0,JEO JEOE,22007,2018 - 2019 Bahar Dönemi
JEO 424,Volkanoloji,--,Cuma,1430/1729,MDB,0,0,JEO,22008,2018 - 2019 Bahar Dönemi
JEO 438,Çevre Jeolojisi,Remzi Karagüzel,Cuma,1430/1729,MDB,29,30,JEF JEO,22009,2018 - 2019 Bahar Dönemi
JEO 445E,Petroleum and Natural Gas Geo.,--,Cuma,1430/1729,MDB,0,0,JEO JEOE,22010,2018 - 2019 Bahar Dönemi
JEO 446E,Enviromental Geochemistry,Nurgül Çelik Balcı,Cuma,1430/1729,MDB,6,30,JEO JEOE PETE,22034,2018 - 2019 Bahar Dönemi
JEO 448E,Neotectonics,--,Perşembe,1430/1729,MDB,0,0,JEO JEOE,22036,2018 - 2019 Bahar Dönemi
JEO 492,Bitirme Tasarım Projesi,Ziyadin Çakır,----,/,---,15,100,JEO,21935,2018 - 2019 Bahar Dönemi
JEO 492E,Graduation Desing Project,Ziyadin Çakır,----,/,---,10,100,JEO JEOE,21937,2018 - 2019 Bahar Dönemi
