Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MET 214,Çözelti Termodinamiğinin Tem.,Süheyla Aydın,Salı,0830/1129,KMB,82,82,MET,21597,2018 - 2019 Bahar Dönemi
MET 214E,Fund. of Sol. Thermodynamics,Nuri Solak,Perşembe,1330/1629,KMB,64,80,METE,21600,2018 - 2019 Bahar Dönemi
MET 224,Faz Denge Diyagramları,Nuri Solak,Perşembe,1030/1329,KMB,87,90,MET,21604,2018 - 2019 Bahar Dönemi
MET 224E,Phase Equilibrium Diagrams,Nuri Solak,Salı,0830/1129,KMB,77,90,METE,21605,2018 - 2019 Bahar Dönemi
MET 228,Malzeme Kimyası,Servet İbrahim Timur,Pazartesi,1330/1529,KMB,86,90,MET,21607,2018 - 2019 Bahar Dönemi
MET 228E,Materials Chemistry,Nuri Solak,Çarşamba,0830/1029,KMB,71,90,METE,21608,2018 - 2019 Bahar Dönemi
MET 232,Malzeme Bilimi II,Muhammet Kürşat Kazmanlı,Pazartesi,0930/1229,KMB,1,0,FIZ MET,21610,2018 - 2019 Bahar Dönemi
MET 244,Mlz.Statik&Dinamik; Mukavemeti,Murat Baydoğan,Cuma,0930/1229,KMB,35,95,GID MET,21611,2018 - 2019 Bahar Dönemi
MET 244E,Sta&Dyn.; Strength o..,Necip Ünlü,Cuma,0830/1129,KMB,23,70,GID GIDE METE,21613,2018 - 2019 Bahar Dönemi
MET 246,Malzeme Fiziği,Muhammet Kürşat Kazmanlı,Çarşamba,1330/1529,KMB,90,90,MET,21621,2018 - 2019 Bahar Dönemi
MET 246E,Materials Physics,Hüseyin Kızıl,Çarşamba,1330/1529,KMB,78,78,METE,21624,2018 - 2019 Bahar Dönemi
MET 248E,Mass & Energy Balance,"Cüneyt Arslan, Cevat Bora Derin",Pazartesi,1530/1729,KMB,142,142,MET METE,21627,2018 - 2019 Bahar Dönemi
MET 252,Mlz.Sta. ve Dinamik Mukavemeti,Murat Baydoğan,Cuma,0930/1229,KMB,53,95,MET,21615,2018 - 2019 Bahar Dönemi
MET 252E,Sta and Dyn. Strng ofMaterials,Necip Ünlü,Cuma,0830/1129,KMB,45,70,METE,21619,2018 - 2019 Bahar Dönemi
MET 326,Kimyasal Metalurji II,"Mahmut Ercan Açma, Servet İbrahim Timur",Pazartesi,0830/1129,KMB,70,80,MET,21628,2018 - 2019 Bahar Dönemi
MET 326E,Chemical Metallurgy II,"Onuralp Yücel, Cevat Bora Derin, Mehmet Şeref Sönmez",Pazartesi,0830/1129,KMB,62,80,METE,21630,2018 - 2019 Bahar Dönemi
MET 328E,Introduction to Biomaterials,"Gültekin Göller, İpek Akın Karadayı",Pazartesi,1330/1529,KMB,130,130,MET METE,21633,2018 - 2019 Bahar Dönemi
MET 344E,Mech. Properties of Materials,"Hüseyin Çimenoğlu, Murat Baydoğan",Perşembe,1130/1329,KMB,142,142,MET METE,21635,2018 - 2019 Bahar Dönemi
MET 346,Met.&Malz.Pros.Mod.;&Sim.;,"Cüneyt Arslan, Sebahattin Gürmen",Perşembe,0830/1029,KMB,65,75,MET,21637,2018 - 2019 Bahar Dönemi
MET 346E,Mod.&Sim.of; Met.&Mat.Process;,"Cüneyt Arslan, Sebahattin Gürmen",Salı,0830/1029,KMB,52,65,METE,21638,2018 - 2019 Bahar Dönemi
MET 348,Kalite Mühendisliği,İsmail Yılmaz Taptık,Salı,1330/1529,KMB,65,70,MET,21640,2018 - 2019 Bahar Dönemi
MET 348E,Quality Engineering,Özgül Keleş,Perşembe,1330/1529,KMB,66,68,METE,21642,2018 - 2019 Bahar Dönemi
MET 364,Ekstraktif Metalurji Lab.,"Güldem Kartal Şireli, Cevat Fahir Arısoy, Cüneyt Arslan, Hüseyin Kızıl, Hüseyin Çimenoğlu, Mahmut Ercan Açma, Muhammet Kürşat Kazmanlı, Mustafa Kelami Şeşen, Mustafa Lutfi Öveçoğlu, Onuralp Yücel, Servet İbrahim Timur, Süheyla Aydın, Ömer Serdar Özgen, İpek Akın Karadayı, İsmail Yılmaz Taptık",Çarşamba,0830/1029,KMB,67,70,MET,21643,2018 - 2019 Bahar Dönemi
MET 364E,Extractive Metallurgy Lab.,"Cevat Bora Derin, Burak Özkal, Filiz Şahin, Gültekin Göller, Mehmet Şeref Sönmez, Murat Baydoğan, Mustafa Kamil Ürgen, Necip Ünlü, Nuri Solak, Sebahattin Gürmen, Özgül Keleş",Çarşamba,1330/1529,KMB,53,70,METE,21644,2018 - 2019 Bahar Dönemi
MET 366E,Energy Materials,"Onuralp Yücel, Sebahattin Gürmen, Özgül Keleş",Cuma,0830/1029,KMB,58,75,MET METE,21645,2018 - 2019 Bahar Dönemi
MET 368,Metalik Toz. Üretim Teknikleri,Burak Özkal,Cuma,0830/1029,KMB,31,50,MET,21646,2018 - 2019 Bahar Dönemi
MET 368E,Product.Tec. of Metallic Powd.,Burak Özkal,Cuma,1030/1229,KMB,32,40,METE,21647,2018 - 2019 Bahar Dönemi
