Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MRT 312,OnBoardTrain.(ShpOpr..,Tanzer Satır,----,/,DZB,2,10,SDU,21800,2018 - 2019 Bahar Dönemi
MRT 314,Sea Project,Tanzer Satır,----,/,DZB,2,10,SDU,21794,2018 - 2019 Bahar Dönemi
MRT 402,Marine Insurance,Hakan Muran,Perşembe,1130/1429,DZB,3,10,SDU,21831,2018 - 2019 Bahar Dönemi
MRT 406,Chartering,Münip Baş,Salı,0830/1029,DZB,3,40,SDU SGM,21812,2018 - 2019 Bahar Dönemi
MRT 408,License Seminar,Muhsin Kadıoğlu,Çarşamba,1030/1429,DZB,3,10,SDU SGM,21830,2018 - 2019 Bahar Dönemi
MRT 410,Port and Terminal Operations,Tanzer Satır,Perşembe,1430/1729,DZB,3,10,SDU SGM,21884,2018 - 2019 Bahar Dönemi
MRT 412,Management Seminar,Levent Kırval,Salı,1130/1429,DZB,3,10,SDU,21806,2018 - 2019 Bahar Dönemi
MRT 414,Physical Education II,Yusuf Nejat Koçar,Çarşamba,0830/1029,DZB,3,10,SDU,21907,2018 - 2019 Bahar Dönemi
MRT 422,Bridge Resource Management,"Özcan Arslan, Emre Akyüz",Pazartesi,0830/1329,DZB,3,20,SDU,21775,2018 - 2019 Bahar Dönemi
MRT 492,Graduation Project,Tanzer Satır,----,/,DZB,0,10,SDU,21802,2018 - 2019 Bahar Dönemi
MRT 492,Graduation Project,Tanzer Satır,Cuma,/,---,3,100,SDU,21906,2018 - 2019 Bahar Dönemi
