Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
PAZ 104,Fabric Development,"Cevza Candan, Senem Kurşun Bahadır",Pazartesi,1330/1729,MKB,7,40,STP,22544,2018 - 2019 Bahar Dönemi
PAZ 106,Color Creat.&Sustain..,Nevin Çiğdem Gürsoy,Pazartesi,0830/1229,MKB,10,40,STP,22545,2018 - 2019 Bahar Dönemi
PAZ 108,Excel for Business,Nazan Okur,Çarşamba,0930/1229,MKB,11,40,STP,22549,2018 - 2019 Bahar Dönemi
PAZ 110,America At Home:1900-Contemp.,"Şükriye Yüksel Filiz, Belgin Görgün",Cuma,0930/1229,MKB,10,40,STP,22550,2018 - 2019 Bahar Dönemi
PAZ 132,Apparel/Home Tex.Prod.Mfg.,Senem Kurşun Bahadır,Salı,1330/1629,MKB,10,40,STP,22542,2018 - 2019 Bahar Dönemi
PAZ 208,Internship-Career Exploration,Osman Bülent Özipek,Salı,1330/1729,MKB,3,40,STP,22556,2018 - 2019 Bahar Dönemi
PAZ 210,The Forensics of Fiber Analy.,Hale Karakaş,Çarşamba,0830/1229,MKB,3,40,STP,22554,2018 - 2019 Bahar Dönemi
PAZ 214,Textile Value Chain Marketing,Canan Sarıçam,Cuma,1330/1629,MKB,3,40,STP,22552,2018 - 2019 Bahar Dönemi
PAZ 216,Performance Textiles,Nazan Okur,Cuma,0830/1229,MKB,3,40,STP,22555,2018 - 2019 Bahar Dönemi
PAZ 217,Public Speaking,--,Cuma,0830/1129,MKB,0,0,SMT STP,22518,2018 - 2019 Bahar Dönemi
PAZ 231,Macroeconomics,Mete Han Yağmur,Perşembe,1330/1629,MKB,7,40,SMT STP,22584,2018 - 2019 Bahar Dönemi
PAZ 331,Nonwovens,"Ömer Berk Berkalp, İlkay Özsev Yüksek",Perşembe,1030/1229,MKB,10,40,STP,22547,2018 - 2019 Bahar Dönemi
