Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
PHY 102,Physics II,--,Salı Çarşamba,0830/1129 1030/1229,EEB FEB,0,0,SEN,25083,2018 - 2019 Bahar Dönemi
PHY 108,Physics II,Aytekin Tüblek,Cuma,1330/1629,GDB,32,50,DUIK GEMK GMIK MEN MTM NAE,23237,2018 - 2019 Bahar Dönemi
PHY 108,Physics II,Banu Tansel,Salı,0830/1129,DZB,58,70,DUIK GEMK GMIK MEN MTM NAE,21861,2018 - 2019 Bahar Dönemi
PHY 108L,Physics II Lab.,Aytekin Tüblek,Çarşamba,1130/1329,GDB,23,50,DUIK GEMK GMIK MEN MTM NAE,23239,2018 - 2019 Bahar Dönemi
PHY 108L,Physics II Lab.,Banu Tansel,Salı,1130/1329,DZB,50,50,DUIK GEMK GMIK MEN MTM NAE,21862,2018 - 2019 Bahar Dönemi
PHY 124,Physics II,Yaşar Yılmaz,Pazartesi,0830/1129,EEB,14,30,EHN SEH,21102,2018 - 2019 Bahar Dönemi
PHY 124L,Physics II Lab,Yaşar Yılmaz,Çarşamba,1330/1529,EEB,14,30,EHN SEH,21104,2018 - 2019 Bahar Dönemi
PHY 126,Physics II,Haluk Özbek,Salı,0830/1129,FEB,30,30,MBI SBL SEN SIN,25381,2018 - 2019 Bahar Dönemi
PHY 126,Physics II,Cenap Şahabettin Özben,Pazartesi,1430/1729,FEB,40,40,MBI SIN,25080,2018 - 2019 Bahar Dönemi
PHY 126,Physics II,Yakup Hundur,Pazartesi,1430/1729,KMB,12,25,MBI SIN,25079,2018 - 2019 Bahar Dönemi
PHY 126L,Physics II Laboratory,--,Çarşamba,1130/1329,FEB,1,0,MBI SIN,25082,2018 - 2019 Bahar Dönemi
PHY 126L,Physics II Laboratory,Cenap Şahabettin Özben,Çarşamba,1030/1229,FEB,17,25,MBI SBL SEN SGM SIN,25470,2018 - 2019 Bahar Dönemi
PHY 126L,Physics II Laboratory,Haluk Özbek,Çarşamba,1030/1229,FEB,30,30,MBI SBL SEN SGM SIN,25385,2018 - 2019 Bahar Dönemi
PHY 126L,Physics II Laboratory,Yakup Hundur,Çarşamba,0830/1029,FEB,27,40,MBI SIN,25081,2018 - 2019 Bahar Dönemi
