Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
TEK 114E,Fiber Science,"Hale Karakaş, Özgür Atalay",Çarşamba Perşembe,1330/1529 1030/1229,MKB MKB,40,40,TEK TEKE TEKM,22462,2018 - 2019 Bahar Dönemi
TEK 114E,Fiber Science,İkilem Göcek,Salı Perşembe,1330/1529 0830/1029,MKB MKB,4,40,TEK TEKE TEKM,22460,2018 - 2019 Bahar Dönemi
TEK 234E,Weaving Technology I,İlkay Özsev Yüksek,Salı,0930/1229,MKB,35,35,TEKE TEKM,22470,2018 - 2019 Bahar Dönemi
TEK 234E,Weaving Technology I,Burçak Karagüzel Kayaoğlu,Pazartesi,1330/1629,MKB,32,35,TEKE TEKM,22468,2018 - 2019 Bahar Dönemi
TEK 254E,Knitting Technology,Nuray Uçar,Salı,1330/1629,MKB,33,40,TEKE TEKM,22473,2018 - 2019 Bahar Dönemi
TEK 254E,Knitting Technology,Cevza Candan,Salı,1330/1629,MKB,40,40,TEKE TEKM,22471,2018 - 2019 Bahar Dönemi
TEK 308E,Yarn Technology II,"Yeşim Beceren, Fatma Banu Nergis",Çarşamba Perşembe,1030/1229 1030/1229,MKB MKB,21,35,TEKE,22478,2018 - 2019 Bahar Dönemi
TEK 308E,Yarn Technology II,"Nazan Okur, Osman Bülent Özipek",Pazartesi Pazartesi,0830/1029 1330/1529,MKB MKB,45,45,TEKE,22476,2018 - 2019 Bahar Dönemi
TEK 316E,Int.toColoration&Fin..,Gülay Özcan,Salı Perşembe,1030/1229 0830/1029,MKB MKB,14,35,TEK TEKE TEKM,22475,2018 - 2019 Bahar Dönemi
TEK 316E,Int.toColoration&Fin..,Berdan Kalav,Salı Çarşamba,0830/1029 1330/1529,MKB MKB,35,35,TEK TEKE TEKM,22474,2018 - 2019 Bahar Dönemi
TEK 352E,Weaving Technology II,Ömer Berk Berkalp,Pazartesi Cuma,1030/1229 0930/1129,MKB MKB,35,35,TEK TEKE TEKM,22480,2018 - 2019 Bahar Dönemi
TEK 352E,Weaving Technology II,Emel Önder Karaoğlu,Pazartesi Cuma,1030/1229 0930/1129,MKB MKB,33,35,TEK TEKE TEKM,22479,2018 - 2019 Bahar Dönemi
TEK 354E,Mathematical Programming,Berdan Kalav,Pazartesi,0930/1229,MKB,21,30,TEK TEKE,22495,2018 - 2019 Bahar Dönemi
TEK 392E,Design in Textile Engineering,Ali Kılıç,Cuma,1130/1229,MKB,63,65,TEKE,22482,2018 - 2019 Bahar Dönemi
TEK 412E,Textile Finishing Processes,Umut Kıvanç Şahin,Cuma,0930/1229,MKB,2,30,TEK TEKE,22500,2018 - 2019 Bahar Dönemi
TEK 414E,Structure&Properties..,Ali Kılıç,Perşembe,0930/1229,MKB,7,30,TEK TEKE,22496,2018 - 2019 Bahar Dönemi
TEK 416E,Garment Design Management,"Selin Hanife Eryürük, Belgin Görgün",Cuma,1330/1629,MKB,30,30,TEK TEKE,22501,2018 - 2019 Bahar Dönemi
TEK 418E,Int. to Technical Textiles,"Ümmühan Telem Gök Sadıkoğlu, İpek Yalçın Eniş",Çarşamba,0930/1229,MKB,21,30,TEK TEKE,22497,2018 - 2019 Bahar Dönemi
TEK 419E,Special Woven Fabrics,İlkay Özsev Yüksek,Çarşamba,0930/1229,MKB,0,30,TEK TEKE,25365,2018 - 2019 Bahar Dönemi
TEK 422E,Dyeing &Printing; Technologies,Berdan Kalav,Perşembe,1330/1629,MKB,17,30,TEK TEKE,22498,2018 - 2019 Bahar Dönemi
TEK 424E,Design of Knitted Fabrics,"Cevza Candan, Nuray Uçar",Pazartesi,0930/1229,MKB,0,30,TEK TEKE,22499,2018 - 2019 Bahar Dönemi
TEK 426E,Quality Cnt in Tex. ..,Canan Sarıçam,Perşembe,0930/1229,MKB,4,30,TEK TEKE,22502,2018 - 2019 Bahar Dönemi
TEK 434E,Int.toSmart Tex.&Wea..,Senem Kurşun Bahadır,Pazartesi,0930/1229,MKB,23,30,TEK TEKE,25232,2018 - 2019 Bahar Dönemi
TEK 458E,Knitted Apparel Production,Belgin Görgün,Pazartesi,1330/1629,MKB,0,30,TEK TEKE,22503,2018 - 2019 Bahar Dönemi
TEK 466E,Heat Transfer,Sena Duru,Cuma,1330/1629,MKB,55,55,TEK TEKE,22505,2018 - 2019 Bahar Dönemi
TEK 478E,Colour Analysis,Nevin Çiğdem Gürsoy,Pazartesi,1330/1629,MKB,22,30,TEK TEKE,22504,2018 - 2019 Bahar Dönemi
TEK 492,Bitirme Tasarım Projesi,Ömer Berk Berkalp,----,/,---,0,100,TEK,22507,2018 - 2019 Bahar Dönemi
TEK 492E,Senior Design Project,Ömer Berk Berkalp,----,/,---,39,100,TEK TEKE,22508,2018 - 2019 Bahar Dönemi
