Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
TES 121E,Project II,--,Pazartesi Perşembe,0830/1229 0830/1229,MMB MMB,3,500,EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,24666,2018 - 2019 Bahar Dönemi
TES 121E,Project II,İmge Akçakaya Waite,Pazartesi Perşembe,0830/1229 0830/1229,MMB MMB,21,0,EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,23950,2018 - 2019 Bahar Dönemi
TES 121E,Project II,Eren Kürkçüoğlu,Pazartesi Perşembe,0830/1229 0830/1229,MMB MMB,21,0,EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,23949,2018 - 2019 Bahar Dönemi
TES 121E,Project II,Hasan Serdar Kaya,Pazartesi Perşembe,0830/1229 0830/1229,MMB MMB,21,0,EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,23948,2018 - 2019 Bahar Dönemi
TES 121E,Project II,Eda Beyazıt,Pazartesi Perşembe,0830/1229 0830/1229,MMB MMB,11,0,EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,23947,2018 - 2019 Bahar Dönemi
TES 121E,Project II,Hatice Ayataç,Pazartesi Perşembe,0830/1229 0830/1229,MMB MMB,21,0,EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,23946,2018 - 2019 Bahar Dönemi
TES 121E,Project II,Bahadır Numan,Pazartesi Perşembe,0830/1229 0830/1229,MMB MMB,21,0,EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,23942,2018 - 2019 Bahar Dönemi
TES 121E,Project II,Ethem Gürer,Pazartesi Perşembe,0830/1229 0830/1229,MMB MMB,28,0,EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,23941,2018 - 2019 Bahar Dönemi
TES 121E,Project II,Muhammed Ali Örnek,Pazartesi Perşembe,0830/1229 0830/1229,MMB MMB,21,0,EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,23918,2018 - 2019 Bahar Dönemi
TES 121E,Project II,Melih Bozkurt,Pazartesi Perşembe,0830/1229 0830/1229,MMB MMB,21,0,EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,23917,2018 - 2019 Bahar Dönemi
TES 121E,Project II,Fatma Pınar Özemir,Pazartesi Perşembe,0830/1229 0830/1229,MMB MMB,28,0,EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,23894,2018 - 2019 Bahar Dönemi
TES 121E,Project II,Demet Günal Ertaş,Pazartesi Perşembe,0830/1229 0830/1229,MMB MMB,28,0,EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,23893,2018 - 2019 Bahar Dönemi
TES 121E,Project II,Sema Alaçam,Pazartesi Perşembe,0830/1229 0830/1229,MMB MMB,21,0,EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,23844,2018 - 2019 Bahar Dönemi
TES 121E,Project II,Nizam Onur Sönmez,Pazartesi Perşembe,0830/1229 0830/1229,MMB MMB,21,0,EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,23843,2018 - 2019 Bahar Dönemi
