Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ALM 101,Almanca I (Kredisiz),--,Perşembe,1330/1729,DIB,0,0,Tüm Lisans ve Lisansüstü Programlar,10063,2018 - 2019 Güz Dönemi
ALM 101,Almanca I (Kredisiz),--,Perşembe,0830/1229,DIB,0,0,Tüm Lisans ve Lisansüstü Programlar,10060,2018 - 2019 Güz Dönemi
ALM 101,Almanca I (Kredisiz),--,Salı,1330/1729,MEDB,0,0,Tüm Lisans ve Lisansüstü Programlar,10075,2018 - 2019 Güz Dönemi
ALM 101,Almanca I (Kredisiz),İnanç Bakkalbaşı,Salı,0830/1229,MED,29,30,Tüm Lisans ve Lisansüstü Programlar,14513,2018 - 2019 Güz Dönemi
ALM 101,Almanca I (Kredisiz),--,Pazartesi,1330/1729,MEDB,0,0,Tüm Lisans ve Lisansüstü Programlar,10074,2018 - 2019 Güz Dönemi
ALM 101,Almanca I (Kredisiz),İnanç Bakkalbaşı,Pazartesi,0830/1229,MED,30,30,Tüm Lisans ve Lisansüstü Programlar,14512,2018 - 2019 Güz Dönemi
ALM 102,Almanca II (Kredisiz),İnanç Bakkalbaşı,Cuma,0830/1229,MED,28,30,Tüm Lisans ve Lisansüstü Programlar,10054,2018 - 2019 Güz Dönemi
ALM 102,Almanca II (Kredisiz),İnanç Bakkalbaşı,Perşembe,0830/1229,MED,29,30,Tüm Lisans ve Lisansüstü Programlar,10052,2018 - 2019 Güz Dönemi
ALM 102,Almanca II (Kredisiz),--,Salı,0830/1229,MED,0,0,Tüm Lisans ve Lisansüstü Programlar,10050,2018 - 2019 Güz Dönemi
ALM 102,Almanca II (Kredisiz),--,Pazartesi,0830/1229,MED,0,0,Tüm Lisans ve Lisansüstü Programlar,10047,2018 - 2019 Güz Dönemi
ALM 201,Almanca III (Kredisiz),--,Çarşamba,0830/1229,DIB,0,0,Tüm Lisans ve Lisansüstü Programlar,10057,2018 - 2019 Güz Dönemi
ALM 201,Almanca III (Kredisiz),Vanessa Zogopoulou,Salı,1330/1729,MEDB,17,30,Tüm Lisans ve Lisansüstü Programlar,14514,2018 - 2019 Güz Dönemi
ALM 201,Almanca III (Kredisiz),--,Salı,1330/1729,DIB,0,0,Tüm Lisans ve Lisansüstü Programlar,10061,2018 - 2019 Güz Dönemi
ALM 202,Almanca IV (Kredisiz),--,Cuma,1330/1729,DIB,0,0,Tüm Lisans ve Lisansüstü Programlar,10065,2018 - 2019 Güz Dönemi
ALM 202,Almanca IV (Kredisiz),Vanessa Zogopoulou,Pazartesi,1330/1729,MEDB,30,30,Tüm Lisans ve Lisansüstü Programlar,14516,2018 - 2019 Güz Dönemi
ALM 301,Almanca V (Kredisiz),Vanessa Zogopoulou,Cuma,1330/1729,MED,26,30,Tüm Lisans ve Lisansüstü Programlar,10079,2018 - 2019 Güz Dönemi
ALM 302,Almanca VI (Kredisiz),Vanessa Zogopoulou,Perşembe,1330/1729,MEDB,25,30,Tüm Lisans ve Lisansüstü Programlar,11746,2018 - 2019 Güz Dönemi
ALM 401,Almanca VII (Kredisiz),Vanessa Zogopoulou,Cuma,0830/1229,FEB,14,30,Tüm Lisans ve Lisansüstü Programlar,14212,2018 - 2019 Güz Dönemi
