Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
FIZ 113,Mekanik,Sevtap Yıldız Özbek,Pazartesi Çarşamba Cuma,0830/1029 0830/1029 0830/0929,FEB FEB FEB,82,75,FIZ FIZM,10520,2018 - 2019 Güz Dönemi
FIZ 113EL,Mechanics Laboratory,Sevtap Yıldız Özbek,Çarşamba,1330/1529,FEB,11,20,FIZ FIZE,10522,2018 - 2019 Güz Dönemi
FIZ 113EL,Mechanics Laboratory,Sevtap Yıldız Özbek,Çarşamba,1030/1229,FEB,54,20,FIZ FIZE,10521,2018 - 2019 Güz Dönemi
FIZ 114E,Physics of Continuous Media,Esra Alveroğlu Durucu,Pazartesi Çarşamba,0830/1029 0830/1029,FEB FEB,37,75,FIZ FIZE FIZM,10414,2018 - 2019 Güz Dönemi
FIZ 115,Fizik Müh. Giriş & Etik,Gönül Eryürek,Pazartesi,1030/1229,FEB,68,85,FIZ,10422,2018 - 2019 Güz Dönemi
FIZ 201,Modern Fizik,Mehmet Murat Sunar,Salı,1330/1629,KMB,79,55,CHZ DEN EHB ELE ELH ELK FIZM GEM JEO KOM MAD MET MTO PET TEL UCK UZB,10484,2018 - 2019 Güz Dönemi
FIZ 201,Modern Fizik,Mehmet Murat Sunar,Pazartesi,1330/1629,FEB,59,55,CHZ DEN EHB ELE ELH ELK FIZM GEM JEO KOM MAD MET MTO PET TEL UCK UZB,10483,2018 - 2019 Güz Dönemi
FIZ 201E,Modern Physics,Mehmet Murat Sunar,Perşembe,1330/1629,FEB,83,55,CHZ CHZE DEN DENE EHB EHBE ELE ELH ELK FIZM GEM GEME GEMK GMI GMIE JEO JEOE KOM KOME MAD MADE METE MTO MTOE PET PETE TEL UCK UCKE UZB UZBE UZBM,10485,2018 - 2019 Güz Dönemi
FIZ 201E,Modern Physics,Metin Hüner,Çarşamba,1230/1529,EEB,40,55,EHB EHBE ELE ELH ELK TEL,11278,2018 - 2019 Güz Dönemi
FIZ 213,Elektrik ve Manyetizma,Cenap Şahabettin Özben,Pazartesi Çarşamba Cuma,0830/1029 0830/1029 0830/0929,FEB FEB FEB,48,75,FIZ FIZM,10409,2018 - 2019 Güz Dönemi
FIZ 214E,Physics of Wave,Oğuzhan Gürlü,Pazartesi Çarşamba Cuma,0830/1029 0830/1029 0830/0929,FEB FEB FEB,36,75,FIZ FIZE FIZM,10497,2018 - 2019 Güz Dönemi
FIZ 214EL,Wave Physics Laboratory,Oğuzhan Gürlü,Cuma,1330/1529,FEB,30,25,FIZ FIZE FIZM,10499,2018 - 2019 Güz Dönemi
FIZ 214EL,Wave Physics Laboratory,Oğuzhan Gürlü,Cuma,1030/1229,FEB,21,25,FIZ FIZE FIZM,10498,2018 - 2019 Güz Dönemi
