Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MTO 101,Meteoroloji Müh. Giriş ve Etik,Ahmet Duran Şahin,Perşembe,1630/1729,UUB,55,40,MTO,12621,2018 - 2019 Güz Dönemi
MTO 111,Atmosfer Bilimlerine Giriş,Hüseyin Toros,Perşembe,0830/1129,UUB,16,35,MTO,12623,2018 - 2019 Güz Dönemi
MTO 111E,Intr. to Atmospheric Sciences,Ceyhan Kahya,Perşembe,0830/1129,UUB,46,35,MTO MTOE,12625,2018 - 2019 Güz Dönemi
MTO 222E,Hydrology,Sevinç Asilhan,Çarşamba Perşembe,1330/1529 1430/1629,UUB UUB,16,35,MTO MTOE,12636,2018 - 2019 Güz Dönemi
MTO 223,Bilgisayar Grafiğine Giriş,Barış Önol,Salı,1430/1729,UUB,47,55,MTO,12928,2018 - 2019 Güz Dönemi
MTO 225,Güneş ve Yer Radyasyonu,Hatice Sema Topçu,Perşembe,1430/1729,UUB,52,55,MTO,12652,2018 - 2019 Güz Dönemi
MTO 227,Ekosistem Ekolojisi,Barış Çaldağ,Pazartesi,1430/1729,UUB,16,15,MTO,12938,2018 - 2019 Güz Dönemi
MTO 241E,Data Analysis,Kasım Koçak,Çarşamba Perşembe,1330/1529 0830/1129,UUB UUB,45,55,MTO MTOE,12650,2018 - 2019 Güz Dönemi
MTO 313E,Fund.of Remote Sens. in Meteo.,Ahmet Öztopal,Salı,1430/1729,UUB,46,50,MTO MTOE,14367,2018 - 2019 Güz Dönemi
MTO 315E,Air Pollution Fundamentals,Ceyhan Kahya,Pazartesi,1430/1729,UUB,14,12,MTO MTOE,12643,2018 - 2019 Güz Dönemi
MTO 321,Hava Analizi ve Öngörü I,Ahmet Öztopal,Pazartesi Salı,1130/1329 0830/1129,UUB UUB,35,40,MTO MTOM,12638,2018 - 2019 Güz Dönemi
MTO 321E,Weather Analysis and Predic. I,Mikdat Kadıoğlu,Pazartesi Salı,1130/1329 0830/1129,UUB UUB,35,35,MTO MTOE,12640,2018 - 2019 Güz Dönemi
MTO 323,Atmosfer Kimyası,Orhan Şen,Salı,1430/1729,UUB,12,12,MTO,12631,2018 - 2019 Güz Dönemi
MTO 323E,Atmospheric Chemistry,Orhan Şen,Çarşamba,0830/1129,UUB,20,13,MTO MTOE,12632,2018 - 2019 Güz Dönemi
MTO 325,Tarım ve Orman Meteorolojisi I,Levent Şaylan,Pazartesi,0830/1129,UUB,3,10,MTO,12637,2018 - 2019 Güz Dönemi
MTO 333,Atmosfer Dinamiği I,Ali Deniz,Salı Perşembe,1130/1329 1230/1429,UUB UUB,44,40,MTO MTOM,12644,2018 - 2019 Güz Dönemi
MTO 333E,Atmospheric Dynamics I,Yurdanur Ünal,Salı Perşembe,1130/1329 1230/1429,UUB UUB,35,35,MTO MTOE,12647,2018 - 2019 Güz Dönemi
MTO 335E,Physics of Upper Atmosphere,Zerefşan Kaymaz,Perşembe,1430/1729,UUB,14,13,FIZ FIZE MTO MTOE,12654,2018 - 2019 Güz Dönemi
MTO 339,Biyometeoroloji,Barış Çaldağ,Çarşamba,0830/1129,UUB,9,10,MTO,12936,2018 - 2019 Güz Dönemi
MTO 345,Tıbbi Meteoroloji,Orhan Şen,Cuma,1330/1629,UUB,12,11,MTO,12920,2018 - 2019 Güz Dönemi
MTO 345E,Medical Meteorology,Orhan Şen,Cuma,0830/1129,UUB,10,10,MTO MTOE,12921,2018 - 2019 Güz Dönemi
MTO 361,Hava Kirliliği Modellemesi,Hüseyin Toros,Cuma,1430/1729,UUB,11,12,MTO,13849,2018 - 2019 Güz Dönemi
MTO 411E,Micrometeorology,Ceyhan Kahya,Çarşamba,0830/1129,UUB,64,60,MTO MTOE MTOM,12966,2018 - 2019 Güz Dönemi
MTO 437E,Physical Climatology,--,Pazartesi,0830/1129,UUB,0,0,MTO MTOE,12923,2018 - 2019 Güz Dönemi
MTO 447,Hidrometri,Kasım Koçak,Salı,0830/1129,UUB,13,13,MTO,12926,2018 - 2019 Güz Dönemi
MTO 451,Oşinografi,--,Cuma,1330/1629,UUB,0,0,MTO,12932,2018 - 2019 Güz Dönemi
MTO 451E,Oceanography,Elçin Tan,Cuma,1330/1629,UUB,16,13,MTO MTOE,14517,2018 - 2019 Güz Dönemi
MTO 457,Enerji Meteorolojisine Giriş,"Hatice Sema Topçu, Şükran Sibel Menteş",Pazartesi,1430/1729,UUB,12,12,MTO,12930,2018 - 2019 Güz Dönemi
MTO 457E,Int. to Energy Meteorology,Ahmet Duran Şahin,Perşembe,1130/1429,UUB,10,10,MTO MTOE,12931,2018 - 2019 Güz Dönemi
MTO 477E,Numerical Weather Prediction,Sevinç Asilhan,Salı,1430/1729,UUB,4,10,MTO MTOE,12963,2018 - 2019 Güz Dönemi
MTO 479E,Climate Change,Yurdanur Ünal,Pazartesi,1430/1729,UUB,10,10,MTO MTOE,12924,2018 - 2019 Güz Dönemi
MTO 489,Çevre Biyofiziği,--,Salı,0830/1129,UUB,0,0,MTO,12929,2018 - 2019 Güz Dönemi
MTO 492,Bitirme Çalışması,Ahmet Duran Şahin,----,/,---,11,500,MTO,12967,2018 - 2019 Güz Dönemi
MTO 492E,Graduation Project,Ahmet Duran Şahin,----,/,---,6,500,MTO MTOE,12968,2018 - 2019 Güz Dönemi
MTO 497,Atmosferde Optik ve Akustik,Deniz Demirhan Barı,Pazartesi,1130/1429,UUB,21,12,FIZ MTO,12965,2018 - 2019 Güz Dönemi
MTO 497E,Atmospheric Optics & Acoustics,Deniz Demirhan Barı,Cuma,0830/1129,UUB,12,12,FIZE MTO MTOE,12964,2018 - 2019 Güz Dönemi
