Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
NAE 201,Practical Training-I,Cemil Yurtören,----,/,GDB,15,40,GEMK NAE,13833,2018 - 2019 Güz Dönemi
NAE 211,Ship Geometry,Devrim Bülent Danışman,Salı,0830/1129,GDB,22,40,GEMK MEN NAE,13752,2018 - 2019 Güz Dönemi
NAE 301,Practical Training-II,Cemil Yurtören,----,/,GDB,5,40,GEMK NAE,13834,2018 - 2019 Güz Dönemi
NAE 311,Ship Theory,Metin Taylan,Pazartesi Çarşamba,0830/1029 0830/1029,GDB GDB,25,40,GEMK NAE,13770,2018 - 2019 Güz Dönemi
NAE 321,Ship Hydrodynamics,Ömer Gören,Salı Perşembe,0830/1029 0930/1229,GDB GDB,21,40,GEMK NAE,13826,2018 - 2019 Güz Dönemi
NAE 331,Methods of Ship Production,Şebnem Helvacıoğlu,Salı,1330/1629,GDB,15,40,GEMK NAE,13753,2018 - 2019 Güz Dönemi
NAE 341,Structural Design of Ships,--,Çarşamba,1230/1529,GDB,0,0,GEMK NAE,13771,2018 - 2019 Güz Dönemi
NAE 401,Practical Training-III,Cemil Yurtören,----,/,GDB,3,40,GEMK NAE,13835,2018 - 2019 Güz Dönemi
NAE 402,Graduation Design Project,Cemil Yurtören,----,/,GDB,3,40,GEMK NAE,13836,2018 - 2019 Güz Dönemi
NAE 411,Ship Design Project I,Barış Barlas,Çarşamba,1030/1229,GDB,9,40,GEMK NAE,13772,2018 - 2019 Güz Dönemi
NAE 421,Ship Motions and Maneuvering,Erdem Üçer,Perşembe,1330/1729,GDB,13,40,GEMK NAE,13827,2018 - 2019 Güz Dönemi
