Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
SBP 103E,Role of Prof.in Sustainability,Azime Tezer,Cuma,0930/1229,MMB,18,30,EUTE ICM MIM MIME PEME SBP SBPE,12813,2018 - 2019 Güz Dönemi
SBP 105E,Other Worlds,Kerem Yavuz Arslanlı,Cuma,0930/1229,MMB,29,35,EUTE ICM MIM MIME PEME SBP SBPE,12815,2018 - 2019 Güz Dönemi
SBP 119,Şehir &B;ölge Plan. ..,Ayşe Lale Berköz,Salı,1330/1529,MMB,61,65,SBP,12810,2018 - 2019 Güz Dönemi
SBP 119E,Int.to Urb.&Regio.Pl..,Aliye Ahu Akgün,Salı,1330/1529,MMB,52,55,SBPE SBPM,12811,2018 - 2019 Güz Dönemi
SBP 205E,Statistics,"Hüseyin Murat Çelik, Kerem Yavuz Arslanlı",Çarşamba,1230/1529,MMB,66,75,SBP SBPE,12838,2018 - 2019 Güz Dönemi
SBP 218,Proje IV,Tüzin Baycan,Salı Cuma,1330/1729 1330/1729,MMB MMB,2,9,SBP,12864,2018 - 2019 Güz Dönemi
SBP 218E,Project IV,Tüzin Baycan,Salı Cuma,1330/1729 1330/1729,MMB MMB,1,9,SBPE,12863,2018 - 2019 Güz Dönemi
SBP 223,Arazi Kullanım Planlaması,Özlem Özçevik,Çarşamba,0830/1129,MMB,50,65,SBP,12841,2018 - 2019 Güz Dönemi
SBP 223E,Land Use Planning,Azime Tezer,Çarşamba,0830/1129,MMB,55,55,SBPE SBPM,12840,2018 - 2019 Güz Dönemi
SBP 227E,Physical Environmental Control,Şule Filiz Akşit,Salı,0930/1229,MMB,45,55,SBP SBPE,12862,2018 - 2019 Güz Dönemi
SBP 227E,Physical Environmental Control,Nuri Serteser,Salı,0930/1229,MMB,59,60,SBP SBPE,12861,2018 - 2019 Güz Dönemi
SBP 245,Şehirsel Ulaşım,Hüseyin Murat Çelik,Cuma,1330/1629,MMB,57,65,SBP,12842,2018 - 2019 Güz Dönemi
SBP 245E,Urban Tranportation,Eda Beyazıt,Cuma,1330/1629,MMB,51,55,SBPE SBPM,12843,2018 - 2019 Güz Dönemi
SBP 252,Konut ve Yöre Planlaması,Funda Yirmibeşoğlu,Perşembe,0930/1229,MMB,57,65,SBP,12844,2018 - 2019 Güz Dönemi
SBP 252E,Housing and Site Planning,Fatih Terzi,Perşembe,0930/1229,MMB,55,55,SBP SBPE SBPM,12845,2018 - 2019 Güz Dönemi
SBP 262,Peyzaj Planlaması ve Tasarım,"Engin Eyüp Eyuboğlu, Eren Kürkçüoğlu",Pazartesi,0830/1229,MMB,56,65,SBP,12859,2018 - 2019 Güz Dönemi
SBP 262E,Landscape Planning and Design,Fatma Ayçim Türer Başkaya,Pazartesi,0830/1229,MMB,54,55,SBPE,12860,2018 - 2019 Güz Dönemi
SBP 311,Proje V,Mete Başar Baypınar,Salı Cuma,1330/1729 1330/1729,MMB MMB,9,10,SBP SBPM,12871,2018 - 2019 Güz Dönemi
SBP 311,Proje V,Mehmet Ali Yüzer,Salı Cuma,1330/1729 1330/1729,MMB MMB,11,9,SBP SBPM,12870,2018 - 2019 Güz Dönemi
