Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
KIM 111,Genel Kimya I,"Ozan Sanlı Şentürk, Zehra Bayır",Pazartesi Salı,0830/1229 0830/1229,FEB FEB,6,30,KIM KIMM,30263,2018 - 2019 Yaz Dönemi
KIM 114,Genel Kimya II,"Ozan Sanlı Şentürk, Zehra Bayır",Pazartesi Salı,1330/1729 1330/1729,FEB FEB,12,30,KIM,30265,2018 - 2019 Yaz Dönemi
KIM 202,Fiziksel Kimya,Argun Talat Gökçeören,Çarşamba Perşembe,0930/1229 0930/1229,INB FEB,11,25,BIO CEV CHZ DEN DUI ELE ELH ELK GEM GID GMI INS JEO KIMM KMM KMMM KYD MAD MET PET TEL,30670,2018 - 2019 Yaz Dönemi
KIM 202E,Physical Chemistry,Erdem Yavuz,Pazartesi Salı,0930/1229 0930/1229,FEB FEB,25,25,BIOE CEV CEVE CHZE DENE ELKE GEME GEMK GIDE INS INSE JEOE KMM KMME MADE METE PETE,30266,2018 - 2019 Yaz Dönemi
KIM 203,Analitik Kimya,Mustafa Özcan,Salı Perşembe,1430/1729 1430/1729,FEB FEB,24,25,BIO CHZ DEN ELE ELH ELK GEM JEO MAD MET PET TEL,30648,2018 - 2019 Yaz Dönemi
KIM 205E,Organic Chemistry,Nesrin Köken,Salı Perşembe,1330/1629 1330/1629,FEB FEB,31,30,BIOM CEV CEVE CHZE DENE ELKE GEME GEMK INS INSE JEOE KIM KIMM MADE MET METE PETE TEKE,30271,2018 - 2019 Yaz Dönemi
KIM 206,Analitik Kimya & Enst Analizi,Mustafa Özcan,Çarşamba Cuma,1430/1729 1430/1729,FEB FEB,25,25,GID KIMM KMM KYD,30272,2018 - 2019 Yaz Dönemi
KIM 211E,Analytical Chemistry,İpek Becerik,Salı Perşembe,1330/1729 1330/1729,FEB FEB,11,25,KIM KIME KIMM,30615,2018 - 2019 Yaz Dönemi
KIM 223,Anorganik Kimya I,Ozan Sanlı Şentürk,Çarşamba Perşembe,0930/1229 0930/1229,FEB FEB,12,25,KIM,30275,2018 - 2019 Yaz Dönemi
KIM 224E,Inorganic Chemistry II,Altuğ Mert Sevim,Pazartesi Salı,0930/1229 0930/1229,FEB INB,11,25,KIM KIME,30671,2018 - 2019 Yaz Dönemi
KIM 231,Organik Kimya I,Turan Öztürk,Çarşamba Cuma,1230/1629 1230/1629,MED FEB,31,30,KIM KIMM,30277,2018 - 2019 Yaz Dönemi
KIM 232,Organik Kimya II,İbrahim Volkan Kumbaracı,Salı Perşembe,1230/1629 1230/1629,FEB FEB,29,30,KIM,30280,2018 - 2019 Yaz Dönemi
KIM 303E,Organic Chemistry I,Demet Çolak,Çarşamba Perşembe,0930/1129 0930/1129,FEB FEB,19,25,BIO BIOE BIOM KIMM,30281,2018 - 2019 Yaz Dönemi
KIM 304E,Organic Chemistry II,Demet Çolak,Pazartesi,1230/1629,FEB,24,25,BIO BIOE,30728,2018 - 2019 Yaz Dönemi
KIM 471,Organik Kimya III,Ayşe Özdemir,Salı Perşembe,0930/1229 0930/1229,FEB FEB,14,25,KIM,30674,2018 - 2019 Yaz Dönemi
KIM 473E,Organic Structure Analysis,Turan Öztürk,Pazartesi Pazartesi,0930/1229 1430/1729,FEB FEB,12,25,KIM KIME,30695,2018 - 2019 Yaz Dönemi
