Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MAT 115E,Intro. to Programming Language,Burcu Tunga,Pazartesi Salı,1330/1729 1330/1729,FEB FEB,25,30,MAT MATE,30402,2018 - 2019 Yaz Dönemi
MAT 116E,Advanced Sci. & Eng. Computing,Burcu Tunga,Çarşamba Perşembe,1330/1729 1330/1729,FEB FEB,18,25,MAT MATE,30403,2018 - 2019 Yaz Dönemi
MAT 188,Matematik II,"Nalan Antar, Aybike Özer",Pazartesi Salı Çarşamba,0830/1229 0830/1229 0830/1229,FEB FEB FEB,16,25,MAT,30585,2018 - 2019 Yaz Dönemi
MAT 202,Sayısal Yöntemler,Ayhan Menteş,Cuma,0830/1429,GDB,32,30,CEV CHZ DEN EHB ELE ELH ELK GEM GEO GID IML INS ISL JEF JEO KOM KON MAD MAK MET PET TEK TEL,30437,2018 - 2019 Yaz Dönemi
MAT 202,Sayısal Yöntemler,Ayhan Menteş,Perşembe,0830/1429,GDB,30,30,CEV CHZ DEN EHB ELE ELH ELK GEM GEO GID IML INS ISL JEF JEO KOM KON MAD MAK MET MTO PET TEK TEL,30436,2018 - 2019 Yaz Dönemi
MAT 202,Sayısal Yöntemler,Şinasi Kaya,Çarşamba Çarşamba,0830/1129 1330/1629,INB INB,30,30,CEV CHZ DEN EHB ELE ELH ELK GEM GEO GID IML INS ISL JDF JEF JEO KOM KON MAD MAK MET PET TEK TEL,30544,2018 - 2019 Yaz Dönemi
MAT 202,Sayısal Yöntemler,Şinasi Kaya,Salı Salı,0830/1129 1330/1629,INB INB,25,25,CEV CHZ DEN EHB ELE ELH ELK GEM GEO GID IML INS ISL JDF JEF JEO KOM KON MAD MAK MET PET TEK TEL,30543,2018 - 2019 Yaz Dönemi
MAT 202,Sayısal Yöntemler,Birgül Benli,Pazartesi Pazartesi,0930/1229 1330/1629,MDB MDB,40,40,CEV CHZ DEN EHB ELE ELH ELK GEM GEO GID IML INS ISL JEF JEO KOM KON MAD MAK MET PET TEK TEL,30372,2018 - 2019 Yaz Dönemi
MAT 202E,Numerical Methods,Akif Kutlu,Pazartesi Salı,1330/1629 1330/1629,INB INB,30,25,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELE ELH ELK ELKE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KMM KMME KOM KOME KON KONE MAD MADE MAK MAKE MET METE MTO MTOE PET PETE TEK TEKE TEL UCK UCKE UZB UZBE,30354,2018 - 2019 Yaz Dönemi
MAT 202E,Numerical Methods,Adil Yücel,Pazartesi Pazartesi,0930/1229 1330/1629,MKB MKB,61,40,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELE ELH ELK ELKE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KMM KMME KOM KOME KON KONE MAD MADE MAK MAKE MET METE MTO MTOE PET PETE TEK TEKE TEL UCK UCKE UZB UZBE,30687,2018 - 2019 Yaz Dönemi
MAT 210,Mühendislik Matematiği,Mehmet Ufuk Özerman,Çarşamba Perşembe,1330/1729 1330/1729,INB INB,50,50,BIO BLG CEV CHZ DUI EHB ELE ELH ELK END FIZ GEO GMI INS JDF JEF JEFM JEO KIM MAD MATM MET MTO PET TEK TEL UCK UCKM UZB UZBM,30395,2018 - 2019 Yaz Dönemi
MAT 210,Mühendislik Matematiği,Mehmet Ufuk Özerman,Çarşamba Perşembe,0830/1229 0830/1229,INB INB,51,50,BIO BLG CEV CHZ DUI EHB ELE ELH ELK END FIZ GEO GMI INS JDF JEF JEFM JEO KIM MAD MATM MET MTO PET TEK TEL UCK UCKM UZB UZBM,30394,2018 - 2019 Yaz Dönemi
MAT 210,Mühendislik Matematiği,"Güler Arsan, Evren Tanrıöver",Salı Çarşamba,1330/1729 0830/1229,MED MED,50,50,BIO BLG CEV CHZ DUI EHB ELE ELH ELK END FIZ GEO GMI INS JDF JEF JEFM JEO KIM MAD MATM MET MTO PET TEK TEL UCK UCKM UZB UZBM,30393,2018 - 2019 Yaz Dönemi
