Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
BIL 100E,Intr.to Prog.Language(PYTHON),Berfin Kalay,Perşembe Perşembe,1430/1529 1530/1729,MED MED,40,40,MIM MIME PET PETE SBP SBPE,21104,2019 - 2020 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Berfin Kalay,Çarşamba Çarşamba,1230/1329 1330/1529,MED MED,40,40,DEN DENE ECNE END ENDE GEM GEME ISL ISLE JEO JEOE KIM KIME MIM MIME,21095,2019 - 2020 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Evren Dağlarlı,Salı Salı,1430/1529 1530/1729,MED MED,40,40,EHB EHBE EUT EUTE ICM KOM MTO PEM PEME UZBE,21080,2019 - 2020 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Ömer Özyıldırım,Salı Salı,1030/1129 1130/1329,MED MED,39,40,CEV CEVE DEN DENE ECNE END ENDE GEM GEME ISL ISLE,21068,2019 - 2020 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Gülcihan Özdemir,Cuma Cuma,1430/1529 1530/1729,MED MED,52,50,EUT EUTE ICM JEO JEOE KIM KIME PEM PEME,21108,2019 - 2020 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Erke Arıbaş,Perşembe Perşembe,1430/1529 1530/1729,MED MED,40,40,CHZ CHZE JEF JEFE JEO JEOE MAD MADE PET PETE,21083,2019 - 2020 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Erke Arıbaş,Çarşamba Çarşamba,1230/1329 1330/1529,MED MED,40,40,ECNE END ENDE ISL ISLE KIM KIME MTO MTOE UCK UCKE UZB UZBE,21088,2019 - 2020 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Ömer Özyıldırım,Salı Salı,1430/1529 1530/1729,MED MED,41,40,EUT EUTE ICM PEM PEME,21070,2019 - 2020 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Evren Dağlarlı,Pazartesi Pazartesi,1430/1529 1530/1729,MED MED,40,40,EUT EUTE ICM PEM PEME,21076,2019 - 2020 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Özgür Atalay,Cuma Cuma,1030/1129 1130/1329,MED MED,40,50,ECNE EUT EUTE ICM ISL ISLE JEO JEOE KIM KIME MET METE PEM PEME,21105,2019 - 2020 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Burak Zincir,Çarşamba,1230/1529,DZB,45,50,DUI DUIE GMI GMIE,23513,2019 - 2020 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Burak Zincir,Çarşamba,0830/1129,DZB,42,50,DUI DUIE GMI GMIE,23499,2019 - 2020 Bahar Dönemi
