Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ENR 102,Manufacturing Process,Münir Süner,Pazartesi,1330/1529,DZB,27,50,GEMK GMIK MEN MENM NAE,23589,2019 - 2020 Bahar Dönemi
ENR 102,Manufacturing Process,Necip Ünlü,Perşembe,1430/1629,EEB,41,70,GEMK GMIK MEN MENM NAE,23641,2019 - 2020 Bahar Dönemi
ENR 112,Workshop,Muhammet Sandıkçı,Cuma,0830/1229,DZB,24,50,GEMK GMIK MEN MENM NAE,23590,2019 - 2020 Bahar Dönemi
ENR 112,Workshop,Muhammet Sandıkçı,Pazartesi,0830/1229,DZB,24,50,GEMK GMIK MEN MENM NAE,23591,2019 - 2020 Bahar Dönemi
ENR 122,Material Science,Yasin Arslanoğlu,Pazartesi,1730/2029,DZB,29,50,DUIK GEMK GMIK MEN MENM MTM NAE,23588,2019 - 2020 Bahar Dönemi
ENR 122,Material Science,Necip Ünlü,Çarşamba,0830/1129,GDB,28,50,DUIK GEMK GMIK MEN MENM MTM NAE,23632,2019 - 2020 Bahar Dönemi
ENR 201,Fluid Mechanics,Münir Süner,Pazartesi,1730/2029,DZB,14,50,DUIK GEMK GMIK MEN MTM NAE NAEM,25180,2019 - 2020 Bahar Dönemi
ENR 202,Thermodynamics,Selma Ergin,Salı,0930/1229,GDB,25,48,GEMK GMIK MEN MENM NAE,23638,2019 - 2020 Bahar Dönemi
ENR 202,Thermodynamics,Görkem Kökkülünk,Perşembe,1330/1629,DZB,12,50,GEMK GMIK MEN MENM NAE,23600,2019 - 2020 Bahar Dönemi
ENR 222,Strength of Materials II,Özgür Özgüç,Perşembe,0830/1129,GDB,21,50,GEMK NAE,23633,2019 - 2020 Bahar Dönemi
ENR 232,Hydraulic and Pneumatic,Kemal Demirel,Salı,1330/1629,DZB,18,50,DUIK GEMK GMIK MEN MENM MTM NAE,23563,2019 - 2020 Bahar Dönemi
ENR 351,Mechatronics,Ali Sinan Çabuk,Salı,1330/1529,GDB,27,50,GEMK GMIK MEN NAE,23617,2019 - 2020 Bahar Dönemi
ENR 401,Refrigeration& HVAC Systems,Gazi Koçak,Pazartesi,0830/1029,DZB,25,50,GEMK GMIK MEN NAE,23562,2019 - 2020 Bahar Dönemi
