Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ISL 114E,Engineering Ethics,Zeynep Erden Bayazıt,Salı,1630/1829,MED,154,180,ISL ISLE,22190,2019 - 2020 Bahar Dönemi
ISL 214,İstatistik II,Suat Küçükçifçi,Salı,1430/1729,INB,101,101,IMLM ISL,22195,2019 - 2020 Bahar Dönemi
ISL 214E,Statistics II,Raziye Selim,Çarşamba,0830/1129,GDB,97,100,ISLE,22205,2019 - 2020 Bahar Dönemi
ISL 224,Maliyet Muhasebesi,"Oktay Taş, Hüseyin Mert",Cuma,0830/1129,KMB,66,80,END GID IML ISL,22246,2019 - 2020 Bahar Dönemi
ISL 224E,Cost Accounting,Oktay Taş,Pazartesi,0830/1129,FEB,148,140,END ENDE GID GIDE IMLE ISL ISLE,22231,2019 - 2020 Bahar Dönemi
ISL 233E,Microeconomics,İbrahim Öner Günçavdı,Pazartesi,1130/1429,FEB,58,80,ISL ISLE,22254,2019 - 2020 Bahar Dönemi
ISL 234E,Management and Organization,Zeynep Erden Bayazıt,Pazartesi,1430/1729,MED,91,80,GID GIDE ISL ISLE,22250,2019 - 2020 Bahar Dönemi
ISL 234E,Management and Organization,Zeynep Erden Bayazıt,Salı,0830/1129,UUB,45,80,GID GIDE ISL ISLE,22252,2019 - 2020 Bahar Dönemi
ISL 244E,Macroeconomics,"Derya Karakaş, Ahmet Atıl Aşıcı",Salı,1430/1729,EEB,89,90,ISL ISLE,22227,2019 - 2020 Bahar Dönemi
ISL 244E,Macroeconomics,"Derya Karakaş, Ahmet Atıl Aşıcı",Çarşamba,0830/1129,UUB,61,90,ISL ISLE,22223,2019 - 2020 Bahar Dönemi
ISL 343E,Management Information Syst.,Nihan Yıldırım,Perşembe,1430/1729,MED,106,110,ISL ISLE,22259,2019 - 2020 Bahar Dönemi
ISL 343E,Management Information Syst.,Nihan Yıldırım,Pazartesi,1430/1729,EEB,97,110,ISL ISLE,22256,2019 - 2020 Bahar Dönemi
ISL 353E,Marketing,Huriye Şebnem Burnaz,Pazartesi,0830/1129,GDB,97,110,EUT EUTE ISL ISLE,22220,2019 - 2020 Bahar Dönemi
ISL 354E,Managerial Decision Making,"Tolga Kaya, Dilay Çelebi",Çarşamba,1230/1529,FEB,72,80,ISL ISLE,22307,2019 - 2020 Bahar Dönemi
ISL 354E,Managerial Decision Making,"Tolga Kaya, Dilay Çelebi",Perşembe,1430/1729,INB,50,80,ISL ISLE,22310,2019 - 2020 Bahar Dönemi
ISL 360E,Quantitative Rsrch&DataAnlys.,Elif Karaosmanoğlu,Cuma,1330/1729,FEB,68,80,ISL ISLE,22315,2019 - 2020 Bahar Dönemi
ISL 360E,Quantitative Rsrch&DataAnlys.,Elif Karaosmanoğlu,Cuma,0830/1229,MDB,93,100,ISL ISLE,22313,2019 - 2020 Bahar Dönemi
ISL 363E,Human Resources Management,İdil Vedia Evcimen,Pazartesi,0830/1129,MED,18,60,ISL ISLE,22317,2019 - 2020 Bahar Dönemi
ISL 364,İşletme Hukuku,Çiçek Ersoy Kekevi,Cuma,0830/1129,EEB,90,100,ISL ISLE,22212,2019 - 2020 Bahar Dönemi
ISL 374,İşletme Müh. Tasarımı I,Nihan Yıldırım,Salı,0830/1129,MED,101,100,ISL,22215,2019 - 2020 Bahar Dönemi
ISL 374E,Management Eng. Design I,Mehmet Erçek,Perşembe,0830/1129,FEB,113,110,ISL ISLE,22318,2019 - 2020 Bahar Dönemi
ISL 384,Üretim Planlama ve Kontrol,Hür Bersam Bolat,Perşembe,0830/1129,INB,123,120,ISL,22320,2019 - 2020 Bahar Dönemi
ISL 384E,Production Planning&Control,Hatice Camgöz Akdağ,Salı,0830/1129,MDB,105,100,ISL ISLE,22322,2019 - 2020 Bahar Dönemi
ISL 432E,Simulation in Operations Mng.,Tuncay Özcan,Çarşamba,0830/1129,UUB,34,60,ISL ISLE,22328,2019 - 2020 Bahar Dönemi
ISL 433,İş Hukuku,Mahmut Kabakcı,Çarşamba,1330/1529,ISB,69,110,ISL ISLE,22325,2019 - 2020 Bahar Dönemi
ISL 435E,The Wrld Econmy at a Glance,Nedime Lerzan Özkale,Çarşamba,1230/1529,GDB,32,40,EUT EUTE ISL ISLE,22331,2019 - 2020 Bahar Dönemi
ISL 448E,Optimization Models & App.,Dilay Çelebi,Perşembe,0830/1129,INB,25,60,ISL ISLE,22334,2019 - 2020 Bahar Dönemi
ISL 450E,Productivity&Perf.Anl.in Prod.,Hatice Camgöz Akdağ,Salı,1430/1729,FEB,39,60,ISL ISLE,22336,2019 - 2020 Bahar Dönemi
ISL 452E,Financial Inst.&Portfolio Mng.,Cumhur Enis Ekinci,Pazartesi,0830/1129,KMB,16,40,END ENDE ISL ISLE,22338,2019 - 2020 Bahar Dönemi
ISL 478E,Entrepreneurship,Deniz Tunçalp,Cuma,1330/1729,MED,18,40,BIO BIOE BLG BLGE CAB CEV CEVE CHZ CHZE DEN DENE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KMP KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE MTR MUT MUZ MUZE PEM PEME PET PETE SBP SBPE SES TEB TEK TEKE TEL THO UCK UCKE UZB UZBE,22339,2019 - 2020 Bahar Dönemi
ISL 4902,İşletme Müh.Tasarım Projesi II,Mahmut Kabakcı,----,/,ISB,2,500,ISL,23676,2019 - 2020 Bahar Dönemi
ISL 492,İşletme Müh. Tasarım Prj.,Mahmut Kabakcı,----,/,---,47,500,ISL,22340,2019 - 2020 Bahar Dönemi
ISL 492E,Management Eng. Design Project,Mahmut Kabakcı,----,/,---,46,500,ISL ISLE,22341,2019 - 2020 Bahar Dönemi
