Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
RES 102,Bilg. Destekli Teknik Resim,Melek Ertogan,Cuma,0830/1229,DZB,26,80,DUI GMI,23353,2019 - 2020 Bahar Dönemi
RES 102,Bilg. Destekli Teknik Resim,Ebru Sarıöz,Pazartesi,1330/1729,GDB,32,32,DEN,21733,2019 - 2020 Bahar Dönemi
RES 102,Bilg. Destekli Teknik Resim,Melek Ertogan,Cuma Cuma,1230/1259 1400/1729,DZB DZB,87,87,DUI GMI,23352,2019 - 2020 Bahar Dönemi
RES 102,Bilg. Destekli Teknik Resim,Sevil Deniz Yakan Dündar,Cuma,0830/1229,GDB,32,32,DEN,21736,2019 - 2020 Bahar Dönemi
RES 103E,Technical Drawing,Sena Duru,Salı,0830/1229,MKB,21,40,CHZ CHZE DUI DUIE DUIK EUT EUTE GID GIDE GMI GMIE JEO JEOE KMM KMME MAD MADE MET METE PET PETE TEK TEKE,23084,2019 - 2020 Bahar Dönemi
RES 107E,Technical Drawing,İskender Atilla Reyhancan,Cuma,1330/1629,KMB,61,60,END ENDE FIZ GID GIDE ISL ISLE KMM KMME MET METE PETE,21552,2019 - 2020 Bahar Dönemi
RES 107E,Technical Drawing,Sevan Karabetoğlu,Cuma,0830/1129,KMB,50,50,END ENDE FIZ GID GIDE ISL ISLE KMM KMME MET METE PETE,25235,2019 - 2020 Bahar Dönemi
RES 107E,Technical Drawing,Selim Ertürk,Perşembe,1130/1429,KMB,68,68,END ENDE FIZ GID GIDE ISL ISLE KMM KMME MET METE PETE,21553,2019 - 2020 Bahar Dönemi
RES 107E,Technical Drawing,Mehmet Murat Sunar,Perşembe,1430/1729,FEB,32,36,FIZ FIZE,20292,2019 - 2020 Bahar Dönemi
RES 107E,Technical Drawing,Selim Ertürk,Perşembe,0830/1129,KMB,63,65,END ENDE FIZ GID GIDE ISL ISLE KMM KMME MET METE PETE,21551,2019 - 2020 Bahar Dönemi
RES 107E,Technical Drawing,"Sabahat Topuz Kiremitçi, Çağlar Akkaya",Cuma,1130/1429,UUB,49,60,END ENDE FIZ GID GIDE ISL ISLE KMM KMME MET METE PETE,25342,2019 - 2020 Bahar Dönemi
RES 111E,Technical Drawing (CAD),Özlem Karahan Özgün,Perşembe,1330/1629,MDB,50,51,CEVE CHZ CHZE,21840,2019 - 2020 Bahar Dönemi
