Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
SBP 120E,Intr.to Cmp.Sys.in Urban Std.,Kerem Yavuz Arslanlı,Çarşamba,1330/1529,MMB,40,55,SBP SBPE,21972,2019 - 2020 Bahar Dönemi
SBP 120E,Intr.to Cmp.Sys.in Urban Std.,Turgay Kerem Koramaz,Perşembe,1530/1729,MMB,38,55,SBP SBPE,21969,2019 - 2020 Bahar Dönemi
SBP 120E,Intr.to Cmp.Sys.in Urban Std.,Turgay Kerem Koramaz,Perşembe,1330/1529,MMB,56,56,SBP SBPE,21967,2019 - 2020 Bahar Dönemi
SBP 120E,Intr.to Cmp.Sys.in Urban Std.,Kerem Yavuz Arslanlı,Çarşamba,1130/1329,MMB,17,55,SBP SBPE,21970,2019 - 2020 Bahar Dönemi
SBP 126,CBS ve Planlama,Hasan Serdar Kaya,Salı,0930/1229,MMB,79,80,SBP,22000,2019 - 2020 Bahar Dönemi
SBP 126E,GIS and Planning,Fatih Terzi,Salı,0930/1229,MMB,88,88,SBP SBPE SBPM,22002,2019 - 2020 Bahar Dönemi
SBP 205E,Statistics,Hüseyin Murat Çelik,Çarşamba,0830/1129,MMB,35,55,SBP SBPE,21976,2019 - 2020 Bahar Dönemi
SBP 214E,Geography,Eda Beyazıt,Çarşamba,1230/1529,MMB,54,56,ISL ISLE PEME SBPE,21977,2019 - 2020 Bahar Dönemi
SBP 218,Proje IV,Ayşe Lale Berköz,Salı Cuma,1330/1729 1330/1729,MMB MMB,11,11,SBP,22009,2019 - 2020 Bahar Dönemi
SBP 218,Proje IV,Özlem Özçevik,Salı Cuma,1330/1729 1330/1729,MMB MMB,11,11,SBP,22013,2019 - 2020 Bahar Dönemi
SBP 218,Proje IV,Seda Kundak,Salı Cuma,1330/1729 1330/1729,MMB MMB,11,11,SBP,22016,2019 - 2020 Bahar Dönemi
SBP 218,Proje IV,Ebru Kerimoğlu,Salı Cuma,1330/1729 1330/1729,MMB MMB,11,11,SBP,22015,2019 - 2020 Bahar Dönemi
SBP 218E,Project IV,Kerem Yavuz Arslanlı,Salı Cuma,1330/1729 1330/1729,MMB MMB,12,12,SBPE,22018,2019 - 2020 Bahar Dönemi
SBP 218E,Project IV,Elif Alkay,Salı Cuma,1330/1729 1330/1729,MMB MMB,12,12,SBPE,22021,2019 - 2020 Bahar Dönemi
SBP 218E,Project IV,Tüzin Baycan,Salı Cuma,1330/1729 1330/1729,MMB MMB,13,13,SBPE,23488,2019 - 2020 Bahar Dönemi
SBP 222,Şehir Ekonomisi,Emine Ferhan Gezici Korten,Pazartesi,1330/1529,MMB,59,60,SBP SBPM,21983,2019 - 2020 Bahar Dönemi
SBP 222E,Urban Economics,Elif Alkay,Salı,1030/1229,MMB,55,55,SBPE SBPM,21988,2019 - 2020 Bahar Dönemi
SBP 224,Şehir ve Çevre Jeolojisi,Remzi Karagüzel,Perşembe,0830/1129,MMB,48,55,SBP,21990,2019 - 2020 Bahar Dönemi
SBP 224E,Urban & Environmental Geology,Nilgün Okay,Perşembe,1330/1629,MMB,12,55,PEME SBP SBPE,21991,2019 - 2020 Bahar Dönemi
SBP 232,Şehir Tarihi,Ayşe Sema Kubat,Perşembe,1330/1629,MMB,57,64,SBP,21994,2019 - 2020 Bahar Dönemi
SBP 232E,The City in History,Ayşe Sema Kubat,Perşembe,0830/1129,MMB,54,55,SBP SBPE SBPM,21996,2019 - 2020 Bahar Dönemi
SBP 234,Şehir Sosyolojisi,"Gülden Erkut, Özge Atalay Çelik",Pazartesi,1130/1329,MMB,43,55,SBP,21997,2019 - 2020 Bahar Dönemi
SBP 234E,Urban Sociology,Elvan Gülöksüz,Pazartesi,1130/1329,MMB,54,55,SBPE SBPM,21999,2019 - 2020 Bahar Dönemi
SBP 242,Planlama Kuramı ve Teknikleri,Başak Demireş Özkul,Pazartesi,0830/1129,MMB,49,55,SBP SBPM,22005,2019 - 2020 Bahar Dönemi
SBP 242E,Planning Theory and Techniques,Başak Demireş Özkul,Cuma,0830/1129,MMB,58,58,SBP SBPE SBPM,22003,2019 - 2020 Bahar Dönemi
SBP 251,Şehir ve Çevre Mühendisliği,Ali Fuat Aydın,Salı,1030/1329,MMB,47,55,SBP,22006,2019 - 2020 Bahar Dönemi
SBP 251E,Urban and Environmental Eng.,Mahmut Altınbaş,Çarşamba,0830/1129,MMB,51,51,SBP SBPE,22008,2019 - 2020 Bahar Dönemi
SBP 311,Proje V,Özhan Ertekin,Salı Cuma,1330/1729 1330/1729,MMB MMB,6,6,SBP,22022,2019 - 2020 Bahar Dönemi
SBP 311E,Project V,Özhan Ertekin,Salı Cuma,1330/1729 1330/1729,MMB MMB,2,5,SBPE SBPM,22023,2019 - 2020 Bahar Dönemi
SBP 312,Proje VI,Şevkiye Şence Türk,Salı Cuma,1330/1729 1330/1729,MMB MMB,12,12,SBP,22041,2019 - 2020 Bahar Dönemi
SBP 312,Proje VI,Mehmet Ali Yüzer,Salı Cuma,1330/1729 1330/1729,MMB MMB,10,12,SBP,22043,2019 - 2020 Bahar Dönemi
SBP 312,Proje VI,Turgay Kerem Koramaz,Salı Cuma,1330/1729 1330/1729,MMB MMB,12,12,SBP,22042,2019 - 2020 Bahar Dönemi
SBP 312E,Project VI,Gülden Demet Oruç,Salı Cuma,1330/1729 1330/1729,MMB MMB,11,12,SBPE SBPM,22044,2019 - 2020 Bahar Dönemi
SBP 312E,Project VI,Fatih Terzi,Salı Cuma,1330/1729 1330/1729,MMB MMB,12,12,SBPE SBPM,22045,2019 - 2020 Bahar Dönemi
SBP 312E,Project VI,Engin Eyüp Eyuboğlu,Salı Cuma,1330/1729 1330/1729,MMB MMB,12,12,SBPE SBPM,22046,2019 - 2020 Bahar Dönemi
SBP 316E,Systms Apprch & Planning Mthds,Turgay Kerem Koramaz,Perşembe,0830/1129,MMB,4,30,SBP SBPE SBPM,22024,2019 - 2020 Bahar Dönemi
SBP 326E,Planning in New Towns,"Hatice Ayataç, Gülden Demet Oruç",Salı,0830/1129,MMB,8,30,SBP SBPE SBPM,22025,2019 - 2020 Bahar Dönemi
SBP 332,Planlamada Kantitatif Yönteml,Mehmet Ali Yüzer,Pazartesi,1330/1629,MMB,36,55,SBP SBPM,22026,2019 - 2020 Bahar Dönemi
SBP 332E,Quantitative Meth. İn Planning,Hasan Serdar Kaya,Perşembe,1330/1629,MMB,42,55,SBPE SBPM,22028,2019 - 2020 Bahar Dönemi
SBP 334E,Natural Hazards & Urban Safety,Seda Kundak,Salı,0830/1129,MMB,25,30,SBP SBPE SBPM,22029,2019 - 2020 Bahar Dönemi
SBP 337,Yrlşmler Açk Or Kul Al ve Değ,Eren Kürkçüoğlu,Cuma,0830/1129,MMB,15,30,SBP SBPM,22031,2019 - 2020 Bahar Dönemi
SBP 338,Planlamada Kantitatif Yönteml,Mehmet Ali Yüzer,Pazartesi,1330/1629,MMB,5,7,SBP,22027,2019 - 2020 Bahar Dönemi
SBP 342,Şehir Yenileme,Zeynep Günay,Perşembe,1330/1529,MMB,36,55,SBP SBPM,22034,2019 - 2020 Bahar Dönemi
SBP 342E,Urban Renewal,Zeynep Günay,Pazartesi,1330/1529,MMB,40,55,SBPE SBPM,22032,2019 - 2020 Bahar Dönemi
SBP 344E,Urban Renewal,--,Pazartesi,1330/1529,MMB,0,0,SBPE SBPM,22033,2019 - 2020 Bahar Dönemi
SBP 348,Kentsel Ekoloji,Özlem Özçevik,Cuma,0830/1129,MMB,6,30,SBP SBPM,22035,2019 - 2020 Bahar Dönemi
SBP 356E,Remote Sensing,Filiz Bektaş Balçık,Perşembe,0830/1129,INB,31,35,SBP SBPE,21294,2019 - 2020 Bahar Dönemi
SBP 358E,Real Estate Economics,Hüseyin Murat Çelik,Pazartesi,0830/1129,MMB,42,46,EUTE ICM MIM MIME PEME SBP SBPE SBPM,22038,2019 - 2020 Bahar Dönemi
SBP 366E,Intro to Environmental Probl,"Ayşe Gül Tanık, Serdar Doğruel, Özlem Karahan Özgün",Çarşamba,0830/1129,MMB,45,47,SBP SBPE,22039,2019 - 2020 Bahar Dönemi
SBP 411,Proje VII,Özhan Ertekin,Salı Cuma,1330/1729 1330/1729,MMB MMB,3,5,SBP,22048,2019 - 2020 Bahar Dönemi
SBP 411E,Project VII,Özhan Ertekin,Salı Cuma,1330/1729 1330/1729,MMB MMB,2,5,SBPE,22047,2019 - 2020 Bahar Dönemi
SBP 412E,Disastr Mitigtion in Urbn Plan,Azime Tezer,Pazartesi,0830/1129,MMB,12,30,SBP SBPE SBPM,22049,2019 - 2020 Bahar Dönemi
