Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
BUS 101,Organizational Behavior,İdil Vedia Evcimen,Pazartesi,1330/1629,ISB,19,35,SIS,12643,2019 - 2020 Güz Dönemi
BUS 103,Principles of Management,Deniz Tunçalp,Çarşamba,0930/1229,ISB,22,35,SIS,12653,2019 - 2020 Güz Dönemi
BUS 110,Principles of Microeconomics,Mehmet Özgür Kayalıca,Pazartesi,0830/1129,DEP,24,35,SEK SIS,12652,2019 - 2020 Güz Dönemi
BUS 201,Financial Accounting,Cumhur Enis Ekinci,Çarşamba,1230/1529,ISB,21,35,SIS,12639,2019 - 2020 Güz Dönemi
BUS 203,Management Science,Ferhan Çebi,Salı,1330/1629,ISB,19,35,SIS,12640,2019 - 2020 Güz Dönemi
BUS 210,Principles of Marketing,Huriye Şebnem Burnaz,Cuma,0900/1159,ISB,27,35,SIS,12641,2019 - 2020 Güz Dönemi
BUS 302,P. of Business Forecasting,Raziye Selim,Perşembe,0930/1229,ISB,15,35,SIS,12644,2019 - 2020 Güz Dönemi
BUS 304,Financial Markets & Inst.,Cumhur Enis Ekinci,Pazartesi,1330/1629,ISB,7,10,SIS,12647,2019 - 2020 Güz Dönemi
BUS 305,Project Management,Hür Bersam Bolat,Pazartesi,0930/1229,ISB,19,35,SIS,12645,2019 - 2020 Güz Dönemi
BUS 306,Management Information Sys.,Dilay Çelebi,Çarşamba,0930/1229,ISB,18,35,SIS,12646,2019 - 2020 Güz Dönemi
BUS 308,Financial Statement Analysis,Oktay Taş,Cuma,0900/1159,ISB,1,10,SIS,12648,2019 - 2020 Güz Dönemi
BUS 314,Total Quality Management,Hatice Camgöz Akdağ,Çarşamba,1230/1529,ISB,13,15,SIS,12649,2019 - 2020 Güz Dönemi
BUS 323,Managment of Technology,Nihan Yıldırım,Salı,0930/1229,ISB,3,10,SIS,12650,2019 - 2020 Güz Dönemi
BUS 324,Turkish Economy,Derya Karakaş,Perşembe,1330/1629,ISB,8,10,SEK SIS,12651,2019 - 2020 Güz Dönemi
