Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
CHZ 103,Cevher Haz. Müh. Giriş ve Etik,Ali Güney,Çarşamba,1330/1529,MDB,53,60,CHZ,12165,2019 - 2020 Güz Dönemi
CHZ 224E,Surface and Colloid Chemistry,Ayhan Ali Sirkeci,Çarşamba,1030/1329,MDB,34,50,CHZ CHZE CHZM,12169,2019 - 2020 Güz Dönemi
CHZ 232,Zenginlstirme Önc.Haz. İşlml.,Ali Güney,Pazartesi Perşembe,1330/1529 1030/1229,MDB MDB,41,50,CHZ CHZM,12170,2019 - 2020 Güz Dönemi
CHZ 310,Cevher Haz. Tesis Otomasyonu,Kudret Tahsin Perek,Çarşamba,0830/1029,MDB,48,50,CHZ CHZM,12246,2019 - 2020 Güz Dönemi
CHZ 311,Fiziksel Zeng. Yöntemleri,Alim Gül,Salı Çarşamba,1030/1229 1030/1229,MDB MDB,28,50,CHZ CHZM,12198,2019 - 2020 Güz Dönemi
CHZ 311E,Physical Beneficiation Methods,Ayhan Ali Sirkeci,Salı Çarşamba,1030/1229 1330/1529,MDB MDB,4,20,CHZE,15150,2019 - 2020 Güz Dönemi
CHZ 312E,Metallurgy I,Fatma Arslan,Salı,1330/1529,MDB,34,50,CHZ CHZE,12200,2019 - 2020 Güz Dönemi
CHZ 323,Maden Yatakları,Ali Haydar Gültekin,Pazartesi,0830/1129,MDB,32,50,CHZ,12210,2019 - 2020 Güz Dönemi
CHZ 323E,Ore Deposits,Emin Çiftçi,Salı,1330/1629,MDB,1,20,CHZE,15149,2019 - 2020 Güz Dönemi
CHZ 325,Kömür Hazırlama,Feridun Boylu,Perşembe,1330/1629,MDB,34,50,CHZ CHZM MAD,12202,2019 - 2020 Güz Dönemi
CHZ 348E,Bulk Materials Handling,Ayhan Ali Sirkeci,Salı,1330/1529,MDB,25,50,CHZ CHZE,12218,2019 - 2020 Güz Dönemi
CHZ 411E,Metallurgy II,Fatma Arslan,Perşembe,1130/1329,MDB,16,50,CHZ CHZE,12214,2019 - 2020 Güz Dönemi
CHZ 421,Cevher Haz. Proses Tasarımı,Abdullah Ekrem Yüce,Cuma,0830/1129,MDB,27,50,CHZ CHZM,12216,2019 - 2020 Güz Dönemi
CHZ 421E,Process Dsg.in Min.Beneficiat.,--,Cuma,0830/1129,MDB,0,0,CHZE CHZM,12217,2019 - 2020 Güz Dönemi
CHZ 432,Cevher Haz. Tesis Tasarımı,Feridun Boylu,Çarşamba,0830/1229,MEDB,7,20,CHZ,15151,2019 - 2020 Güz Dönemi
CHZ 433E,Boron Processing and Applic.,Gülay Bulut,Pazartesi,1430/1729,MDB,24,50,CHZ CHZE MADE,12173,2019 - 2020 Güz Dönemi
CHZ 452E,Mineral Process. & Environment,Fırat Burat,Pazartesi,1030/1229,MDB,18,50,CHZ CHZE,12212,2019 - 2020 Güz Dönemi
CHZ 454,Susuzlandırma ve Kurutma,Murat Olgaç Kangal,Çarşamba,1230/1529,MDB,31,50,CHZ,12219,2019 - 2020 Güz Dönemi
CHZ 454E,Dewatering and Drying,--,Çarşamba,1230/1529,MDB,0,0,CHZE,12172,2019 - 2020 Güz Dönemi
CHZ 492,Bitirme Çalışması,Gülay Bulut,----,/,MDB,9,500,CHZ,12175,2019 - 2020 Güz Dönemi
CHZ 492E,Graduation Thesis,Gülay Bulut,----,/,MDB,3,500,CHZ CHZE,12177,2019 - 2020 Güz Dönemi
