Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
EKO 201E,Economics,--,Cuma,0830/1129,MED,0,0,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE JDF JEO JEOE KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE TEK TEKE TEL UCK UCKE UZB UZBE,15492,2019 - 2020 Güz Dönemi
EKO 201E,Economics,Christopher Michael Hannum,Cuma,0830/1129,MED,244,125,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE JDF JEF JEO JEOE KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE TEK TEKE TEL UCK UCKE UZB UZBE,12288,2019 - 2020 Güz Dönemi
EKO 201E,Economics,Ayfer Gedikli,Perşembe,1430/1729,MED,129,125,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE JDF JEO JEOE KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE TEK TEKE TEL UCK UCKE UZB UZBE,15410,2019 - 2020 Güz Dönemi
EKO 201E,Economics,--,Perşembe,0830/1129,FEB,0,0,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE JDF JEO JEOE KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE TEK TEKE TEL UCK UCKE UZB UZBE,15494,2019 - 2020 Güz Dönemi
EKO 201E,Economics,Aysun Aygün,Perşembe,0830/1129,FEB,263,125,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE JDF JEF JEO JEOE KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE TEK TEKE TEL UCK UCKE UZB UZBE,13921,2019 - 2020 Güz Dönemi
EKO 201E,Economics,--,Salı,0830/1129,FEB,0,0,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE JDF JEO JEOE KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE TEK TEKE TEL UCK UCKE UZB UZBE,15489,2019 - 2020 Güz Dönemi
EKO 201E,Economics,Kerem Yavuz Arslanlı,Salı,0830/1129,FEB,235,125,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE JDF JEF JEO JEOE KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE TEK TEKE TEL UCK UCKE UZB UZBE,12287,2019 - 2020 Güz Dönemi
EKO 201E,Economics,Taylan Güler,Pazartesi,1330/1629,DZB,94,95,DUI DUIE GMI GMIE,13424,2019 - 2020 Güz Dönemi
EKO 201E,Economics,--,Pazartesi,0830/1129,FEB,0,0,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE JDF JEO JEOE KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE TEK TEKE TEL UCK UCKE UZB UZBE,15493,2019 - 2020 Güz Dönemi
EKO 201E,Economics,Sinan Ertemel,Pazartesi,0830/1129,FEB,275,125,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE JDF JEF JEO JEOE KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE TEK TEKE TEL UCK UCKE UZB UZBE,13920,2019 - 2020 Güz Dönemi
