Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
GID 111E,Int.to Food Eng.and Ethics,Aslı Can Karaça,Çarşamba,1230/1529,KMB,87,80,GID,10965,2019 - 2020 Güz Dönemi
GID 211E,Mass and Energy Balances,Meral Kılıç Akyılmaz,Salı,0930/1229,KMB,80,85,GID GIDE,10967,2019 - 2020 Güz Dönemi
GID 212E,Thermodynamics,--,Cuma,0830/1229,KMB,0,0,GIDE,15559,2019 - 2020 Güz Dönemi
GID 221E,Food Chemistry,"Esra Çapanoğlu Güven, Aslı Can Karaça, Neşe Şahin Yeşilçubuk",Pazartesi,0830/1129,KMB,74,80,GID GIDE GIDM,10966,2019 - 2020 Güz Dönemi
GID 311,Gıda Mikrobiyolojisi,Pervin Başaran Akocak,Perşembe,0930/1229,KMB,67,80,GID GIDM,10968,2019 - 2020 Güz Dönemi
GID 311E,Food Microbiology,Hatice Funda Karbancıoğlu Güler,Perşembe,0930/1229,KMB,1,5,GIDE,10969,2019 - 2020 Güz Dönemi
GID 321E,Food Microbiology I Lab.,Esra Çapanoğlu Güven,Salı,0830/1129,KMB,4,5,GIDE,10974,2019 - 2020 Güz Dönemi
GID 323,Gıda Mikrobiyolojisi Lab,Hatice Funda Karbancıoğlu Güler,Salı,1330/1729,KMB,25,30,GID,10972,2019 - 2020 Güz Dönemi
GID 323,Gıda Mikrobiyolojisi Lab,Hatice Funda Karbancıoğlu Güler,Salı,0830/1229,KMB,31,30,GID,10970,2019 - 2020 Güz Dönemi
GID 331E,Food Eng Unit Operations I,Fatma Ebru Fıratlıgil,Cuma,1330/1629,KMB,54,80,GID GIDE,10997,2019 - 2020 Güz Dönemi
GID 341,Isı Aktarımı,Fatma Ebru Fıratlıgil,Perşembe,1330/1629,KMB,58,80,GID,11018,2019 - 2020 Güz Dönemi
GID 341E,Heat Transfer,--,Perşembe,1330/1629,KMB,0,0,GIDE,10978,2019 - 2020 Güz Dönemi
GID 351,Kütle Aktarımı,Hasan Can Okutan,Pazartesi,1430/1729,KMB,45,80,GID,11020,2019 - 2020 Güz Dönemi
GID 351E,Mass Transfer,Filiz Altay,Pazartesi,1430/1729,KMB,1,5,GIDE,11021,2019 - 2020 Güz Dönemi
GID 411E,Food Engineering Design I,Gürbüz Güneş,Çarşamba,0930/1229,KMB,57,80,GID GIDE,11022,2019 - 2020 Güz Dönemi
GID 413E,Biotechnology,Neşe Şahin Yeşilçubuk,Perşembe,1330/1629,KMB,19,30,GID GIDE,11023,2019 - 2020 Güz Dönemi
GID 415E,Cold Storage Technology,Filiz Altay,Salı,0930/1229,KMB,23,30,GID GIDE,11033,2019 - 2020 Güz Dönemi
GID 421E,Food Technology,"Meral Kılıç Akyılmaz, Beraat Özçelik, Esra Çapanoğlu Güven, Gürbüz Güneş, Neşe Şahin Yeşilçubuk",Cuma,0930/1229,KMB,61,80,GID GIDE GIDM,11029,2019 - 2020 Güz Dönemi
GID 424,Gıda Kalite Kontrol,"Beraat Özçelik, Esra Çapanoğlu Güven",Salı,1330/1629,KMB,44,80,GID GIDM,11034,2019 - 2020 Güz Dönemi
GID 424E,Food Quality Control,Neşe Şahin Yeşilçubuk,Salı,1330/1629,KMB,1,10,GIDE,11028,2019 - 2020 Güz Dönemi
GID 432,Gıda Kalite Kontrol Lab,"Neşe Şahin Yeşilçubuk, Derya Kahveci Karıncaoğlu, Esra Çapanoğlu Güven",Pazartesi,1430/1729,KMB,12,35,GID,11024,2019 - 2020 Güz Dönemi
GID 432,Gıda Kalite Kontrol Lab,"Neşe Şahin Yeşilçubuk, Derya Kahveci Karıncaoğlu, Esra Çapanoğlu Güven",Pazartesi,1130/1429,KMB,36,35,GID,11026,2019 - 2020 Güz Dönemi
GID 432E,Food Quality Control Lab.,Aslı Can Karaça,Pazartesi,1130/1429,KMB,3,5,GIDE,11036,2019 - 2020 Güz Dönemi
GID 441,Proses Kontrol,"Filiz Altay, Ali Saffet Altay",Pazartesi,0830/1129,KMB,46,80,FIZ GID,11040,2019 - 2020 Güz Dönemi
GID 441E,Process Control,Fatma Ebru Fıratlıgil,Pazartesi,0830/1129,KMB,1,10,FIZE GIDE,11042,2019 - 2020 Güz Dönemi
GID 492,Bitirme Çalışması,Beraat Özçelik,----,/,KMB,6,500,GID,11043,2019 - 2020 Güz Dönemi
GID 492E,Graduation Project,Beraat Özçelik,----,/,KMB,2,500,GID GIDE,11044,2019 - 2020 Güz Dönemi
