Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
INS 101,Teknik Resim,Sabahat Topuz Kiremitçi,Perşembe Cuma,1230/1329 1030/1229,INB INB,25,60,INS,13790,2019 - 2020 Güz Dönemi
INS 101,Teknik Resim,Bahattin Kimençe,Perşembe Cuma,0830/1029 1530/1629,INB INB,10,60,INS,13798,2019 - 2020 Güz Dönemi
INS 101,Teknik Resim,Bahattin Kimençe,Salı Çarşamba,1230/1329 1030/1229,INB INB,20,20,INS,15563,2019 - 2020 Güz Dönemi
INS 101,Teknik Resim,Sabahat Topuz Kiremitçi,Salı Perşembe,0830/1029 1130/1229,MDB MDB,69,70,INS,13784,2019 - 2020 Güz Dönemi
INS 101,Teknik Resim,Çağlar Akkaya,Pazartesi Salı,1530/1629 1430/1629,INB INB,21,60,INS,13800,2019 - 2020 Güz Dönemi
INS 101,Teknik Resim,Sabahat Topuz Kiremitçi,Pazartesi Çarşamba,1030/1229 1230/1329,INB INB,60,60,INS,13788,2019 - 2020 Güz Dönemi
INS 101E,Technical Drawing,Çağlar Akkaya,Salı Çarşamba,1230/1329 1030/1229,INB INB,63,60,INS INSE,13802,2019 - 2020 Güz Dönemi
INS 101E,Technical Drawing,Çağlar Akkaya,Salı Perşembe,0830/1029 1130/1229,INB INB,64,60,INS INSE,15317,2019 - 2020 Güz Dönemi
INS 106,İnşaat Müh. İçin Yerbilimi,Yılmaz Mahmutoğlu,Perşembe,1030/1229,INB,65,60,INS,13645,2019 - 2020 Güz Dönemi
INS 106E,Earth Science for Civil Engin.,Ziyadin Çakır,Salı,1330/1529,INB,62,60,INS INSE,13647,2019 - 2020 Güz Dönemi
INS 107E,Int. to Prog. Lang. (Python),Gökhan Çevikbilen,Perşembe Cuma,1430/1629 1430/1529,INB INB,28,45,INS INSE,13588,2019 - 2020 Güz Dönemi
INS 107E,Int. to Prog. Lang. (Python),Cem Demir,Perşembe Cuma,1030/1129 0830/1029,INB INB,10,45,INS INSE,13591,2019 - 2020 Güz Dönemi
INS 107E,Int. to Prog. Lang. (Python),Erol Lale,Çarşamba Perşembe,0830/1029 1330/1429,INB INB,66,45,INS INSE,13590,2019 - 2020 Güz Dönemi
INS 107E,Int. to Prog. Lang. (Python),Aslı Yalçın Dayıoğlu,Salı Perşembe,0830/1029 1130/1229,INB INB,30,45,INS INSE,13589,2019 - 2020 Güz Dönemi
INS 107E,Int. to Prog. Lang. (Python),Gökhan Çevikbilen,Pazartesi Çarşamba,1330/1529 1230/1329,INB INB,48,48,INS INSE,15565,2019 - 2020 Güz Dönemi
INS 107E,Int. to Prog. Lang. (Python),Mustafa Hatipoğlu,Pazartesi Çarşamba,1330/1529 1230/1329,INB INB,50,45,INS INSE,13592,2019 - 2020 Güz Dönemi
INS 107E,Int. to Prog. Lang. (Python),Nilay Çelik Muhtaroğlu,Pazartesi Salı,1230/1329 1030/1229,INB INB,51,45,INS INSE,13593,2019 - 2020 Güz Dönemi
INS 107E,Int. to Prog. Lang. (Python),Tolga Yılmaz Özüdoğru,Pazartesi Cuma,1130/1329 1130/1229,INB INB,67,67,INS INSE,15564,2019 - 2020 Güz Dönemi
INS 111,İnşaat Müh. Giriş ve Etik,"Kadir Güler, Hüseyin Onur Tezcan",Çarşamba,1330/1429,MED,200,200,INS,11833,2019 - 2020 Güz Dönemi
INS 111E,Int. to Civil Eng. & Ethics,"Kadir Güler, Hüseyin Onur Tezcan",Çarşamba,1430/1529,MED,150,200,INS INSE,11837,2019 - 2020 Güz Dönemi
INS 201,Malzeme Bilimi,Ünal Anıl Doğan,Çarşamba Cuma,1030/1229 1130/1229,INB INB,54,50,INS,13201,2019 - 2020 Güz Dönemi
INS 201,Malzeme Bilimi,--,Salı Çarşamba,0830/1029 0830/0929,INB INB,0,0,INS,13203,2019 - 2020 Güz Dönemi
INS 201,Malzeme Bilimi,"Hasan Yıldırım, Özkan Şengül",Salı Çarşamba,0830/1029 0830/0929,INB INB,40,50,INS,13202,2019 - 2020 Güz Dönemi
INS 201,Malzeme Bilimi,Yılmaz Akkaya,Pazartesi Salı,0830/1029 1030/1129,INB INB,56,50,INS,13200,2019 - 2020 Güz Dönemi
