Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ITA 101,İtalyanca I,Lina Calogera,Cuma,0830/1229,DIB,25,25,Tüm Lisans ve Lisansüstü Programlar,10764,2019 - 2020 Güz Dönemi
ITA 101,İtalyanca I,Valentina Elmetti,Perşembe,0830/1229,DIB,25,25,Tüm Lisans ve Lisansüstü Programlar,14211,2019 - 2020 Güz Dönemi
ITA 101,İtalyanca I,Lina Calogera,Perşembe,0830/1229,FEB,24,25,Tüm Lisans ve Lisansüstü Programlar,10767,2019 - 2020 Güz Dönemi
ITA 101,İtalyanca I,Lina Calogera,Salı,0830/1229,DIB,22,25,Tüm Lisans ve Lisansüstü Programlar,10755,2019 - 2020 Güz Dönemi
ITA 102,İtalyanca II,Valentina Elmetti,Perşembe,1330/1729,DIB,24,25,Tüm Lisans ve Lisansüstü Programlar,10784,2019 - 2020 Güz Dönemi
ITA 102,İtalyanca II,Valentina Elmetti,Çarşamba,0830/1229,DIB,14,20,Tüm Lisans ve Lisansüstü Programlar,10779,2019 - 2020 Güz Dönemi
ITA 102,İtalyanca II,Lina Calogera,Pazartesi,1330/1729,DIB,14,20,Tüm Lisans ve Lisansüstü Programlar,10772,2019 - 2020 Güz Dönemi
ITA 201,İtalyanca III,Valentina Elmetti,Cuma,1330/1729,DIB,16,20,Tüm Lisans ve Lisansüstü Programlar,10786,2019 - 2020 Güz Dönemi
ITA 201,İtalyanca III,Lina Calogera,Salı,1330/1729,DIB,12,20,Tüm Lisans ve Lisansüstü Programlar,10775,2019 - 2020 Güz Dönemi
ITA 202,İtalyanca IV,Valentina Elmetti,Salı,1330/1729,DIB,18,20,Tüm Lisans ve Lisansüstü Programlar,10782,2019 - 2020 Güz Dönemi
