Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
SEN 101,Intr.to Industrial Engineering,İrem Uçal Sarı,Cuma,0930/1229,ISB,7,20,SEN,12065,2019 - 2020 Güz Dönemi
SEN 301,Operations Research I,Yusuf İlker Topcu,Salı,0930/1229,ISB,26,30,SEN,12060,2019 - 2020 Güz Dönemi
SEN 303,Ergonomics,Fethi Çalışır,Çarşamba,0930/1229,ISB,26,30,SEN,12061,2019 - 2020 Güz Dönemi
SEN 305,Engineering Economy,Cengiz Kahraman,Pazartesi,1330/1629,ISB,26,30,SEN,12062,2019 - 2020 Güz Dönemi
SEN 315,Manufacturing Processes,Emre Çevikcan,Çarşamba,1230/1529,ISB,26,30,SEN,12066,2019 - 2020 Güz Dönemi
SEN 317,Intr.to Inform.Processimg Syst,Başar Öztayşi,Perşembe,0930/1129,ISB,24,30,SEN,12063,2019 - 2020 Güz Dönemi
SEN 321,Business Law,--,Perşembe,0930/1129,ISB,0,0,SEN,12085,2019 - 2020 Güz Dönemi
SEN 325,Supply Chain Management,Şeyda Serdar Asan,Perşembe,1230/1429,ISB,24,25,SEN,12064,2019 - 2020 Güz Dönemi
SEN 339,Project Management Systems,Şule Itır Satoğlu,Cuma,0900/1159,ISB,24,25,SEN,12068,2019 - 2020 Güz Dönemi
SEN 342,Knowledge and Innovation Syst.,Seda Yanık,Cuma,1400/1659,ISB,1,20,SEN,12067,2019 - 2020 Güz Dönemi
