Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
END 112E,Intr. to Manufacturing Systems,Vehbi Tufan Koç,Perşembe,1430/1729,,100,120,END ENDE,23804,2020 - 2021 Bahar Dönemi
END 112E,Intr. to Manufacturing Systems,Vehbi Tufan Koç,Perşembe,1130/1429,,114,120,END ENDE,23801,2020 - 2021 Bahar Dönemi
END 201E,Industrial Eng.Appl. in Phyton,Mehmet Ali Ergün,Pazartesi,0830/1129,,81,130,END ENDE,23805,2020 - 2021 Bahar Dönemi
END 201E,Industrial Eng.Appl. in Phyton,Mehmet Yasin Ulukuş,Çarşamba,1230/1529,,130,130,END ENDE,23806,2020 - 2021 Bahar Dönemi
END 232,İşbilim,Çiğdem Altın Gümüşsoy,Salı,1130/1429,,64,75,END,23810,2020 - 2021 Bahar Dönemi
END 232,İşbilim,Çiğdem Altın Gümüşsoy,Salı,0830/1129,,73,75,END,23807,2020 - 2021 Bahar Dönemi
END 232E,Ergonomics,Fethi Çalışır,Çarşamba,0930/1229,,88,85,END ENDE,23871,2020 - 2021 Bahar Dönemi
END 308,Kalite Mühendisliği,Hüsnü Bülent Cerit,Çarşamba,1230/1429,,59,75,END,23812,2020 - 2021 Bahar Dönemi
END 308,Kalite Mühendisliği,Hüsnü Bülent Cerit,Çarşamba,0930/1129,,26,75,END,23811,2020 - 2021 Bahar Dönemi
END 308E,Quality Engineering,Mehmet Yasin Ulukuş,Perşembe,1130/1329,,104,100,END ENDE,23874,2020 - 2021 Bahar Dönemi
END 311,İstatistik,Cengiz Kahraman,Pazartesi,1130/1429,,15,75,END,23813,2020 - 2021 Bahar Dönemi
END 311,İstatistik,Cengiz Kahraman,Cuma,1430/1729,,57,75,END,23815,2020 - 2021 Bahar Dönemi
END 311E,Statistics,Çiğdem Kadaifçi,Salı,1130/1429,,60,70,END ENDE,23877,2020 - 2021 Bahar Dönemi
END 312,Mühendislik Ekonomisi,İrem Uçal Sarı,Salı,1130/1429,,90,85,END,23819,2020 - 2021 Bahar Dönemi
END 312,Mühendislik Ekonomisi,Cengiz Kahraman,Pazartesi,1430/1729,,55,75,END,23817,2020 - 2021 Bahar Dönemi
END 312E,Engineering Economics,İrem Uçal Sarı,Çarşamba,1230/1529,,95,95,END ENDE,23878,2020 - 2021 Bahar Dönemi
END 314,Hizmet Sistemleri,Cemil Ceylan,Perşembe,1130/1429,,35,45,END,23836,2020 - 2021 Bahar Dönemi
END 316,Grup Tekno & Esnek Üretim Sist,Mehmet Bülent Durmuşoğlu,Çarşamba,1230/1529,,45,47,END IML,23838,2020 - 2021 Bahar Dönemi
END 318,Sistem Dinamiği,Cafer Erhan Bozdağ,Salı,0830/1129,,32,40,END,23866,2020 - 2021 Bahar Dönemi
END 322,Sistem Simülasyonu,Cafer Erhan Bozdağ,Salı Cuma,1430/1629 1500/1559,,77,75,END,23821,2020 - 2021 Bahar Dönemi
END 322,Sistem Simülasyonu,Cafer Erhan Bozdağ,Salı Cuma,1130/1329 1030/1129,,37,75,END,23820,2020 - 2021 Bahar Dönemi
END 322E,System Simulation,Emine Yaylalı,Salı,1130/1429,,83,80,END ENDE,23880,2020 - 2021 Bahar Dönemi
END 331,Yöneylem Araştırması I,"Özgür Kabak, Yusuf İlker Topcu",Pazartesi,1430/1729,,73,150,END,23822,2020 - 2021 Bahar Dönemi
END 331E,Operations Research I,Kutay Tinç,Pazartesi,1130/1429,,113,110,END ENDE KOME PETE,23882,2020 - 2021 Bahar Dönemi
END 336,Ürün Geliştirme,Ekrem Cem Alppay,Pazartesi,0830/1129,,6,40,END,24465,2020 - 2021 Bahar Dönemi
