Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
FIZ 113,Mekanik,Ömer Faruk Dayı,Pazartesi Çarşamba Cuma,0830/1029 0830/1029 0830/0929,,56,60,FIZ FIZM,20957,2020 - 2021 Bahar Dönemi
FIZ 114,Sürekli Ortamlar Fiziği,Sevim İşçi Turutoğlu,Pazartesi Çarşamba,0830/1029 0830/1029,,49,75,FIZ FIZM,20958,2020 - 2021 Bahar Dönemi
FIZ 114EL,Continous Media Laboratory,Sevim İşçi Turutoğlu,Çarşamba,1330/1529,,27,35,FIZ FIZE,20960,2020 - 2021 Bahar Dönemi
FIZ 114EL,Continous Media Laboratory,Sevim İşçi Turutoğlu,Çarşamba,1030/1229,,39,40,FIZ FIZE,20959,2020 - 2021 Bahar Dönemi
FIZ 201,Modern Fizik,Mehmet Murat Sunar,Cuma,1400/1659,,169,170,CHZ DEN EHB ELE ELH ELK FIZM GEM JEF JEO KOM MAD MET MTO PET TEL UCK UCKM UZB,20961,2020 - 2021 Bahar Dönemi
FIZ 201E,Modern Physics,Mehmet Murat Sunar,Perşembe,1430/1729,,72,85,MET METE,25091,2020 - 2021 Bahar Dönemi
FIZ 201E,Modern Physics,Mehmet Murat Sunar,Pazartesi,1330/1629,,110,155,CHZ CHZE DEN DENE EHB EHBE ELE ELH ELK ELKE FIZM GEM GEME GEMK GMI GMIE JEF JEO JEOE KOM KOME MAD MADE METE MTO MTOE PET PETE TEL UCK UCKE UZB UZBE UZBM,20962,2020 - 2021 Bahar Dönemi
FIZ 213E,Electricity and Magnetism,Sevtap Yıldız Özbek,Pazartesi Çarşamba Cuma,0830/1029 0830/1029 0830/0929,,13,55,FIZ FIZE,20963,2020 - 2021 Bahar Dönemi
FIZ 213EL,Electricity & Magnetism Lab.,Sevtap Yıldız Özbek,Çarşamba,1330/1529,,11,30,FIZ FIZE,20965,2020 - 2021 Bahar Dönemi
FIZ 213EL,Electricity & Magnetism Lab.,Sevtap Yıldız Özbek,Çarşamba,1130/1329,,33,34,FIZ FIZE,20964,2020 - 2021 Bahar Dönemi
