Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
GID 204E,Momentum Transfer,Filiz Altay,Perşembe,1330/1629,,81,85,GID GIDE,21283,2020 - 2021 Bahar Dönemi
GID 211E,Mass and Energy Balances,--,Pazartesi,0930/1229,,0,0,GID GIDE,24906,2020 - 2021 Bahar Dönemi
GID 212,Termodinamik,Fatma Ebru Fıratlıgil,Çarşamba,0930/1329,,95,95,GID,21284,2020 - 2021 Bahar Dönemi
GID 212E,Thermodynamics,--,Çarşamba,0930/1329,,0,0,GIDE,21285,2020 - 2021 Bahar Dönemi
GID 222,Mikrobiyoloji,Pervin Başaran Akocak,Salı,1330/1629,,73,85,GID GIDM,21290,2020 - 2021 Bahar Dönemi
GID 222E,Microbiology,--,Salı,1330/1629,,0,0,GIDE,21292,2020 - 2021 Bahar Dönemi
GID 224,"Gıda Toksik.,Kontamin.&Katk.","Beraat Özçelik, Aslı Can Karaça, Esra Çapanoğlu Güven",Salı,0830/1129,,79,85,GID GIDM,21300,2020 - 2021 Bahar Dönemi
GID 232E,Food chemistry II,--,Salı,0830/1129,,0,0,GIDE,21316,2020 - 2021 Bahar Dönemi
GID 314E,Sensory Analysis,"Beraat Özçelik, Esra Çapanoğlu Güven",Çarşamba,0930/1229,,26,31,GID GIDE GIDM,21315,2020 - 2021 Bahar Dönemi
GID 316E,Food Packaging,Gürbüz Güneş,Perşembe,1330/1629,,7,20,GID GIDE,21287,2020 - 2021 Bahar Dönemi
GID 322,Gıda Müh Temel İşlemler II,Fatma Ebru Fıratlıgil,Perşembe,0830/1129,,70,85,GID GIDM,21317,2020 - 2021 Bahar Dönemi
GID 322E,Food Eng.Unit Operations II,--,Perşembe,0930/1229,,0,0,GIDE,24908,2020 - 2021 Bahar Dönemi
GID 322E,Food Eng.Unit Operations II,--,Perşembe,0930/1229,,0,0,GIDE,21321,2020 - 2021 Bahar Dönemi
GID 324E,"Food Safety,Sanitat.&Preserv.",Hatice Funda Karbancıoğlu Güler,Cuma,0930/1229,,77,85,GID GIDE,21295,2020 - 2021 Bahar Dönemi
GID 332,Gıda Mühendisliği Laboratuarı,"Fatma Ebru Fıratlıgil, Derya Kahveci Karıncaoğlu, Filiz Altay",Pazartesi,1330/1729,,30,29,GID,21319,2020 - 2021 Bahar Dönemi
GID 332,Gıda Mühendisliği Laboratuarı,"Fatma Ebru Fıratlıgil, Derya Kahveci Karıncaoğlu, Filiz Altay",Pazartesi,0830/1229,,42,41,GID,21318,2020 - 2021 Bahar Dönemi
GID 408E,Statistical Methods,Aslı Can Karaça,Salı,1330/1729,,40,40,GID GIDE,21322,2020 - 2021 Bahar Dönemi
GID 416E,Shelf Life of Foods,Meral Kılıç Akyılmaz,Perşembe,1330/1629,,39,43,GID GIDE GIDM,21323,2020 - 2021 Bahar Dönemi
GID 418E,Biochem.Chan.During Food Proc.,Neşe Şahin Yeşilçubuk,Pazartesi,1330/1629,,20,30,GID GIDE GIDM,21324,2020 - 2021 Bahar Dönemi
GID 421E,Food Technology,"Meral Kılıç Akyılmaz, Beraat Özçelik, Esra Çapanoğlu Güven, Gürbüz Güneş, Neşe Şahin Yeşilçubuk",Cuma,1400/1659,,69,80,GID GIDE GIDM,21303,2020 - 2021 Bahar Dönemi
GID 438,Coğrafi İşaretlerin Korunması,"Beraat Özçelik, Didem Özgür",Cuma,0930/1229,,17,30,GID,21307,2020 - 2021 Bahar Dönemi
GID 450,Gıda Müh. Özel Konular,"Beraat Özçelik, Aslı Can Karaça, Celale Kırkın Gözükırmızı, Fatma Ebru Fıratlıgil, Filiz Altay, Gürbüz Güneş, Hatice Funda Karbancıoğlu Güler, Meral Kılıç Akyılmaz, Neşe Şahin Yeşilçubuk, Pervin Başaran Akocak",----,/,,25,85,GID,21311,2020 - 2021 Bahar Dönemi
GID 4901E,Food Engineering Design I,"Gürbüz Güneş, Celale Kırkın Gözükırmızı",Pazartesi,1330/1729,,30,40,GID,24907,2020 - 2021 Bahar Dönemi
GID 4902,Gıda Mühendisliği Tasarımı II,"Gürbüz Güneş, Celale Kırkın Gözükırmızı, Derya Kahveci Karıncaoğlu, Fatma Ebru Fıratlıgil, Filiz Altay, Meral Kılıç Akyılmaz",Salı Perşembe,0830/1329 1630/1729,,33,50,GID,21320,2020 - 2021 Bahar Dönemi
GID 492,Bitirme Çalışması,Meral Kılıç Akyılmaz,----,/,,13,500,GID,25095,2020 - 2021 Bahar Dönemi
GID 492E,Graduation Project,Meral Kılıç Akyılmaz,----,/,,6,500,GID GIDE,25096,2020 - 2021 Bahar Dönemi
