Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ICM 126,"Iç Mim.Tarih,Kuram & Eleştri I",Deniz Çalışır Pençe,Cuma,0830/1029,,91,100,ICM,22465,2020 - 2021 Bahar Dönemi
ICM 206E,Surv andRepr.Tch.in Intr.Arch.,Akın Tolga İlter,Cuma,0830/1229,,75,80,ICM ICMM,22470,2020 - 2021 Bahar Dönemi
ICM 224,"Iç Mim.Tarih,Kuram &Elştri III",Deniz Çalışır Pençe,Salı,0830/1029,,66,100,ICM,22466,2020 - 2021 Bahar Dönemi
ICM 246E,Interior Arch. Design Studio I,Akın Tolga İlter,Pazartesi Perşembe,1330/1729 1330/1729,,19,23,ICM ICMM,22468,2020 - 2021 Bahar Dönemi
ICM 246E,Interior Arch. Design Studio I,Zeynep Birgönül,Pazartesi Perşembe,1330/1729 1330/1729,,21,21,ICM ICMM,22469,2020 - 2021 Bahar Dönemi
ICM 246E,Interior Arch. Design Studio I,Emine Görgül,Pazartesi Perşembe,1330/1729 1330/1729,,23,23,ICM ICMM,22467,2020 - 2021 Bahar Dönemi
ICM 319,Mimari Üsluplar,Deniz Çalışır Pençe,Cuma,1400/1659,,14,20,ICM PEM,22517,2020 - 2021 Bahar Dönemi
ICM 329,İç Mimarlıkta Tekstil,Belgin Görgün,Salı,0830/1129,,30,33,ICM PEM,22519,2020 - 2021 Bahar Dönemi
ICM 346,Yapı Malzemesi II,Mehmet Serkan Yatağan,Çarşamba,0830/1229,,8,80,ICM,22477,2020 - 2021 Bahar Dönemi
ICM 349E,Interior Arch.Design Studio II,--,Pazartesi Perşembe,1330/1729 1330/1729,,0,0,ICM ICMM,22473,2020 - 2021 Bahar Dönemi
ICM 349E,Interior Arch.Design Studio II,Akın Tolga İlter,Pazartesi Perşembe,1330/1729 1330/1729,,2,4,ICM ICMM,22472,2020 - 2021 Bahar Dönemi
ICM 349E,Interior Arch.Design Studio II,Emine Görgül,Pazartesi Perşembe,1330/1729 1330/1729,,8,8,ICM ICMM,22471,2020 - 2021 Bahar Dönemi
ICM 360E,"Social Transform.,Gender&Space",Emine Görgül,Çarşamba,1230/1529,,112,120,ENTE EUTE ICM MIM MIME PEME SBP SBPE,22520,2020 - 2021 Bahar Dönemi
ICM 366E,Interior Arch.Desgn Studio III,Orkan Zeynel Güzelci,Pazartesi Perşembe,1330/1729 1330/1729,,17,18,ICM,22488,2020 - 2021 Bahar Dönemi
ICM 366E,Interior Arch.Desgn Studio III,Özge Cordan,Pazartesi Perşembe,1330/1729 1330/1729,,12,18,ICM,22481,2020 - 2021 Bahar Dönemi
ICM 366E,Interior Arch.Desgn Studio III,Ervin Garip,Pazartesi Perşembe,1330/1729 1330/1729,,13,18,ICM,22478,2020 - 2021 Bahar Dönemi
ICM 368E,Dsgn Prins of Intr. Fins. Sys,Mehmet Serkan Yatağan,Perşembe,0830/1329,,62,80,ICM ICMM,22475,2020 - 2021 Bahar Dönemi
ICM 374,Meslek Pratiği,Gülfer Oraz,Pazartesi,0830/1229,,56,80,ICM,22474,2020 - 2021 Bahar Dönemi
ICM 408E,Comm Design In Interior Arch.,Zeynep Birgönül,Salı,1030/1229,,56,80,ICM,22508,2020 - 2021 Bahar Dönemi
ICM 449E,Interior Arch.Desgn Studio IV,Özge Cordan,Pazartesi Perşembe,1330/1729 1330/1729,,3,3,ICM,22499,2020 - 2021 Bahar Dönemi
ICM 449E,Interior Arch.Desgn Studio IV,Orkan Zeynel Güzelci,Pazartesi Perşembe,1330/1729 1330/1729,,3,3,ICM,22504,2020 - 2021 Bahar Dönemi
ICM 449E,Interior Arch.Desgn Studio IV,Ervin Garip,Pazartesi Perşembe,1330/1729 1330/1729,,2,3,ICM,22495,2020 - 2021 Bahar Dönemi
ICM 4902,Diploma Projesi,Özge Cordan,----,/,,33,500,ICM,22512,2020 - 2021 Bahar Dönemi
ICM 4902E,Graduation Project,Özge Cordan,----,/,,16,500,ICM,22514,2020 - 2021 Bahar Dönemi
