Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MST 102,Maritime Safety and Security,Levent Beden,Perşembe,0830/1229,,53,60,DUIK GMIK MEN MTM,23522,2020 - 2021 Bahar Dönemi
MST 202,Maritime English II,Halime Ceren Göktaş,Perşembe,0830/1029,,30,60,DUIK MTM MTTM,23556,2020 - 2021 Bahar Dönemi
MST 211,Maritime Conventions,Burak Zincir,Salı,1730/1929,,77,95,DUIK GEMK GMIK MEN MTM MTTM NAE,23549,2020 - 2021 Bahar Dönemi
MST 212,Ship Emergency Response,Tanju Kurtuluş,Perşembe,1730/1929,,60,65,DUIK GEMK GMIK MEN MTM NAE,23565,2020 - 2021 Bahar Dönemi
MST 222,Marine Electronics,Ali Sinan Çabuk,Cuma,1130/1429,,49,50,DUIK GEMK GMIK MEN MTM NAE,23481,2020 - 2021 Bahar Dönemi
MST 222,Marine Electronics,Yasin Arslanoğlu,Çarşamba,0830/1129,,20,60,DUIK GEMK GMIK MEN MTM NAE,23560,2020 - 2021 Bahar Dönemi
MST 252,Radio Watchkeeping,Alaaddin Yıldıray Ertaş,Pazartesi,1230/1529,,46,60,DUIK GEMK GMIK MEN MTM NAE,23548,2020 - 2021 Bahar Dönemi
MST 261,Rowing and Canoe-Kayak Sports,Yunus Emre Şenol,Cuma,0830/1129,,19,60,DUIK GEMK GMIK MEN MTM NAE,23557,2020 - 2021 Bahar Dönemi
MST 262,Maritime English II,Müjgan Özenir,Perşembe,1130/1329,,24,60,GEMK GMIK MEN NAE,23561,2020 - 2021 Bahar Dönemi
MST 262,Maritime English II,Halime Ceren Göktaş,Salı,1330/1529,,23,50,GEMK GMIK MEN NAE,23494,2020 - 2021 Bahar Dönemi
MST 272,Marit. Human Resources Manag.,Leyla Tavacıoğlu,Pazartesi,1030/1229,,20,60,DUIK GEMK GMIK MEN MTM NAE,23583,2020 - 2021 Bahar Dönemi
MST 292,Environmental Mng.in Ship Opr.,Tanzer Satır,Pazartesi,0830/1029,,35,60,DUIK GEMK GMIK MEN MTM NAE,23569,2020 - 2021 Bahar Dönemi
MST 301,Technical Ship Management,Özcan Arslan,Salı,1330/1529,,49,60,DUIK GEMK GMIK MEN MTM MTTM NAE,23562,2020 - 2021 Bahar Dönemi
MST 302,Corros. & Foul. in Marine Env.,Metin Taylan,Çarşamba,1130/1329,,9,50,GEMK GMIK MEN NAE NAEM,23498,2020 - 2021 Bahar Dönemi
MST 331,Shipping Finance,Selim Aksoy,Pazartesi,1130/1329,,14,60,DUIK GEMK GMIK MEN MTM NAE,25112,2020 - 2021 Bahar Dönemi
MST 401,Maritime Safety,Levent Beden,Çarşamba,1730/2029,,6,60,DUIK GMIK MEN MTM,25114,2020 - 2021 Bahar Dönemi
MST 402,Mar.Sec. & Quality Manag. Sys,Yunus Emre Şenol,Salı,0830/1029,,58,60,DUIK GMIK MEN MENM MTM MTTM,23579,2020 - 2021 Bahar Dönemi
MST 412,Ship Surveying Procedures,Tanju Kurtuluş,Cuma,1400/1559,,79,95,DUIK GEMK GMIK MEN MTM NAE,23588,2020 - 2021 Bahar Dönemi
MST 413,Shipyard Organization,Erdem Üçer,Salı,1330/1529,,65,80,DUIK GEMK GMIK MEN MTM NAE,23486,2020 - 2021 Bahar Dönemi
MST 421,Meteorology and Oceanography,Ayşe Nak,Perşembe,1930/2129,,9,60,DUIK MTM MTTM,25113,2020 - 2021 Bahar Dönemi
MST 422,Maritime Law II,Nuri Koray Kurun,Cuma,1600/1859,,60,80,DUIK GEMK GMIK MEN MTM NAE,23582,2020 - 2021 Bahar Dönemi
MST 432,Commercial Ship Management,Emre Akyüz,Perşembe,1530/1729,,68,90,DUIK GEMK GMIK MEN MTM NAE,23580,2020 - 2021 Bahar Dönemi
MST 441,Deck Machinery,Cumali Seçkin Mengeçin,Çarşamba,1730/1929,,46,60,DUIK GEMK GMIK MEN MTM NAE,23584,2020 - 2021 Bahar Dönemi
MST 451,Marine Insurance,Sinan Çakır,Salı,1030/1229,,19,60,DUIK GEMK GMIK MEN MTM NAE,23587,2020 - 2021 Bahar Dönemi
MST 452,Port Management,Selim Aksoy,Pazartesi,1730/1929,,59,60,DUIK GEMK GMIK MEN MTM NAE,23586,2020 - 2021 Bahar Dönemi
MST 461,Terminal & Tanker Operations,Yunus Emre Şenol,Çarşamba,0830/1029,,33,60,DUIK GEMK GMIK MEN MTM NAE,23574,2020 - 2021 Bahar Dönemi
MST 472,Marine Accidents& Safety Cult.,Cemil Yurtören,Perşembe,1330/1529,,40,60,DUIK GEMK GMIK MEN MTM NAE,23577,2020 - 2021 Bahar Dönemi
