Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MTM 102,Watchkeeping I,Selim Aksoy,Salı,1030/1229,,34,60,DUIK MTM MTTM,23530,2020 - 2021 Bahar Dönemi
MTM 112,Seamanship,Orhan Gönel,Pazartesi,1330/1829,,32,60,DUIK MTM,23527,2020 - 2021 Bahar Dönemi
MTM 122,Intro. to Navigation,Orhan Gönel,Pazartesi,0830/1129,,33,60,DUIK MTM MTTM,23526,2020 - 2021 Bahar Dönemi
MTM 202,Cargo Handling and Stowage I,Tanzer Satır,Pazartesi,1530/1729,,30,60,DUIK MTM,23566,2020 - 2021 Bahar Dönemi
MTM 211,Onboard Training-I,Selim Aksoy,----,/,,13,60,DUIK MTM,23547,2020 - 2021 Bahar Dönemi
MTM 212,Electronic Navigation,Serdar Kum,Pazartesi,0830/1129,,28,60,DUIK MTM MTTM,23564,2020 - 2021 Bahar Dönemi
MTM 302,Onboard Training-III,Selim Aksoy,----,/,,32,60,DUIK MTM MTTM,23573,2020 - 2021 Bahar Dönemi
MTM 331,Maritime Practical Studies,--,Salı,1330/1729,,0,0,DUIK MTM,25116,2020 - 2021 Bahar Dönemi
MTM 341,Onboard Training-II,Selim Aksoy,----,/,,17,60,DUIK MTM,23568,2020 - 2021 Bahar Dönemi
MTM 402,Graduation Design Project,Selim Aksoy,----,/,,24,60,DUIK MTM,23585,2020 - 2021 Bahar Dönemi
MTM 412,Ship Management and Leadership,Cemil Yurtören,Perşembe,0930/1329,,8,60,DUIK MTM MTTM,23578,2020 - 2021 Bahar Dönemi
