Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MTR 102,Makam Teorisi II,Şerife Güvençoğlu,Salı Çarşamba Cuma,1530/1729 1330/1529 1030/1229,,22,40,MTR MUT MUZ MZT SES,22987,2020 - 2021 Bahar Dönemi
MTR 102,Makam Teorisi II,Eren Özek,Pazartesi Salı Perşembe,1530/1729 1330/1529 0830/1029,,31,40,MTR MUT MUZ MZT SES,22976,2020 - 2021 Bahar Dönemi
MTR 102,Makam Teorisi II,Eren Özek,Pazartesi Perşembe Cuma,1030/1229 1030/1229 1400/1559,,42,43,MTR MUT MUZ MZT SES,23002,2020 - 2021 Bahar Dönemi
MTR 104,Müzik Teorisi II,Mehmet Özkan,Pazartesi Perşembe Cuma,1030/1229 1330/1529 0830/1029,,29,30,MTR MUT MUZ MZT SES,24936,2020 - 2021 Bahar Dönemi
MTR 104,Müzik Teorisi II,Ayşecan Olgun,Salı Perşembe Cuma,1330/1529 0830/1029 1030/1229,,26,30,MTR MUT MUZ MZT SES,23006,2020 - 2021 Bahar Dönemi
MTR 104,Müzik Teorisi II,Emel Şenocak,Salı Çarşamba Perşembe,1330/1529 1330/1529 0830/1029,,18,30,MTR MUT MUZ MZT SES,23003,2020 - 2021 Bahar Dönemi
MTR 104,Müzik Teorisi II,Ufuk Biçak,Salı Perşembe Cuma,0830/1029 1330/1529 1030/1229,,31,30,MTR MUT MUZ MZT SES,22977,2020 - 2021 Bahar Dönemi
MTR 106,Ritim Uygulama II,Eyüp Uzunkaya,Salı,1330/1529,,29,29,MTR,22989,2020 - 2021 Bahar Dönemi
MTR 122,Makam Teorisi II,Şirin Karadeniz Güney,Pazartesi Perşembe,1330/1529 1030/1229,,26,26,THO,23008,2020 - 2021 Bahar Dönemi
MTR 124,Müzik Teorisi II,Emel Şenocak,Salı Perşembe,1030/1229 1330/1529,,27,27,THO,23007,2020 - 2021 Bahar Dönemi
MTR 132,Makam Teorisi II,Şirin Karadeniz Güney,Pazartesi Perşembe,1330/1529 1030/1229,,0,10,CGM6 MUT SES THO,23009,2020 - 2021 Bahar Dönemi
MTR 134,Müzik Teorisi II,Ayşecan Olgun,Çarşamba Cuma,1030/1229 1400/1559,,0,15,CGM6 MUT SES THO,23018,2020 - 2021 Bahar Dönemi
MTR 142,Makam Teorisi II,Neşe Yeşim Altınel Çoban,Salı Perşembe,1330/1529 1030/1229,,15,30,BST CAB CEB CGM7 KMP,23013,2020 - 2021 Bahar Dönemi
MTR 144,Müzik Teorisi II,Mehmet Özkan,Çarşamba Perşembe,1030/1229 1530/1729,,14,30,BST CAB CEB CGM7 KMP,23014,2020 - 2021 Bahar Dönemi
MTR 202,Makam Teorisi IV,Şirin Karadeniz Güney,Salı Perşembe Cuma,0830/1029 1530/1729 1030/1229,,7,35,MTR MUT MUZ MZT SES,25131,2020 - 2021 Bahar Dönemi
MTR 202,Makam Teorisi IV,Nurullah Kanık,Pazartesi Salı Perşembe,1030/1229 1030/1229 1530/1729,,27,40,MTR MUT MUZ MZT SES,22990,2020 - 2021 Bahar Dönemi
MTR 202,Makam Teorisi IV,Nurullah Kanık,Pazartesi Salı Cuma,1530/1729 1530/1729 0830/1029,,20,40,MTR MUT MUZ MZT SES,23004,2020 - 2021 Bahar Dönemi
MTR 202,Makam Teorisi IV,Göknil Bişak Özdemir,Pazartesi Salı Perşembe,1330/1529 1030/1229 1030/1229,,22,40,MTR MUT MUZ MZT SES,22978,2020 - 2021 Bahar Dönemi
MTR 204,Müzik Teorisi IV,Mehmet Özkan,Çarşamba Perşembe Cuma,1330/1529 1030/1229 1030/1229,,10,30,MTR MUT MUZ MZT SES,23005,2020 - 2021 Bahar Dönemi
MTR 204,Müzik Teorisi IV,Ayşecan Olgun,Salı Çarşamba Cuma,0830/1029 1330/1529 1600/1759,,32,32,MTR MUT MUZ MZT SES,22979,2020 - 2021 Bahar Dönemi
MTR 204,Müzik Teorisi IV,Ufuk Biçak,Salı Çarşamba Cuma,1530/1729 1330/1529 0830/1029,,14,30,MTR MUT MUZ MZT SES,22991,2020 - 2021 Bahar Dönemi
MTR 206,Müzik Teorileri Tarihi II,Gülay Karamahmutoğlu,Perşembe,1330/1529,,27,30,MTR MTRM,22992,2020 - 2021 Bahar Dönemi
MTR 208,Teori Uygulama II,Süleyman Şenel,Cuma,1030/1229,,26,30,MTR MTRM,22993,2020 - 2021 Bahar Dönemi
