Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
STA 201,Statik,İsmail Yalçın,Pazartesi,1330/1629,,83,83,DEN EHB ELE ELH GEM JEO MAK TEK TEL UCK UZB,21359,2020 - 2021 Bahar Dönemi
STA 201,Statik,Demet Balkan,Perşembe,1430/1729,,80,80,DEN EHB ELE ELH GEM JEO MAK TEK TEL UCK UZB,21248,2020 - 2021 Bahar Dönemi
STA 201,Statik,Ceren Bilgin Güney,Perşembe,0930/1229,,90,90,DEN EHB ELE ELH GEM JEO MAK TEK TEL UCK UZB,21177,2020 - 2021 Bahar Dönemi
STA 201E,Statics,Cemil Kurtcebe,Perşembe,1430/1729,,80,80,DEN DENE EHB EHBE ELE ELH GEM GEME GEMK JEO JEOE MAD MAK MAKE TEK TEL UCK UCKE UZB UZBE,21250,2020 - 2021 Bahar Dönemi
STA 201E,Statics,Cemil Kurtcebe,Cuma,1500/1759,,68,80,DEN DENE EHB EHBE ELE ELH GEM GEME GEMK JEO JEOE MAD MAK MAKE TEK TEL UCK UCKE UCKM UZB UZBE UZBM,21249,2020 - 2021 Bahar Dönemi
STA 202,Statik,Abdullah Gedikli,Perşembe Cuma,1530/1729 1600/1759,,58,60,FIZ INS MKNM UCKM,21856,2020 - 2021 Bahar Dönemi
STA 202,Statik,Teoman Özer,Perşembe Cuma,0830/1029 0830/1029,,54,60,FIZ INS MKNM UCKM,21879,2020 - 2021 Bahar Dönemi
STA 202,Statik,Abdul Hayır,Perşembe Cuma,1530/1729 1600/1759,,36,60,FIZ INS MKNM UCKM,21870,2020 - 2021 Bahar Dönemi
STA 202,Statik,Fethi Kadıoğlu,Perşembe Cuma,0830/1029 0830/1029,,60,60,FIZ INS MKNM UCKM,21871,2020 - 2021 Bahar Dönemi
STA 202E,Statics,Pelin Gündeş Bakır,Pazartesi Çarşamba,1230/1429 1230/1429,,74,74,FIZ FIZE INS INSE MKNM UCKM,21880,2020 - 2021 Bahar Dönemi
STA 204,Statik ve Mukavemet,Cemil Kurtcebe,Çarşamba,1130/1429,,54,60,CEV EHB ELE ELH ELK EUT GID ISL KMM KOM KON MET MTO PET TEL,23178,2020 - 2021 Bahar Dönemi
STA 204,Statik ve Mukavemet,Bahattin Kimençe,Salı,1230/1529,,12,50,CEV EHB ELE ELH ELK EUT GID ISL KMM KOM KON MET MTO PET TEL,21584,2020 - 2021 Bahar Dönemi
STA 204,Statik ve Mukavemet,--,Perşembe,0830/1129,,0,0,CEV EHB ELE ELH ELK EUT GID ISL KMM KOM KON MET MTO PET TEL,23430,2020 - 2021 Bahar Dönemi
STA 204,Statik ve Mukavemet,--,Çarşamba,1230/1529,,0,0,CEV EHB ELE ELH ELK EUT GID ISL KMM KOM KON MET MTO PET TEL,21585,2020 - 2021 Bahar Dönemi
STA 204E,Statics&Strength of Materials,Arcan Yanık,Perşembe,1430/1729,,61,61,CEV CEVE EHB EHBE ELE ELH ELK ELKE EUT EUTE GID GIDE ISL ISLE JEF KMM KMME KOM KOME KON KONE MET METE MTO PET PETE TEL,23431,2020 - 2021 Bahar Dönemi
STA 204E,Statics&Strength of Materials,Murat Yılmaz,Çarşamba,1230/1529,,27,50,CEV CEVE EHB EHBE ELE ELH ELK ELKE EUT EUTE GID GIDE ISL ISLE JEF KMM KMME KOM KOME KON KONE MET METE MTO PET PETE TEL,21586,2020 - 2021 Bahar Dönemi
