Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
DEN 101,Gemi&Deniz Tek.Müh.Giriş&Etik,Ayhan Menteş,Çarşamba,1330/1529,,87,85,DEN,12281,2020 - 2021 Güz Dönemi
DEN 211,Mühendislik Tasarımına Giriş,"Kadir Sarıöz, Ebru Sarıöz",Pazartesi,1030/1229,,65,70,DEN,12283,2020 - 2021 Güz Dönemi
DEN 323E,Wave Mechanics,Şafak Nur Ertürk Bozkurtoğlu,Perşembe,1030/1329,,47,50,DEN DENE,12296,2020 - 2021 Güz Dönemi
DEN 325E,Adv. Manufacturing Process,Necip Ünlü,Cuma,1330/1629,,53,60,DEN DENE,12297,2020 - 2021 Güz Dönemi
DEN 326,Bilg.Dest.Açık Deniz Yap.Hes.,Hakan Akyıldız,Pazartesi,0830/1129,,18,25,DEN,12298,2020 - 2021 Güz Dönemi
DEN 327E,Safety Mang.&Risk Analy.,Ayhan Menteş,Pazartesi,1430/1629,,45,60,DEN DENE,12292,2020 - 2021 Güz Dönemi
DEN 337E,Intr. to Marine Ecolo. Process,Burak Karacık,Pazartesi,0930/1129,,23,22,DEN DENE,12291,2020 - 2021 Güz Dönemi
DEN 339,Deniz Kirliliği,Fatma Yonsel,Pazartesi,0930/1129,,22,22,DEN,12290,2020 - 2021 Güz Dönemi
DEN 341E,Ship Theory,Hakan Akyıldız,Çarşamba,0830/1129,,65,70,DEN DENE,12293,2020 - 2021 Güz Dönemi
DEN 345E,Dynamics of Marine Ecosystems,Sevil Deniz Yakan Dündar,Pazartesi,0830/1129,,10,22,DEN DENE,12289,2020 - 2021 Güz Dönemi
DEN 349E,Prdct.Princip.ofOffshore Units,Özgür Özgüç,Perşembe,1330/1629,,39,60,DEN DENE,12295,2020 - 2021 Güz Dönemi
DEN 405E,Coastal Engineering,Bilge Tutak,Salı,1330/1629,,59,70,DEN DENE,12312,2020 - 2021 Güz Dönemi
DEN 411,Gm & Dnz Yapıları Hidrodinamiğ,İsmail Hakkı Helvacıoğlu,Perşembe Perşembe,0830/1029 1630/1729,,54,60,DEN,12317,2020 - 2021 Güz Dönemi
DEN 412E,Underwater Acoustics,Ayşe Nazan Akman Pek,Pazartesi,1130/1329,,55,70,DEN DENE,12302,2020 - 2021 Güz Dönemi
DEN 421,Gemi Sevki,Ömer Kemal Kınacı,Perşembe,1330/1529,,0,50,DEN,12320,2020 - 2021 Güz Dönemi
DEN 421E,Ship Propulsion,Ömer Kemal Kınacı,Perşembe,1330/1529,,52,52,DEN DENE,14945,2020 - 2021 Güz Dönemi
DEN 431E,Stgth of Shps & Offshr Strctrs,Özgür Özgüç,Çarşamba,1230/1529,,44,50,DEN DENE,12294,2020 - 2021 Güz Dönemi
DEN 436E,Ecotoxicology in the Marine En,Sevil Deniz Yakan Dündar,Salı,0930/1129,,6,16,DEN DENE,12311,2020 - 2021 Güz Dönemi
DEN 441E,Marine Structures Project I,--,Cuma,0930/1129,,0,0,DEN DENE,15217,2020 - 2021 Güz Dönemi
DEN 443,Dnz Ort. Krzyn&Korozyon Kntr.,Fatma Yonsel,Salı,0930/1129,,16,16,DEN,12306,2020 - 2021 Güz Dönemi
DEN 447E,Engineering Optimisation,Kadir Sarıöz,Salı,0930/1129,,16,16,DEN DENE,12304,2020 - 2021 Güz Dönemi
DEN 449E,Inr. to the Analysis of Oce.Da,Bilge Tutak,Salı,0930/1129,,15,16,DEN DENE,12309,2020 - 2021 Güz Dönemi
DEN 450E,Ballast Water Management,Ceren Bilgin Güney,Çarşamba,0930/1129,,7,10,DEN DENE,12314,2020 - 2021 Güz Dönemi
DEN 479E,Underwater Vehicle Technology,Bilge Tutak,Çarşamba,0930/1129,,10,10,DEN DENE,12315,2020 - 2021 Güz Dönemi
DEN 482,Bireysel Proje,"İsmail Hakkı Helvacıoğlu, Hakan Akyıldız, Özgür Özgüç",Perşembe,1030/1329,,3,500,DEN,12330,2020 - 2021 Güz Dönemi
DEN 4901E,Shipbuilding&Ocean Eng.Desig.I,"Hakan Akyıldız, Ayhan Menteş, Burak Karacık, Kadir Sarıöz, Serdar Aytekin Köroğlu, Özgür Özgüç, İsmail Hakkı Helvacıoğlu",Cuma Cuma,0930/1229 1630/1929,,48,500,DEN DENE,12322,2020 - 2021 Güz Dönemi
DEN 492E,Graduation Project,İsmail Hakkı Helvacıoğlu,----,/,,22,500,DEN DENE,12331,2020 - 2021 Güz Dönemi
