Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
DNK 201,Dinamik,Ali Nuri Doğruoğlu,Cuma,1430/1729,,53,60,DUI EHB ELE ELH ELK FIZ INS JEO KOM KON MTO TEK TEL UCK UZB,12579,2020 - 2021 Güz Dönemi
DNK 201,Dinamik,Abdullah Gedikli,Cuma,1400/1659,,50,50,DUI EHB ELE ELH ELK FIZ INS JEO KOM KON MKN MTO TEK TEL UCK UZB,11074,2020 - 2021 Güz Dönemi
DNK 201,Dinamik,Demet Balkan,Perşembe,1430/1729,,65,65,DUI EHB ELE ELH ELK FIZ INS JEO KOM KON MTO TEK TEL UCK UCKM UZB UZBM,12146,2020 - 2021 Güz Dönemi
DNK 201,Dinamik,Abdullah Gedikli,Perşembe,1330/1629,,40,50,DUI EHB ELE ELH ELK FIZ INS JEO KOM KON MTO TEK TEL UCK UZB,12581,2020 - 2021 Güz Dönemi
DNK 201,Dinamik,Fethi Kadıoğlu,Salı,0930/1229,,53,50,DUI EHB ELE ELH ELK FIZ INS JEO KOM KON MTO TEK TEL UCK UZB,12580,2020 - 2021 Güz Dönemi
DNK 201E,Dynamics,Abdul Hayır,Cuma,0930/1229,,61,60,DEN DENE DUI DUIE DUIK EHB EHBE ELE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GMI GMIE INS INSE JEO JEOE KOM KOME KON KONE MAD MAT MATE MTO PETE TEK TEL UCK UCKE UZB UZBE,12583,2020 - 2021 Güz Dönemi
DNK 201E,Dynamics,Ceren Bilgin Güney,Perşembe,1330/1629,,63,60,DEN DENE DUI DUIE DUIK EHB EHBE ELE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GMI GMIE INS INSE JEO JEOE KOM KOME KON KONE MAD MAT MATE MTO PETE TEK TEL UCK UCKE UZB UZBE,12287,2020 - 2021 Güz Dönemi
DNK 201E,Dynamics,"Mustafa Erden Yıldızdağ, Ahmet Ergin",Çarşamba,0930/1229,,77,75,DEN DENE DUI DUIE DUIK EHB EHBE ELE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GMI GMIE INS INSE JEO JEOE KOM KOME KON KONE MAD MAT MATE MTO PETE TEK TEL UCK UCKE UZB UZBE,12225,2020 - 2021 Güz Dönemi
DNK 201E,Dynamics,Cuma Yarım,Salı,1430/1729,,63,65,DEN DENE DUI DUIE DUIK EHB EHBE ELE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GMI GMIE INS INSE JEO JEOE KOM KOME KON KONE MAD MAT MATE MTO PETE TEK TEL UCK UCKE UCKM UZB UZBE UZBM,12145,2020 - 2021 Güz Dönemi
DNK 201E,Dynamics,***,Salı,0830/1129,,0,40,ELK MAD,11917,2020 - 2021 Güz Dönemi
DNK 201E,Dynamics,Cemil Kurtcebe,Pazartesi,1430/1729,,69,65,DEN DENE DUI DUIE DUIK EHB EHBE ELE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GMI GMIE INS INSE JEO JEOE KOM KOME KON KONE MAD MAT MATE MTO PETE TEK TEL UCK UCKE UCKM UZB UZBE UZBM,12144,2020 - 2021 Güz Dönemi
DNK 201E,Dynamics,Teoman Özer,Pazartesi,0930/1229,,50,50,DEN DENE DUI DUIE DUIK EHB EHBE ELE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GMI GMIE INS INSE JEO JEOE KOM KOME KON KONE MAD MAT MATE MTO PETE TEK TEL UCK UCKE UZB UZBE,12582,2020 - 2021 Güz Dönemi
DNK 201E,Dynamics,Akif Kutlu,Pazartesi,0930/1229,,50,50,DEN DENE DUI DUIE DUIK EHB EHBE ELE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GMI GMIE INS INSE JEO JEOE KOM KOME KON KONE MAD MAT MATE MTO PETE TEK TEL UCK UCKE UZB UZBE,11075,2020 - 2021 Güz Dönemi
