Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MAL 201,Malzeme Bilimi,Cevat Fahir Arısoy,Cuma,0930/1229,,65,65,GID KMM,12655,2020 - 2021 Güz Dönemi
MAL 201,Malzeme Bilimi,Ömer Serdar Özgen,Cuma,0930/1229,,50,50,BLG ELK KOM,11071,2020 - 2021 Güz Dönemi
MAL 201,Malzeme Bilimi,Derya Dışpınar,Perşembe,1330/1629,,51,50,BLG ELK KOM,11070,2020 - 2021 Güz Dönemi
MAL 201,Malzeme Bilimi,Duygu Ağaoğulları,Perşembe,0930/1229,,55,50,BLG ELK KOM,11069,2020 - 2021 Güz Dönemi
MAL 201,Malzeme Bilimi,Mehmet Şeref Sönmez,Çarşamba,1230/1529,,64,65,BLG GID KMM,12656,2020 - 2021 Güz Dönemi
MAL 201,Malzeme Bilimi,Cengiz Tahir Bodur,Pazartesi Cuma,1530/1729 1530/1629,,29,60,IML IMLM MAK MAKM MKN,12500,2020 - 2021 Güz Dönemi
MAL 201,Malzeme Bilimi,"Mehmet Sezai Kırıkoğlu, Demet Yıldırım",Pazartesi,1330/1629,,28,50,CHZ JEO,12008,2020 - 2021 Güz Dönemi
MAL 201,Malzeme Bilimi,Necip Ünlü,Pazartesi,1030/1329,,68,70,GEM,12228,2020 - 2021 Güz Dönemi
MAL 201E,Materials Science,Ömer Serdar Özgen,Perşembe,1430/1729,,11,10,UCK UCKE UZB UZBE,15444,2020 - 2021 Güz Dönemi
MAL 201E,Materials Science,Mustafa Bakkal,Pazartesi,0830/1129,,2,10,MAKE,15326,2020 - 2021 Güz Dönemi
MAL 201E,Materials Science,Duygu Ağaoğulları,Cuma,0930/1229,,90,89,BLGE DEN DENE,12288,2020 - 2021 Güz Dönemi
MAL 201E,Materials Science,Meltem Yanılmaz,Cuma,0830/1129,,53,55,TEK TEKE,14039,2020 - 2021 Güz Dönemi
MAL 201E,Materials Science,Emin Çiftçi,Perşembe,1430/1729,,41,40,CHZE JEO JEOE MAD PET PETE,11918,2020 - 2021 Güz Dönemi
MAL 201E,Materials Science,Sena Duru,Perşembe,0830/1129,,47,50,TEK TEKE,14038,2020 - 2021 Güz Dönemi
MAL 201E,Materials Science,Hakan Nuri Atahan,Salı,0930/1229,,53,50,ELK ELKE KOM KOME,11073,2020 - 2021 Güz Dönemi
MAL 201E,Materials Science,Hakan Nuri Atahan,Pazartesi,1330/1629,,50,50,ELK ELKE KOM KOME,11072,2020 - 2021 Güz Dönemi
MAL 203,Malzeme Bilgisi,Yasin Arslanoğlu,Pazartesi,0830/1029,,2,5,GMI,15355,2020 - 2021 Güz Dönemi
