Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MTM 201,Terrestrial Navigation,Orhan Gönel,Salı,0830/1229,,31,50,DUIK MTM MTTM,14115,2020 - 2021 Güz Dönemi
MTM 211,Onboard Training-I,Selim Aksoy,----,/,,48,60,DUIK MTM,14242,2020 - 2021 Güz Dönemi
MTM 301,E-Navigation Systems,Serdar Kum,Perşembe,0830/1129,,19,50,DUIK MTM MTTM,14223,2020 - 2021 Güz Dönemi
MTM 302,Onboard Training-III,Selim Aksoy,----,/,,6,50,DUIK MTM MTTM,14246,2020 - 2021 Güz Dönemi
MTM 311,Watchkeeping II,Selim Aksoy,Salı,0830/1129,,29,50,DUIK MTM MTTM,14211,2020 - 2021 Güz Dönemi
MTM 321,Celestial Navigation,Orhan Gönel,Cuma,1430/1729,,13,50,DUIK MTM,14138,2020 - 2021 Güz Dönemi
MTM 331,Maritime Practical Studies,Serdar Kum,Çarşamba,0830/1229,,34,50,DUIK MTM,14136,2020 - 2021 Güz Dönemi
MTM 341,Onboard Training-II,Selim Aksoy,----,/,,28,50,DUIK MTM,14245,2020 - 2021 Güz Dönemi
MTM 401,Cargo Handling Simulator,Yunus Emre Şenol,Pazartesi,1230/1429,,25,50,DUIK MTM,14095,2020 - 2021 Güz Dönemi
MTM 402,Graduation Design Project,Selim Aksoy,----,/,,15,50,DUIK MTM,14247,2020 - 2021 Güz Dönemi
MTM 411,Cargo Handling and Stowage II,Tanzer Satır,Perşembe,1430/1729,,43,50,DUIK MTM,14209,2020 - 2021 Güz Dönemi
MTM 412,Ship Management and Leadership,Cemil Yurtören,Perşembe,0830/1429,,12,50,DUIK MTM MTTM,15553,2020 - 2021 Güz Dönemi
MTM 421,Ship Handling and Maneuvering,Arife Tuğsan İşiaçık Çolak,Salı,1330/1629,,33,50,DUIK MTM,14215,2020 - 2021 Güz Dönemi
