Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
SES 105,Korrepetisyon I,--,----,/,,0,5,SEMH SEMS SES,14524,2020 - 2021 Güz Dönemi
SES 105,Korrepetisyon I,"Erhan Uslu, Tuğçem Kar",----,/,,2,5,SEMH SEMS SES,14523,2020 - 2021 Güz Dönemi
SES 105,Korrepetisyon I,"Erhan Uslu, Gülaram Baltayeva",----,/,,5,6,SEMH SEMS SES,11603,2020 - 2021 Güz Dönemi
SES 105,Korrepetisyon I,"Sinem Özdemir, Tuğçem Kar",----,/,,2,5,SEMH SEMS SES,14522,2020 - 2021 Güz Dönemi
SES 105,Korrepetisyon I,"Erhan Uslu, Fidan Kurt Kasapbaşı",----,/,,2,5,SEMH SEMS SES,11602,2020 - 2021 Güz Dönemi
SES 105,Korrepetisyon I,"Erhan Uslu, Laçin Modiri",----,/,,1,5,SEMH SEMS SES,11601,2020 - 2021 Güz Dönemi
SES 105,Korrepetisyon I,"Deniz Güneş, Gülaram Baltayeva",----,/,,2,5,SEMH SEMS SES,11600,2020 - 2021 Güz Dönemi
SES 105,Korrepetisyon I,"Deniz Güneş, Fidan Kurt Kasapbaşı",----,/,,3,5,SEMH SEMS SES,11598,2020 - 2021 Güz Dönemi
SES 105,Korrepetisyon I,"Deniz Güneş, Laçin Modiri",----,/,,3,5,SEMH SEMS SES,11597,2020 - 2021 Güz Dönemi
SES 105,Korrepetisyon I,"Sinem Özdemir, Gülaram Baltayeva",----,/,,4,5,SEMH SEMS SES,11592,2020 - 2021 Güz Dönemi
SES 105,Korrepetisyon I,"Sinem Özdemir, Fidan Kurt Kasapbaşı",----,/,,2,5,SEMH SEMS SES,11590,2020 - 2021 Güz Dönemi
SES 105,Korrepetisyon I,"Sinem Özdemir, Laçin Modiri",----,/,,5,5,SEMH SEMS SES,11589,2020 - 2021 Güz Dönemi
SES 1115,Ses Tekniği I,Fidan Kurt Kasapbaşı,----,/,,1,5,SES,15088,2020 - 2021 Güz Dönemi
SES 1121,Piyano I,Sıtkı Kandemir Basmacıoğlu,Pazartesi,1530/1729,,4,7,SES,11867,2020 - 2021 Güz Dönemi
SES 113,Ses Eğitimi I,Tuğçem Kar,----,/,,4,5,SEMH SEMS SES,14521,2020 - 2021 Güz Dönemi
SES 113,Ses Eğitimi I,Gülaram Baltayeva,----,/,,10,10,SEMH SEMS SES,11588,2020 - 2021 Güz Dönemi
SES 113,Ses Eğitimi I,Fidan Kurt Kasapbaşı,----,/,,8,8,SEMH SEMS SES,11587,2020 - 2021 Güz Dönemi
SES 113,Ses Eğitimi I,Laçin Modiri,----,/,,7,7,SEMH SEMS SES,11586,2020 - 2021 Güz Dönemi
SES 122,Diksiyon,Ebru Aracı,Pazartesi,0830/1029,,24,30,SES,11576,2020 - 2021 Güz Dönemi
SES 131,THM Repertuvarı I,Erhan Uslu,Pazartesi Perşembe,1530/1729 1330/1529,,10,10,SES,11581,2020 - 2021 Güz Dönemi
SES 131,THM Repertuvarı I,Deniz Güneş,Pazartesi Çarşamba,1030/1229 1330/1529,,9,10,SES,11485,2020 - 2021 Güz Dönemi
