Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
IML 206,Akışkanlar Mekaniği,Hakan Öksüzoğlu,Salı Çarşamba,1130/1329 1130/1229,MKB MKB,26,60,IML,21969,2021 - 2022 Bahar Dönemi
IML 311,İmal Usülleri I,Ali Gökşenli,Salı Perşembe,1330/1529 1130/1329,MKB MKB,10,60,IML,21978,2021 - 2022 Bahar Dönemi
IML 312,İmal Usülleri II,Şafak Yılmaz,Salı Perşembe,1330/1529 1030/1229,MKB MKB,41,60,IML,21979,2021 - 2022 Bahar Dönemi
IML 320,Makina Elemanları,Ali İmre Aydeniz,Pazartesi Perşembe,1330/1629 1530/1729,MKB MKB,24,60,IML IMLM,21980,2021 - 2022 Bahar Dönemi
IML 322,İmalatta Otomasyon,Erdinç Altuğ,Pazartesi,1030/1329,MKB,14,60,IML IMLM,25094,2021 - 2022 Bahar Dönemi
IML 322,İmalatta Otomasyon,Mustafa Resa Becan,Cuma,1500/1759,MKB,40,60,IML IMLM,21981,2021 - 2022 Bahar Dönemi
IML 322E,Automation in Manufacturing,Erdinç Altuğ,----,/,MKB,1,1,IMLE,26617,2021 - 2022 Bahar Dönemi
IML 324E,Comp.Aided Manufacturing Eng.,Mustafa Bakkal,----,/,MKB,1,1,IML IMLE,26618,2021 - 2022 Bahar Dönemi
IML 324E,Comp.Aided Manufacturing Eng.,Mustafa Bakkal,Çarşamba Perşembe,0830/0929 0830/1029,MKB MKB,69,75,IML IMLE,21982,2021 - 2022 Bahar Dönemi
IML 325E,Measurements & Instrumentation,Hülya Yalçın,Salı Çarşamba,1530/1629 1030/1229,MKB MKB,0,60,IML IMLE,21983,2021 - 2022 Bahar Dönemi
IML 326E,Manuf. of Nonmetalic Prod.,Ersan Üstündağ,Salı,0830/1129,MKB,54,60,IML IMLE,21984,2021 - 2022 Bahar Dönemi
IML 338,İmalat Sistemleri,Ramazan Murat Tabanlı,Pazartesi Çarşamba,0830/1029 0930/1029,MKB MKB,39,60,IML,21985,2021 - 2022 Bahar Dönemi
IML 401E,Manufacturing Lab I,Canan Gamze Güleryüz Parasız,----,/,MKB,1,1,IMLE,25609,2021 - 2022 Bahar Dönemi
IML 402,İmalat Lab II,Canan Gamze Güleryüz Parasız,----,/,MKB,1,1,IML IMLM,25611,2021 - 2022 Bahar Dönemi
IML 402,İmalat Lab II,Canan Gamze Güleryüz Parasız,----,/,MKB,13,60,IML IMLM,21987,2021 - 2022 Bahar Dönemi
IML 402E,Manufacturing Lab II,Canan Gamze Güleryüz Parasız,----,/,MKB,0,60,IMLE,21988,2021 - 2022 Bahar Dönemi
IML 404E,Comp.Simulations in Manuf.Eng.,Canan Gamze Güleryüz Parasız,----,/,MKB,48,60,IML,21989,2021 - 2022 Bahar Dönemi
IML 405,Uygulamalı İmalat Projesi,Turgut Gülmez,----,/,MKB,2,60,IML,21986,2021 - 2022 Bahar Dönemi
IML 438E,Tool Design,Mustafa Bakkal,----,/,MKB,1,1,IML IMLE,26619,2021 - 2022 Bahar Dönemi
IML 438E,Tool Design,Mustafa Bakkal,Perşembe,1230/1529,MKB,67,75,IML IMLE,21990,2021 - 2022 Bahar Dönemi
IML 460,Tesis Plan. ve Yerleştirme,Ramazan Murat Tabanlı,Pazartesi Çarşamba,1030/1229 1030/1129,MKB MKB,16,60,IML,21991,2021 - 2022 Bahar Dönemi
IML 4901,İmalat Müh. Tasarımı I,Adil Yücel,----,/,MKB,15,200,IML,22095,2021 - 2022 Bahar Dönemi
IML 4901E,Manufacturing Eng. Design I,Adil Yücel,----,/,MKB,0,200,IML,22096,2021 - 2022 Bahar Dönemi
IML 4902,İmalat Müh. Tasarımı II,Adil Yücel,----,/,MKB,37,200,IML,22101,2021 - 2022 Bahar Dönemi
IML 4902E,Manufacturing Eng. Design II,Adil Yücel,----,/,MKB,0,200,IML,22102,2021 - 2022 Bahar Dönemi
IML 492,İmalat Tasarım Projesi,Adil Yücel,----,/,MKB,1,1,IML,25615,2021 - 2022 Bahar Dönemi
IML 492,İmalat Tasarım Projesi,Adil Yücel,----,/,MKB,17,200,IML,22090,2021 - 2022 Bahar Dönemi
IML 492E,Manufacturing Design Project,Adil Yücel,----,/,MKB,1,1,IML IMLE,25620,2021 - 2022 Bahar Dönemi
IML 492E,Manufacturing Design Project,Adil Yücel,----,/,MKB,0,200,IML IMLE,22091,2021 - 2022 Bahar Dönemi
