Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MAL 201,Malzeme Bilimi,Hasan Yıldırım,----,/,INB,2,2,BLG CEV CHZ DEN EHB ELE ELH ELK FIZ GEM GID IML IMLM INS JEO KMM KOM MAK MAKM MKN PET TEK TEL UCK UZB UZBM,26865,2021 - 2022 Bahar Dönemi
MAL 201,Malzeme Bilimi,Alper Gürarslan,----,/,MKB,1,1,BLG CEV CHZ DEN EHB ELE ELH ELK FIZ GEM GID IML IMLM INS JEO KMM KOM MAK MAKM MKN PET TEK TEL UCK UZB UZBM,26867,2021 - 2022 Bahar Dönemi
MAL 201,Malzeme Bilimi,Mehmet Sezai Kırıkoğlu,----,/,MDB,1,1,BLG CEV CHZ DEN EHB ELE ELH ELK FIZ GEM GID IML IMLM INS JEO KMM KOM MAK MAKM MKN PET TEK TEL UCK UZB UZBM,26863,2021 - 2022 Bahar Dönemi
MAL 201,Malzeme Bilimi,Hasan Gökçe,Perşembe,1230/1529,MDB,35,80,BLG CEV CHZ DEN EHB ELE ELH ELK FIZ GEM GID IML INS JEO KMM KOM KON MAK PET TEK TEL UCK UZB,24738,2021 - 2022 Bahar Dönemi
MAL 201,Malzeme Bilimi,Duygu Ağaoğulları,----,/,EEB,2,2,BLG CEV CHZ DEN EHB ELE ELH ELK FIZ GEM GID IML IMLM INS JEO KMM KOM MAK MAKM MKN PET TEK TEL UCK UZB UZBM,26860,2021 - 2022 Bahar Dönemi
MAL 201,Malzeme Bilimi,İpek Akın Karadayı,Perşembe,0830/1129,KMB,17,30,BLG CEV CHZ DEN EHB ELE ELH ELK FIZ GEM GID IML INS JEO KMM KOM KON MAK PET TEK TEL UCK UZB,23205,2021 - 2022 Bahar Dönemi
MAL 201,Malzeme Bilimi,Selim Ertürk,Salı,0830/1129,MED,37,80,BLG CEV CHZ DEN EHB ELE ELH ELK FIZ GEM GID IML INS JEO KMM KOM KON MAK PET TEK TEL UCK UZB,24737,2021 - 2022 Bahar Dönemi
MAL 201,Malzeme Bilimi,Hasan Yıldırım,Salı,1430/1729,INB,74,76,BLG CEV CHZ DEN EHB ELE ELH ELK FIZ GEM GID IML INS JEO KMM KOM KON MAK PET TEK TEL UCK UZB,21333,2021 - 2022 Bahar Dönemi
MAL 201E,Materials Science,Alper Gürarslan,----,/,MKB,1,1,BLG BLGE CEV CEVE CHZE DEN DENE EHB EHBE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GID GIDE IML IMLE IMLM INS INSE ISL ISLE JEO JEOE KMM KMME KOM KOME MAD MAK MAKE MAKM PET PETE TEK TEKE UCK UCKE UZB UZBE,26874,2021 - 2022 Bahar Dönemi
MAL 201E,Materials Science,Şükrü Levent Sezer,----,/,EEB,1,1,BLG BLGE CEV CEVE CHZE DEN DENE EHB EHBE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GID GIDE IML IMLE IMLM INS INSE ISL ISLE JEO JEOE KMM KMME KOM KOME MAD MAK MAKE MAKM PET PETE TEK TEKE UCK UCKE UZB UZBE,26872,2021 - 2022 Bahar Dönemi
MAL 201E,Materials Science,Bekir Yılmaz Pekmezci,----,/,INB,1,1,BLG BLGE CEV CEVE CHZE DEN DENE EHB EHBE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GID GIDE IML IMLE IMLM INS INSE ISL ISLE JEO JEOE KMM KMME KOM KOME MAD MAK MAKE MAKM PET PETE TEK TEKE UCK UCKE UZB UZBE,26871,2021 - 2022 Bahar Dönemi
MAL 201E,Materials Science,Hakan Nuri Atahan,----,/,MED,1,1,BLG BLGE CEV CEVE CHZE DEN DENE EHB EHBE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GID GIDE IML IMLE IMLM INS INSE ISL ISLE JEO JEOE KMM KMME KOM KOME MAD MAK MAKE MAKM PET PETE TEK TEKE UCK UCKE UZB UZBE,26869,2021 - 2022 Bahar Dönemi
