Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
TEL 232,Analog İşaret İşleme,Bilge Günsel Kalyoncu,----,/,EEB,1,1,TEL,26403,2021 - 2022 Bahar Dönemi
TEL 332,Sayısal İşaret İşleme Lab.,Tayfun Akgül,----,/,EEB,1,1,TEL,26404,2021 - 2022 Bahar Dönemi
TEL 416,Antenler,Selçuk Paker,----,/,EEB,1,1,TEL,26405,2021 - 2022 Bahar Dönemi
TEL 423,Haberleşme Sistemleri,Semiha Tedik Başaran,----,/,EEB,1,1,ELH TEL,26406,2021 - 2022 Bahar Dönemi
TEL 424,Uydu Haberleşmesi,Mesut Kartal,----,/,EEB,1,1,TEL,26407,2021 - 2022 Bahar Dönemi
TEL 428E,Wireless Com.Networks,Semiha Tedik Başaran,----,/,EEB,1,1,TEL,26408,2021 - 2022 Bahar Dönemi
TEL 468,Elektroman.Uyum.Ölç. Temelleri,Sebahattin Eker,----,/,EEB,1,1,ELH TEL,26409,2021 - 2022 Bahar Dönemi
TEL 492,Bitirme Çalışması,İsmail Serdar Özoğuz,----,/,EEB,1,1,TEL,25647,2021 - 2022 Bahar Dönemi
TEL 492,Bitirme Çalışması,İsmail Serdar Özoğuz,----,/,EEB,1,500,TEL,23023,2021 - 2022 Bahar Dönemi
TEL 492E,Graduation Project,İsmail Serdar Özoğuz,----,/,EEB,0,500,TEL,23025,2021 - 2022 Bahar Dönemi
