Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
UZB 104E,Astronaut. Eng.&Des.,Aydın Mısırlıoğlu,Salı,0830/1129,UUB,9,20,UZB UZBE,25754,2021 - 2022 Bahar Dönemi
UZB 106E,Int.Astronaut. Eng.&Des.,Alim Rüstem Aslan,Salı,0830/1229,UUB,117,155,UZBE,25144,2021 - 2022 Bahar Dönemi
UZB 112E,Computer Aided Drafting,Hüsnü Barbaros Soyer,Perşembe,0830/1129,UUB,43,60,UCK UCKE UZB UZBE,22487,2021 - 2022 Bahar Dönemi
UZB 218E,Int.to Partial Diff.Eq. in Eng,Mehmet Şahin,Cuma,1430/1729,UUB,65,65,UCK UCKE UZB UZBE,22488,2021 - 2022 Bahar Dönemi
UZB 232,Isı Geçişi,Bülent Tutkun,----,/,UUB,3,3,UCK UZB,26437,2021 - 2022 Bahar Dönemi
UZB 242E,Basic Astronomy,Cuma Yarım,Cuma,1430/1729,UUB,35,65,UZBE,22526,2021 - 2022 Bahar Dönemi
UZB 317,Isı Geçişi,Bülent Tutkun,----,/,UUB,1,1,UCK,26438,2021 - 2022 Bahar Dönemi
UZB 317,Isı Geçişi,Bülent Tutkun,Pazartesi,1130/1429,UUB,54,60,UCK,22519,2021 - 2022 Bahar Dönemi
UZB 317E,Heat Transfer,Ahmet Ziyaettin Şahin,----,/,UUB,2,2,UZBE,26439,2021 - 2022 Bahar Dönemi
UZB 317E,Heat Transfer,Onur Tunçer,Pazartesi,1130/1429,UUB,24,65,UCK UZB UZBE,22522,2021 - 2022 Bahar Dönemi
UZB 317E,Heat Transfer,Ahmet Ziyaettin Şahin,Pazartesi,1130/1429,UUB,72,71,UCK UZB UZBE,22520,2021 - 2022 Bahar Dönemi
UZB 318E,Finite Element Method,Vedat Ziya Doğan,----,/,UUB,2,2,UCK UCKE UCKM UZB UZBE UZBM,26440,2021 - 2022 Bahar Dönemi
UZB 318E,Finite Element Method,Vedat Ziya Doğan,Pazartesi,1430/1729,,57,65,UCK UCKE UZB UZBE,22489,2021 - 2022 Bahar Dönemi
UZB 331,Hava Uzay Yapıları,Metin Orhan Kaya,----,/,UUB,5,5,UCK UCKM UZB UZBM,26441,2021 - 2022 Bahar Dönemi
UZB 331E,Aerospace Structures,Aytaç Arıkoğlu,----,/,UUB,1,1,UCK UCKE UZB UZBE,26442,2021 - 2022 Bahar Dönemi
UZB 341,Ölçme Tekniği,Duygu Erdem,----,/,UUB,2,2,UCK UZB,26443,2021 - 2022 Bahar Dönemi
UZB 341E,Measurement Techniques,Nuriye Leman Okşan Çetiner Yıldırım,----,/,UUB,2,2,UCKE UZBE,26444,2021 - 2022 Bahar Dönemi
UZB 352,Yörünge Mekaniği,Cuma Yarım,----,/,UUB,2,2,UZB UZBM,26445,2021 - 2022 Bahar Dönemi
UZB 352E,Orbital Mechanics,Cuma Yarım,----,/,UUB,1,1,UZB UZBE UZBM,26446,2021 - 2022 Bahar Dönemi
UZB 352E,Orbital Mechanics,Cuma Yarım,Perşembe,1430/1729,UUB,37,60,UZB UZBE UZBM,22490,2021 - 2022 Bahar Dönemi
UZB 362E,Compressible Aerodynamics,Melike Nikbay,----,/,UUB,0,0,UCK UCKE UCKM UZB UZBE UZBM,26933,2021 - 2022 Bahar Dönemi
UZB 362E,Compressible Aerodynamics,Bayram Çelik,----,/,UUB,6,6,UCK UCKE UCKM UZB UZBE UZBM,26447,2021 - 2022 Bahar Dönemi
UZB 362E,Compressible Aerodynamics,Aydın Mısırlıoğlu,Salı Çarşamba,1130/1329 0930/1129,UUB UUB,66,65,UCK UCKE UCKM UZB UZBE UZBM,22493,2021 - 2022 Bahar Dönemi
UZB 362E,Compressible Aerodynamics,Melike Nikbay,Salı Çarşamba,1130/1329 0930/1129,UUB UUB,61,62,UCK UCKE UCKM UZB UZBE UZBM,22492,2021 - 2022 Bahar Dönemi
UZB 362E,Compressible Aerodynamics,Bayram Çelik,Salı Çarşamba,1130/1329 0930/1129,UUB UUB,69,62,UCK UCKE UCKM UZB UZBE UZBM,22491,2021 - 2022 Bahar Dönemi
UZB 386E,Boundary Layer Theory,Ayşe Gül Güngör,Pazartesi,1430/1729,UUB,43,65,UCK UCKE UZB UZBE,22533,2021 - 2022 Bahar Dönemi
UZB 411E,Space Environment,Zerefşan Kaymaz,----,/,UUB,6,6,MTO MTOE UZB UZBE UZBM,26448,2021 - 2022 Bahar Dönemi
UZB 416E,Spacecraft Systems Design II,Alim Rüstem Aslan,Salı,1430/1729,UUB,59,65,UZB UZBE UZBM,22494,2021 - 2022 Bahar Dönemi
UZB 421E,Attitude Determination & Ctrl.,Cengiz Hacızade,----,/,UUB,3,3,KOM KOME UZB UZBE UZBM,26449,2021 - 2022 Bahar Dönemi
