Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
CEV 103,Çevre Müh. Giriş ve Etik,"İsmail Toröz, Fatma Gülen İskender",Çarşamba,1330/1529,INB,53,60,CEV,15077,2021 - 2022 Güz Dönemi
CEV 103,Çevre Müh. Giriş ve Etik,Vedat Uyak,Çarşamba,1330/1529,INB,36,60,CEV,15079,2021 - 2022 Güz Dönemi
CEV 103E,Intr.to Environm. Eng.&Ethics,Derya Yüksel İmer,Çarşamba,1330/1529,INB,37,45,CEV CEVE,15082,2021 - 2022 Güz Dönemi
CEV 103E,Intr.to Environm. Eng.&Ethics,"Elif Pehlivanoğlu Mantaş, Gülsüm Emel Zengin Balcı",Çarşamba,1330/1529,INB,48,45,CEV CEVE,15081,2021 - 2022 Güz Dönemi
CEV 201,Çevre Kimyası I,Serdar Doğruel,Pazartesi,1330/1629,INB,44,40,CEV,15323,2021 - 2022 Güz Dönemi
CEV 201,Çevre Kimyası I,Nuray Işık Kabdaşlı,Pazartesi,1330/1629,INB,41,40,CEV,13377,2021 - 2022 Güz Dönemi
CEV 201E,Enviromental Chemistry I,"İdil Arslan Alaton, Elif Pehlivanoğlu Mantaş",Salı,0830/1129,INB,76,70,CEV CEVE,13378,2021 - 2022 Güz Dönemi
CEV 201EL,Enviromental Chemistry I Lab.,"İdil Arslan Alaton, Elif Pehlivanoğlu Mantaş",Çarşamba,0930/1129,INB,33,37,CEV CEVE,13380,2021 - 2022 Güz Dönemi
CEV 201EL,Enviromental Chemistry I Lab.,"İdil Arslan Alaton, Elif Pehlivanoğlu Mantaş",Perşembe,1130/1329,INB,42,37,CEV CEVE,13379,2021 - 2022 Güz Dönemi
CEV 201L,Çevre Kimyası I Lab.,"Serdar Doğruel, Onur Yılmaz Özcan",Cuma,1430/1629,INB,40,37,CEV,13382,2021 - 2022 Güz Dönemi
CEV 201L,Çevre Kimyası I Lab.,"Nuray Işık Kabdaşlı, Tuğba Ölmez Hancı",Salı,0930/1129,INB,43,37,CEV,13381,2021 - 2022 Güz Dönemi
CEV 203,Çevre Mikrobiyolojisi,Süleyman Övez,Çarşamba Perşembe,0830/1129 0830/1029,INB INB,38,37,CEV,13394,2021 - 2022 Güz Dönemi
