Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
FRA 101,Fransızca I,Hilal Küçük,Salı,0830/1229,,25,25,Tüm Lisans ve Lisansüstü Programlar,10440,2021 - 2022 Güz Dönemi
FRA 101,Fransızca I,Yelda Tavukçuoğlu,Perşembe,1330/1729,,25,25,Tüm Lisans ve Lisansüstü Programlar,10445,2021 - 2022 Güz Dönemi
FRA 101,Fransızca I,Ebru Yücetin Er,Çarşamba,0830/1229,,23,25,Tüm Lisans ve Lisansüstü Programlar,10442,2021 - 2022 Güz Dönemi
FRA 101,Fransızca I,Ebru Yücetin Er,Perşembe,0830/1229,,26,25,Tüm Lisans ve Lisansüstü Programlar,10446,2021 - 2022 Güz Dönemi
FRA 101,Fransızca I,Yelda Tavukçuoğlu,Cuma,0830/1229,,26,25,Tüm Lisans ve Lisansüstü Programlar,10443,2021 - 2022 Güz Dönemi
FRA 101,Fransızca I,Hilal Küçük,Pazartesi,0830/1229,,23,25,Tüm Lisans ve Lisansüstü Programlar,10439,2021 - 2022 Güz Dönemi
FRA 102,Fransızca II,Hilal Küçük,Cuma,0830/1229,,23,25,Tüm Lisans ve Lisansüstü Programlar,10450,2021 - 2022 Güz Dönemi
FRA 102,Fransızca II,Hilal Küçük,Perşembe,1330/1729,,19,25,Tüm Lisans ve Lisansüstü Programlar,10449,2021 - 2022 Güz Dönemi
FRA 102,Fransızca II,Yelda Tavukçuoğlu,Çarşamba,0830/1229,,15,25,Tüm Lisans ve Lisansüstü Programlar,10447,2021 - 2022 Güz Dönemi
FRA 201,Fransızca III,Ebru Yücetin Er,Cuma,0830/1229,,22,25,Tüm Lisans ve Lisansüstü Programlar,10452,2021 - 2022 Güz Dönemi
FRA 202,Fransızca IV,Ebru Yücetin Er,Salı,1330/1729,,11,20,Tüm Lisans ve Lisansüstü Programlar,10453,2021 - 2022 Güz Dönemi
