Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MEN 201,Marine Diesel Engines I,Ahmet Ergün Palaz,Perşembe,1430/1729,GDB,34,50,GEMK GMIK MEN MENM NAE NAEM,13914,2021 - 2022 Güz Dönemi
MEN 201,Marine Diesel Engines I,Cumali Seçkin Mengeçin,Perşembe,0830/1129,DZB,14,50,GEMK GMIK MEN MENM NAE NAEM,13726,2021 - 2022 Güz Dönemi
MEN 211,Workshop Training-I,Cumali Seçkin Mengeçin,----,/,DZB,42,50,GMIK MEN,13728,2021 - 2022 Güz Dönemi
MEN 301,Engine Room Simulator (ERS) I,"Kemal Demirel, Muhammet Sandıkçı",Cuma,1400/1759,,27,50,GMIK MEN MENM,13743,2021 - 2022 Güz Dönemi
MEN 302,Onboard Training,Cumali Seçkin Mengeçin,----,/,DZB,5,50,GMIK MEN MENM,13757,2021 - 2022 Güz Dönemi
MEN 311,Marine Boilers and Operation,Fahrettin Küçükşahin,Salı,0930/1229,DZB,25,50,GMIK MEN MENM,13744,2021 - 2022 Güz Dönemi
MEN 321,Operation&Maint.of Marine Eng.,Cumali Seçkin Mengeçin,Çarşamba,1130/1529,DZB,23,50,GMIK MEN MENM,13742,2021 - 2022 Güz Dönemi
MEN 331,Workshop Training-II,Cumali Seçkin Mengeçin,----,/,DZB,33,50,GMIK MEN,13747,2021 - 2022 Güz Dönemi
MEN 401,Oper.of Steam & Gas Turbines,Cumali Seçkin Mengeçin,Cuma,1400/1759,DZB,15,50,GMIK MEN MENM,13762,2021 - 2022 Güz Dönemi
MEN 402,Graduation Design Project,Cumali Seçkin Mengeçin,----,/,DZB,8,50,GMIK MEN,13771,2021 - 2022 Güz Dönemi
MEN 411,Marine Auxialiary Machinery II,Kemal Demirel,Çarşamba,1230/1529,DZB,14,50,GEMK GMIK MEN MENM NAE,13760,2021 - 2022 Güz Dönemi
MEN 411,Marine Auxialiary Machinery II,Ahmet Ergün Palaz,Çarşamba,1230/1529,GDB,34,50,GEMK GMIK MEN MENM NAE,13922,2021 - 2022 Güz Dönemi
MEN 412,Engine Room Simulator (ERS) II,Kemal Demirel,Pazartesi,1330/1629,,8,50,GMIK MEN,15101,2021 - 2022 Güz Dönemi
MEN 421,Marine Diesel Engines III,Fahrettin Küçükşahin,Salı,1430/1729,DZB,14,50,GMIK MEN MENM,13761,2021 - 2022 Güz Dönemi
MEN 431,Engine Room Mangm.& Leadership,Cumali Seçkin Mengeçin,Salı,1130/1329,DZB,9,50,GMIK MEN MENM,13759,2021 - 2022 Güz Dönemi
