Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MOD 113,Visual Design Concepts I,"Elif Taşel, Nihan Topaloğlu",Perşembe,0830/1229,MKB,24,30,SMT,13281,2021 - 2022 Güz Dönemi
MOD 117,Design Studio I - Int.Draping,Şükriye Yüksel Filiz,Perşembe,1330/1729,MKB,24,30,SMT,13308,2021 - 2022 Güz Dönemi
MOD 133,Materials & Construction I,Gizem Turan,Salı,1330/1729,MKB,24,30,SMT,13279,2021 - 2022 Güz Dönemi
MOD 143,Digital Design Studio,Rüveyde Oder,Salı Cuma,0930/1229 0930/1229,MKB MKB,22,30,SMT,13282,2021 - 2022 Güz Dönemi
MOD 152,Fundam. of Textiles for FD,Osman Bülent Özipek,Pazartesi,0830/1229,MKB,22,30,SMT,13284,2021 - 2022 Güz Dönemi
MOD 217,Desg.StudioIII-Struct. Draping,Şükriye Yüksel Filiz,Pazartesi Salı,0930/1229 0930/1229,MKB MKB,11,30,SMT,13313,2021 - 2022 Güz Dönemi
MOD 237,Visual Design Concepts III,Ezgi Çılgın Çınar,Çarşamba Perşembe,1330/1529 1330/1529,MKB MKB,13,30,SMT,13317,2021 - 2022 Güz Dönemi
MOD 242,Digital Design:Flats & Floats,Belgin Görgün,Salı,1330/1629,MKB,11,30,SMT,13318,2021 - 2022 Güz Dönemi
MOD 243,Appr.Desg.Studio-Patternmaking,Belgin Görgün,Pazartesi Çarşamba,1330/1629 0930/1229,MKB MKB,10,30,SMT,13310,2021 - 2022 Güz Dönemi
MOD 304,Computerized Pattern Design,Belgin Görgün,Perşembe,1330/1629,MKB,6,30,SMT,13331,2021 - 2022 Güz Dönemi
MOD 308,Internship,"Belgin Görgün, Şükriye Yüksel Filiz",Pazartesi Çarşamba Cuma,1630/1729 0830/0929 1530/1729,MKB MKB MKB,5,30,SMT,13330,2021 - 2022 Güz Dönemi
MOD 357,Intr. to Knitwear Design,"Cevza Candan, Belgin Görgün",Perşembe Cuma,0830/1229 1030/1229,MKB MKB,7,30,SMT,13324,2021 - 2022 Güz Dönemi
MOD 359,Lifestyle Collection Design,Nihan Topaloğlu,Salı,1330/1729,MKB,4,30,SMT,13328,2021 - 2022 Güz Dönemi
