Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MRT 101,Maritime English,--,Pazartesi,1530/1729,DZB,0,0,SDU,11728,2021 - 2022 Güz Dönemi
MRT 105,Professional Studies I,--,Çarşamba,1130/1529,DZB,0,0,SDU,11730,2021 - 2022 Güz Dönemi
MRT 307,Nautical Operations-Legal,Hakan Muran,Pazartesi,0830/1029,DZB,2,10,SDU,11611,2021 - 2022 Güz Dönemi
MRT 309,Nautical Operations-Safety,Özcan Arslan,Çarşamba,1030/1229,DZB,2,10,SDU,11747,2021 - 2022 Güz Dönemi
MRT 311,Ship Handling & Maneuvering,Emre Akyüz,Perşembe,1030/1229,DZB,2,10,SDU,11745,2021 - 2022 Güz Dönemi
MRT 313,Electronic Navigation,Serdar Kum,Salı,0830/1329,DZB,3,10,SDU,11750,2021 - 2022 Güz Dönemi
MRT 315,Transportation Systems,Pelin Bolat,Salı,1430/1729,DZB,2,10,SDU,11746,2021 - 2022 Güz Dönemi
MRT 321,Intr.to Cargo Opr.&Ship Stblty,Tanzer Satır,Perşembe,1430/1729,DZB,2,10,SDU,11744,2021 - 2022 Güz Dönemi
MRT 325,Maritime Communications,Alaaddin Yıldıray Ertaş,Pazartesi,1330/1729,DZB,2,10,SDU SGM,11748,2021 - 2022 Güz Dönemi
MRT 327,Watchkeeping,Oğuzhan Gürel,Cuma Cuma,0830/1229 1430/1529,DZB DZB,2,10,SDU,11749,2021 - 2022 Güz Dönemi
MRT 401,Analysis of the Markt. Process,Levent Kırval,Perşembe,0830/1129,DZB,1,10,SDU SGM,15242,2021 - 2022 Güz Dönemi
MRT 405,Admiralty Law,Hakan Muran,Cuma,1430/1729,DZB,1,10,SDU,11762,2021 - 2022 Güz Dönemi
MRT 407,Cargo Operations,Tanzer Satır,Çarşamba,1130/1529,DZB,1,10,SDU SGM,12894,2021 - 2022 Güz Dönemi
MRT 409,Advance Navigation,Orhan Gönel,Salı,1430/1729,DZB,1,10,SDU,11760,2021 - 2022 Güz Dönemi
MRT 415,Physical Education I,Yusuf Nejat Koçar,Çarşamba,0830/1029,DZB,1,10,SDU,11751,2021 - 2022 Güz Dönemi
MRT 431,Oceanography,Ayşe Nak,Pazartesi,1530/1729,DZB,1,10,SDU SGM,11763,2021 - 2022 Güz Dönemi
