Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MUT 101,Kemençe Yapımı I,Mehmet Haşim Açanal,----,/,TMB,4,10,MUT MZT,11922,2021 - 2022 Güz Dönemi
MUT 111,Tanbur Yapımı,Hasan Coşkun,----,/,TMB,2,10,MTMM MUT MZT,11920,2021 - 2022 Güz Dönemi
MUT 1135,Piyano I,Mehru Ensari,Pazartesi,1330/1429,TMB,1,7,MUT,13889,2021 - 2022 Güz Dönemi
MUT 131,Akustik I,Murat Tıraş,Pazartesi,1530/1729,,60,61,BST KMP MTR MUT MUZ MZT,11915,2021 - 2022 Güz Dönemi
MUT 141,Kayıt Teknikleri,Sertaç Kakı,Salı Perşembe,1030/1229 1530/1729,TMB TMB,20,20,MTMS MUT MZT,11916,2021 - 2022 Güz Dönemi
MUT 153,Sayısal Ses Çalışma Ortamları,Sair Sinan Kestelli,Perşembe,0830/1029,TMB,20,20,MUT MZT,11917,2021 - 2022 Güz Dönemi
MUT 161,Ağaç Teknolojisi,Ahmet Tunç Buyruklar,Cuma,0830/1029,TMB,6,20,MUT MZT,11919,2021 - 2022 Güz Dönemi
MUT 201,Kemane Yapımı,--,----,/,TMB,0,0,MTMY MUT MZT,11924,2021 - 2022 Güz Dönemi
MUT 211,Ud Yapımı,İbrahim Coşkun,----,/,TMB,1,10,MTMM MUT MZT,11925,2021 - 2022 Güz Dönemi
MUT 2135,Piyano III,Mehru Ensari,Pazartesi,1430/1529,TMB,1,7,MUT,13891,2021 - 2022 Güz Dönemi
MUT 241,İleri Kayıt Teknikleri,Taylan Özdemir,Salı Perşembe,1030/1229 0830/1029,TMB TMB,12,20,MUT MZT,11926,2021 - 2022 Güz Dönemi
MUT 253,Prodüksiyon Analizi,Mehmet Cevdet Erek,Pazartesi,1030/1229,TMB,15,20,MUT MZT,11928,2021 - 2022 Güz Dönemi
MUT 263,Ölçme ve Kontrol Bilgisi,Mehmet Haşim Açanal,Salı,1330/1529,TMB,4,20,MUT MZT,11929,2021 - 2022 Güz Dönemi
MUT 267,Stüdyo Akustiği,Murat Tıraş,Salı,1030/1229,TMB,12,20,MUT MZT,11935,2021 - 2022 Güz Dönemi
MUT 269,Çalgı Teknik Resmi I,Şafak Köksal,Pazartesi,1330/1529,TMB,3,20,MUT MZT,11938,2021 - 2022 Güz Dönemi
