Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
RES 102,Bilg. Destekli Teknik Resim,Burak Zincir,Çarşamba,0830/1229,DZB,9,40,GMI,12155,2021 - 2022 Güz Dönemi
RES 107,Teknik Resim,Selim Ertürk,Cuma,1400/1659,KMB,69,57,END GID ISL KMM,11190,2021 - 2022 Güz Dönemi
RES 107,Teknik Resim,Selim Ertürk,Cuma,0830/1129,KMB,59,60,END GID ISL KMM,11116,2021 - 2022 Güz Dönemi
RES 107,Teknik Resim,--,Perşembe,1430/1729,FEB,0,0,FIZ FIZE,11168,2021 - 2022 Güz Dönemi
RES 107E,Technical Drawing,Selim Ertürk,Perşembe,1430/1729,KMB,43,44,FIZ FIZE,15263,2021 - 2022 Güz Dönemi
RES 107E,Technical Drawing,Murat Durucu,Cuma,1400/1659,INB,84,85,END ENDE GID GIDE ISL ISLE KMM KMME MET METE PETE TEKE,13683,2021 - 2022 Güz Dönemi
RES 107E,Technical Drawing,Sena Duru,Cuma,1400/1659,MKB,40,40,END ENDE GID GIDE ISL ISLE KMM KMME MET METE PETE TEK TEKE,12941,2021 - 2022 Güz Dönemi
RES 107E,Technical Drawing,Murat Durucu,Cuma,0930/1229,INB,79,85,END ENDE GID GIDE ISL ISLE KMM KMME MET METE PETE TEKE,13682,2021 - 2022 Güz Dönemi
RES 107E,Technical Drawing,Sena Duru,Salı,1330/1629,MKB,59,57,END ENDE GID GIDE ISL ISLE KMM KMME MET METE PETE TEK TEKE,12940,2021 - 2022 Güz Dönemi
RES 107E,Technical Drawing,Sevan Karabetoğlu,Perşembe,0830/1129,MDB,87,85,END ENDE GID GIDE ISL ISLE KMM KMME MET METE PET PETE TEKE,13250,2021 - 2022 Güz Dönemi
