Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
STA 201E,Statics,"Hale Ergün, Erol Demirkan",Cuma,0830/1129,MDB,79,80,DEN DENE EHB EHBE ELE ELH GEM GEME GEMK JEO JEOE MAD MADE MAK MAKE TEK TEL UCK UCKE UZB UZBE,13108,2021 - 2022 Güz Dönemi
STA 202,Statik,Reha Artan,Salı Çarşamba,1030/1229 0830/1029,INB INB,47,55,FIZ INS UCKM,13017,2021 - 2022 Güz Dönemi
STA 202E,Statics,Pelin Gündeş Bakır,Salı Çarşamba,0830/1029 0830/1029,,26,55,FIZ FIZE INS INSE UCKM,13022,2021 - 2022 Güz Dönemi
STA 204,Statik ve Mukavemet,Bahattin Kimençe,Pazartesi,1430/1729,MED,11,60,CEV EHB ELE ELH ELK EUT GID ISL KMM KOM KON MET MTO PET TEL,13644,2021 - 2022 Güz Dönemi
STA 204,Statik ve Mukavemet,Bahattin Kimençe,Perşembe,1330/1629,INB,51,50,CEV EHB ELE ELH ELK EUT GID ISL KMM KOM KON MET MTO PET TEL,13412,2021 - 2022 Güz Dönemi
STA 204,Statik ve Mukavemet,Bahattin Kimençe,Cuma,0830/1129,EEB,34,50,CEV EHB ELE ELH ELK EUT GID ISL KMM KOM KON MET MTO PET TEL,10826,2021 - 2022 Güz Dönemi
STA 204E,Statics&Strength of Materials,Arcan Yanık,Pazartesi,0830/1129,MED,40,40,CEV CEVE EHB EHBE ELKE EUT EUTE GID GIDE ISL ISLE JEF KMM KMME KOM KOME MET METE PET PETE PETM UCKM,15324,2021 - 2022 Güz Dönemi
STA 204E,Statics&Strength of Materials,"Pınar Özdemir Çağlayan, Erol Demirkan",Pazartesi,0830/1129,MDB,45,50,CEV CEVE EHB EHBE ELE ELH ELK ELKE EUT EUTE GID GIDE ISL ISLE JEF JEFE KMM KMME KOM KOME KON KONE MET METE MTO PET PETE TEL,13251,2021 - 2022 Güz Dönemi
STA 204E,Statics&Strength of Materials,Arcan Yanık,Pazartesi,1430/1729,MED,63,60,CEV CEVE EHB EHBE ELE ELH ELK ELKE EUT EUTE GID GIDE ISL ISLE JEF KMM KMME KOM KOME KON KONE MET METE MTO PET PETE TEL,13646,2021 - 2022 Güz Dönemi
STA 204E,Statics&Strength of Materials,Murat Yılmaz,Perşembe,1330/1629,INB,65,60,CEV CEVE EHB EHBE ELE ELH ELK ELKE EUT EUTE GID GIDE ISL ISLE JEF KMM KMME KOM KOME KON KONE MET METE MTO PET PETE TEL,13413,2021 - 2022 Güz Dönemi
