Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
THO 109,Oyun Ritim Bilgisi I,Eyüp Uzunkaya,Çarşamba,1330/1529,TMB,10,10,THMT THO,11860,2021 - 2022 Güz Dönemi
THO 109,Oyun Ritim Bilgisi I,Eyüp Uzunkaya,Salı,1530/1729,TMB,8,10,THMT THO,11858,2021 - 2022 Güz Dönemi
THO 111,Hareket Anatomisi I,"Nihal Cömert, Eyüp Uzunkaya",Perşembe,1330/1529,,20,25,THMT THO,11870,2021 - 2022 Güz Dönemi
THO 113,Oyun Tekniği I,Salim Sınar,Pazartesi Çarşamba,1330/1529 1030/1229,TMB TMB,19,25,THMA THMH THMK THMN THMR THMT THMZ THO,11859,2021 - 2022 Güz Dönemi
THO 115,Bale I,Funda Bozkurt,Salı Cuma,0830/1029 1030/1229,TMB TMB,8,10,THMB THO,11862,2021 - 2022 Güz Dönemi
THO 115,Bale I,Yurıy Mezokh,Salı Cuma,0830/1029 1030/1229,TMB TMB,9,10,THMB THO,11861,2021 - 2022 Güz Dönemi
THO 117,Kondisyon Ve Esneme I (Krdsz),Funda Bozkurt,Perşembe Cuma,1030/1229 0830/1029,TMB TMB,9,10,THMB THMD THO,11867,2021 - 2022 Güz Dönemi
THO 117,Kondisyon Ve Esneme I (Krdsz),Yurıy Mezokh,Perşembe Cuma,1030/1229 0830/1029,TMB TMB,10,10,THMB THMD THO,11863,2021 - 2022 Güz Dönemi
THO 201,Oyun Ritim Bilgisi III,Salim Sınar,Pazartesi,0830/1029,TMB,17,25,THO,11874,2021 - 2022 Güz Dönemi
THO 203,Türk Halk Oyunları I,Salim Sınar,Pazartesi Cuma,1030/1229 1030/1229,TMB TMB,24,25,THO,11873,2021 - 2022 Güz Dönemi
THO 205,Oyunda Yöresel Tavırlar I,Ahmet Turan Demirbağ,Çarşamba Cuma,1330/1529 0830/1029,TMB TMB,22,25,THO,11872,2021 - 2022 Güz Dönemi
THO 207,Oyun Repertuvarı I,Cumhur Sevinç,Salı Cuma,1030/1229 1400/1559,TMB TMB,16,25,THO,11876,2021 - 2022 Güz Dönemi
THO 208,Oyun Repertuvarı II,Cumhur Sevinç,Salı Perşembe,1330/1529 1030/1229,TMB TMB,2,10,THO,14820,2021 - 2022 Güz Dönemi
THO 2654,Vurmalı Çalgılar III,--,Pazartesi,0830/1029,TMB,0,0,THO,14818,2021 - 2022 Güz Dönemi
THO 303,Türk Halk Oyunları III,Cenap Güngör,Salı Perşembe,1330/1529 1030/1229,TMB TMB,15,25,THO,11864,2021 - 2022 Güz Dönemi
THO 305,Oyunda Yöresel Tavırlar III,Aydın Balcı,Salı Perşembe,1030/1229 0830/1029,TMB TMB,13,25,THO,11866,2021 - 2022 Güz Dönemi
THO 307,Oyun Repertuvarı III,Serdar Bombacı,Pazartesi Cuma,0830/1029 1400/1559,TMB TMB,13,25,THO,11865,2021 - 2022 Güz Dönemi
THO 309,Halk Oyunları Sahne Bilgisi,İlknur Demirbağ,Cuma,0930/1229,TMB,10,25,THMA THMH THMK THMN THMR THMT THMZ THO,11869,2021 - 2022 Güz Dönemi
THO 311,Oyun Analizi I,"Ahmet Turan Demirbağ, Eyüp Uzunkaya",Çarşamba,0930/1229,TMB,12,25,THMT THO,11871,2021 - 2022 Güz Dönemi
THO 312,Oyun Analizi II,Ahmet Turan Demirbağ,Salı,0930/1229,TMB,7,10,THO,14821,2021 - 2022 Güz Dönemi
THO 313,Koreoloji I,Nihal Cömert,Pazartesi Çarşamba,1330/1529 1330/1529,TMB TMB,14,25,THO,11868,2021 - 2022 Güz Dönemi
THO 317,Sahne Projesi I (Kredisiz),Ahmet Turan Demirbağ,Perşembe,1330/1729,TMB,1,5,THO,11853,2021 - 2022 Güz Dönemi
THO 317,Sahne Projesi I (Kredisiz),Cenap Güngör,Perşembe,1330/1729,TMB,1,5,THO,11852,2021 - 2022 Güz Dönemi
THO 317,Sahne Projesi I (Kredisiz),Cumhur Sevinç,Perşembe,1330/1729,TMB,3,5,THO,11851,2021 - 2022 Güz Dönemi
THO 317,Sahne Projesi I (Kredisiz),Yurıy Mezokh,Perşembe,1330/1729,TMB,1,5,THO,11850,2021 - 2022 Güz Dönemi
THO 317,Sahne Projesi I (Kredisiz),--,Perşembe,1330/1729,TMB,0,0,THO,11848,2021 - 2022 Güz Dönemi
THO 317,Sahne Projesi I (Kredisiz),--,Perşembe,1330/1729,TMB,0,0,THO,11849,2021 - 2022 Güz Dönemi
THO 371,Sahne ve Beden Dili I,Cumhur Sevinç,Cuma,1600/1759,TMB,2,20,SES,11856,2021 - 2022 Güz Dönemi
THO 409,20.yy'da Dans,İlknur Demirbağ,Çarşamba,0930/1229,TMB,5,25,THO,11847,2021 - 2022 Güz Dönemi
THO 411,Geleneksel Giyim Kuşam I,İlknur Demirbağ,Cuma,1400/1559,TMB,4,25,THMA THMH THMK THMN THMR THMT THMZ THO,11827,2021 - 2022 Güz Dönemi
THO 413,Jest-Mimik,Serpil Murtezaoğlu,Salı,1330/1629,TMB,2,25,THO,11846,2021 - 2022 Güz Dönemi
THO 417,Sahne Projesi III (Kredisiz),--,Perşembe,1330/1729,TMB,0,0,THO,11843,2021 - 2022 Güz Dönemi
THO 417,Sahne Projesi III (Kredisiz),--,,,,0,0,THO,11845,2021 - 2022 Güz Dönemi
THO 417,Sahne Projesi III (Kredisiz),Serpil Murtezaoğlu,Perşembe,1330/1729,TMB,4,5,THO,11844,2021 - 2022 Güz Dönemi
THO 421,Azeri Oyun Repertuvarı I,--,Salı Perşembe,0830/1029 1030/1229,TMB TMB,0,0,THMA THMT THO,11840,2021 - 2022 Güz Dönemi
