Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
BLG 102E,Intr to Sci&Eng Comp (C),Ali Çakmak,"Pazartesi
Perşembe","1330/1629
1530/1729","KMB
INB / D204
D101",109,120,"BLG, BLGE",23130,2022 - 2023 Bahar Dönemi
BLG 102E,Intr to Sci&Eng Comp (C),Hayri Turgut Uyar,"Salı
Perşembe","0830/1129
1530/1729","EEB
INB / 5304
D103",119,120,"BLG, BLGE",23131,2022 - 2023 Bahar Dönemi
BLG 102E,Intr to Sci&Eng Comp (C),Ömer Özyıldırım,"Çarşamba
Perşembe","0830/1129
1530/1729","GDB
INB / 409
D104",71,79,CEN,24856,2022 - 2023 Bahar Dönemi
BLG 112E,Discrete Mathematics,Şule Öğüdücü,Çarşamba,1230/1529,EEB / 5302,142,160,"BLG, BLGE, YZVE",23132,2022 - 2023 Bahar Dönemi
BLG 112E,Discrete Mathematics,Mehmet Akif Yazıcı,Çarşamba,1230/1529,EEB / 5204,160,160,"BLG, BLGE, YZVE",23133,2022 - 2023 Bahar Dönemi
BLG 112E,Discrete Mathematics,Ali Ercengiz,Perşembe,0830/1129,FEB / D202,66,79,CEN,24857,2022 - 2023 Bahar Dönemi
BLG 202E,Numerical Methods in CE,Enver Özdemir,Salı,0830/1129,MDB / A105,126,144,"BLG, BLGE, CEN, YZVE",23140,2022 - 2023 Bahar Dönemi
BLG 202E,Numerical Methods in CE,Yusuf Yaslan,Salı,0930/1229,INB / B104,140,140,"BLG, BLGE, CEN, YZVE",23139,2022 - 2023 Bahar Dönemi
BLG 212,Mikroişlemci Sistemleri,Tamer Ölmez,Perşembe,0830/1129,EEB / 2104,33,60,"EHB, ELE, ELK, KOM, TEL",24708,2022 - 2023 Bahar Dönemi
BLG 212E,Microprocessor Systems,Tankut Akgül,Perşembe,0830/1129,EEB / 5202,91,80,"EHB, EHBE, ELE, ELH, ELK, ELKE, KOM, KOME",24709,2022 - 2023 Bahar Dönemi
BLG 222E,Computer Organization,Deniz Turgay Altılar,Perşembe,0830/1129,EEB / 5302,116,137,"BLG, BLGE, CEN",23137,2022 - 2023 Bahar Dönemi
BLG 222E,Computer Organization,Gökhan İnce,Perşembe,0830/1129,EEB / 5304,121,123,"BLG, BLGE, CEN",23138,2022 - 2023 Bahar Dönemi
BLG 223E,Data Structures,Mehmet Baysan,"Pazartesi
Perşembe","1430/1629
1330/1529","EEB
MDB / 2106
B205",62,105,"BLG, BLGE, CEN",23134,2022 - 2023 Bahar Dönemi
BLG 242E,Logic Circuits Laboratory,İlkay Öksüz,Perşembe,1400/1559,EEB / 1301,3,25,CEN,24855,2022 - 2023 Bahar Dönemi
BLG 242E,Logic Circuits Laboratory,Mustafa Ersel Kamaşak,Cuma,1030/1229,EEB / ---,58,60,"BLG, BLGE",23142,2022 - 2023 Bahar Dönemi
BLG 242E,Logic Circuits Laboratory,İlkay Öksüz,Cuma,1400/1559,EEB / ---,58,60,"BLG, BLGE",23143,2022 - 2023 Bahar Dönemi
BLG 242E,Logic Circuits Laboratory,İlkay Öksüz,Cuma,1600/1759,EEB / ---,43,60,"BLG, BLGE",23144,2022 - 2023 Bahar Dönemi
BLG 252E,Object Oriented Programming,Gülşen Eryiğit,Pazartesi,0830/1129,MDB / A101,104,123,"BLG, BLGE, CEN, YZVE",23135,2022 - 2023 Bahar Dönemi
BLG 252E,Object Oriented Programming,Feza Buzluca,Pazartesi,0830/1129,MDB / A102,111,122,"BLG, BLGE, CEN, YZVE",23136,2022 - 2023 Bahar Dönemi
BLG 311E,Formal Languages and Automata,Tolga Ovatman,Çarşamba,1230/1529,GDB / 409,213,225,"BLG, BLGE, CEN, YZVE",23141,2022 - 2023 Bahar Dönemi
BLG 312E,Computer Operating Systems,Gökhan Seçinti,Çarşamba,0830/1129,MDB / A105,118,100,"BLG, BLGE",23147,2022 - 2023 Bahar Dönemi
BLG 312E,Computer Operating Systems,Kemal Bıçakçı,Çarşamba,0830/1129,MDB / A202,90,100,"BLG, BLGE, YZVE",23148,2022 - 2023 Bahar Dönemi
BLG 322E,Computer Architecture,Ayşe Yılmazer,Perşembe,0830/1129,EEB / 5204,81,80,"BLG, BLGE",23145,2022 - 2023 Bahar Dönemi
BLG 322E,Computer Architecture,Sanem Kabadayı,Perşembe,0830/1129,EEB / 4102,72,80,"BLG, BLGE",23146,2022 - 2023 Bahar Dönemi
BLG 336E,Analysis of Algorithms II,İlkay Öksüz,Salı,0830/1129,GDB / 409,104,90,"BLG, BLGE, YZVE",23149,2022 - 2023 Bahar Dönemi
BLG 336E,Analysis of Algorithms II,Sema Fatma Oktuğ,Salı,0830/1129,EEB / 2106,81,90,"BLG, BLGE, YZVE",23150,2022 - 2023 Bahar Dönemi
BLG 354E,Signal&Systems for Comp.Eng.,"Mustafa Ersel Kamaşak, Burak Berk Üstündağ",Pazartesi,0830/1129,EEB / 5305,90,100,"BLG, BLGE",23151,2022 - 2023 Bahar Dönemi
BLG 354E,Signal&Systems for Comp.Eng.,Hazım Kemal Ekenel,Pazartesi,0830/1129,EEB / 5303,94,95,"BLG, BLGE",23152,2022 - 2023 Bahar Dönemi
BLG 368E,Operations Research,Nizamettin Bayyurt,Salı,1430/1729,---- / ----,145,160,"BLG, BLGE, YZVE",24766,2022 - 2023 Bahar Dönemi
BLG 374E,Tech. Communic.for Comp.Eng.,Murat Okatan,Çarşamba,1330/1529,INB / B101,87,90,"BLG, BLGE",24619,2022 - 2023 Bahar Dönemi
BLG 374E,Tech. Communic.for Comp.Eng.,Murat Okatan,Cuma,1030/1229,EEB / 4102,61,90,"BLG, BLGE",24622,2022 - 2023 Bahar Dönemi
BLG 412E,Computer Ethics,Eşref Adalı,Perşembe,1130/1229,EEB / 4102,6,60,"BLG, BLGE",23217,2022 - 2023 Bahar Dönemi
BLG 435E,Artificial Intelligence,--,Pazartesi,1430/1629,EEB / ---,1,0,"BLG, BLGE",23155,2022 - 2023 Bahar Dönemi
