Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
EUT 108E,Materials&Manufacturing Meth.,Miray Boğa,"Salı
Perşembe","0830/1029
1330/1529","MMB
MMB / 230
216",72,80,"ENTE, EUT, EUTE",21200,2022 - 2023 Bahar Dönemi
EUT 126E,Materials in Design,Demet Günal Ertaş,Perşembe,1330/1729,MMB / 317,6,20,"ENTE, EUT, EUTE",21203,2022 - 2023 Bahar Dönemi
EUT 138E,Design Theories and Methods,Şebnem Timur,Pazartesi,1430/1729,MMB / 213,87,95,"ENTE, EUT, EUTE, EUTM",21204,2022 - 2023 Bahar Dönemi
EUT 206E,Statistics,Özge Çelikoğlu,Çarşamba,1230/1529,MMB / 107,54,35,"ENTE, EUT, EUTE",21208,2022 - 2023 Bahar Dönemi
EUT 220E,Industrial Design Studio I,Elif Küçüksayraç,"Salı
Cuma","1330/1729
1400/1759","MMB
MMB / 217B
217B",30,30,"ENTE, EUT, EUTE, EUTM",21215,2022 - 2023 Bahar Dönemi
EUT 220E,Industrial Design Studio I,Gülname Turan,"Salı
Cuma","1330/1729
1400/1759","MMB
MMB / 217A
217A",30,30,"ENTE, EUT, EUTE, EUTM",21218,2022 - 2023 Bahar Dönemi
EUT 220E,Industrial Design Studio I,--,"Salı
Cuma","1330/1729
1400/1759","MMB
MMB / ---
---",0,0,"ENTE, EUT, EUTE, EUTM",21219,2022 - 2023 Bahar Dönemi
EUT 220E,Industrial Design Studio I,Aysun Ateş Akdeniz,"Salı
Cuma","1330/1729
1400/1759","MMB
MMB / 217A
217A",27,30,"ENTE, EUT, EUTE, EUTM",24852,2022 - 2023 Bahar Dönemi
EUT 240E,Model Making II,Seyman Çay,Pazartesi,0830/1129,MMB / 3404,45,35,"ENTE, EUT, EUTE",21221,2022 - 2023 Bahar Dönemi
EUT 246E,History of Design I,Layıka Ney Ece Arıburun Kırca,Cuma,1030/1229,MMB / 229,106,110,"ENTE, ENTM, EUT, EUTE, EUTM",21222,2022 - 2023 Bahar Dönemi
EUT 272E,Human Factors inProduct Design,Ekrem Cem Alppay,Salı,0830/1129,MMB / 227,98,105,"ENTE, EUT, EUTE, EUTM",21223,2022 - 2023 Bahar Dönemi
EUT 319E,Industrial Design Studio II,Koray Gelmez,"Salı
Cuma","1330/1729
1400/1759","MMB
MMB / 217D
217D",12,20,"ENTE, EUT, EUTE, EUTM",21224,2022 - 2023 Bahar Dönemi
EUT 320E,Industrial Design Studio III,Layıka Ney Ece Arıburun Kırca,"Salı
Cuma","1330/1729
1400/1759","MMB
MMB / 217C
217C",20,20,"ENTE, EUT, EUTE, EUTM",21225,2022 - 2023 Bahar Dönemi
EUT 320E,Industrial Design Studio III,Özge Çelikoğlu,"Salı
Cuma","1330/1729
1400/1759","MMB
MMB / 217D
217D",15,20,"ENTE, EUT, EUTE, EUTM",21226,2022 - 2023 Bahar Dönemi
EUT 320E,Industrial Design Studio III,Şebnem Timur,"Salı
Cuma","1330/1729
1400/1759","MMB
MMB / 217C
217C",20,20,"ENTE, EUT, EUTE, EUTM",21227,2022 - 2023 Bahar Dönemi
EUT 342E,Law and Legal Issues in Design,Özgür Öztürk,Pazartesi,1330/1629,MMB / 127,74,80,"ENTE, EUT, EUTE",21231,2022 - 2023 Bahar Dönemi
EUT 352E,Strategic Design & Management,Elif Küçüksayraç,Perşembe,0830/1229,MMB / 231,59,80,"ENTE, EUT, EUTE",21234,2022 - 2023 Bahar Dönemi
EUT 419E,Industrial Design Studio IV,Ekrem Cem Alppay,"Salı
Cuma","1330/1729
1400/1759","MMB
MMB / 3400
3400",15,20,"ENTE, EUT, EUTE, EUTM",21238,2022 - 2023 Bahar Dönemi
EUT 4902E,Graduation Project,Miray Boğa,----,/,MMB / ---,56,500,"ENTE, EUTE",21242,2022 - 2023 Bahar Dönemi
EUT 492,Bitirme Çalışması,Miray Boğa,----,/,MMB / ---,1,50,EUT,21243,2022 - 2023 Bahar Dönemi
