Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ITA 101,İtalyanca I,Valentina Elmetti,Pazartesi,1300/1659,---- / ----,30,30,Tüm Lisans ve Lisansüstü Programlar,20041,2022 - 2023 Bahar Dönemi
ITA 101,İtalyanca I,Lina Calogera,Salı,0830/1229,---- / ----,30,30,Tüm Lisans ve Lisansüstü Programlar,20037,2022 - 2023 Bahar Dönemi
ITA 101,İtalyanca I,Lina Calogera,Salı,1300/1659,---- / ----,30,30,Tüm Lisans ve Lisansüstü Programlar,20039,2022 - 2023 Bahar Dönemi
ITA 101,İtalyanca I,Lina Calogera,Cuma,0830/1229,---- / ----,28,30,Tüm Lisans ve Lisansüstü Programlar,20040,2022 - 2023 Bahar Dönemi
ITA 102,İtalyanca II,Lina Calogera,Pazartesi,1300/1659,---- / ----,20,25,Tüm Lisans ve Lisansüstü Programlar,20042,2022 - 2023 Bahar Dönemi
ITA 102,İtalyanca II,Valentina Elmetti,Salı,1300/1659,---- / ----,22,25,Tüm Lisans ve Lisansüstü Programlar,20044,2022 - 2023 Bahar Dönemi
ITA 102,İtalyanca II,Valentina Elmetti,Perşembe,1300/1659,---- / ----,17,25,Tüm Lisans ve Lisansüstü Programlar,20043,2022 - 2023 Bahar Dönemi
ITA 201,İtalyanca III,Lina Calogera,Perşembe,0830/1229,---- / ----,14,20,Tüm Lisans ve Lisansüstü Programlar,20045,2022 - 2023 Bahar Dönemi
ITA 202,İtalyanca IV,Valentina Elmetti,Perşembe,0830/1229,---- / ----,5,20,Tüm Lisans ve Lisansüstü Programlar,20046,2022 - 2023 Bahar Dönemi
ITA 301,İtalyanca V,Valentina Elmetti,Cuma,0830/1229,---- / ----,7,20,Tüm Lisans ve Lisansüstü Programlar,20047,2022 - 2023 Bahar Dönemi
