Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MIM 106,Yapı Mekaniği,--,"Çarşamba
Çarşamba","1030/1229
1330/1529","MMB
MMB / ---
---",0,0,"EUT, ICM, MIM",21644,2022 - 2023 Bahar Dönemi
MIM 106,Yapı Mekaniği,Halet Almıla Büyüktaşkın,"Çarşamba
Çarşamba","1030/1229
1330/1529","MMB
MMB / 215
215",81,83,"EUT, ICM, MIM",21682,2022 - 2023 Bahar Dönemi
MIM 106,Yapı Mekaniği,Haluk Sesigür,"Çarşamba
Çarşamba","1030/1229
1330/1529","MMB
MMB / 216
216",83,83,"EUT, ICM, MIM",21684,2022 - 2023 Bahar Dönemi
MIM 106E,Structural Mechanics,Gülseren Erol Soyöz,"Çarşamba
Çarşamba","1030/1229
1330/1529","MMB
MMB / 231
231",23,110,"ARC, ENTE, EUTE, ICM, MIM, MIME",21686,2022 - 2023 Bahar Dönemi
MIM 106E,Structural Mechanics,Cenk Üstündağ,"Çarşamba
Çarşamba","1030/1229
1330/1529","MMB
MMB / 230
230",151,151,"ARC, ENTE, EUTE, IAD, ICM, MIM, MIME",21687,2022 - 2023 Bahar Dönemi
MIM 114,Erişilebilirlik,Göksenin İnalhan,Salı,0830/1029,---- / ----,9,50,MIM,21689,2022 - 2023 Bahar Dönemi
MIM 114E,Accessibility,Göksenin İnalhan,Salı,1030/1229,---- / ----,8,40,MIME,21691,2022 - 2023 Bahar Dönemi
MIM 120E,Int.toCmp.Ds.Tools&Mth.inArch.,Michael Stefan Bitterman,Cuma,1400/1659,---- / ----,134,150,"ARC, MIM, MIME",21692,2022 - 2023 Bahar Dönemi
MIM 120E,Int.toCmp.Ds.Tools&Mth.inArch.,Aslı Çekmiş,Cuma,1400/1659,---- / ----,149,150,"ARC, MIM, MIME",24398,2022 - 2023 Bahar Dönemi
MIM 204,Mimarlık. Yapı Elemanları Tas.,--,"Çarşamba
Çarşamba","0930/1229
1330/1529","MMB
MMB / ---
---",0,0,MIM,21694,2022 - 2023 Bahar Dönemi
MIM 204,Mimarlık. Yapı Elemanları Tas.,Ayşe Nil Türkeri,"Çarşamba
Çarşamba","0930/1229
1330/1529","MMB
MMB / CATI1
CATI1",48,48,MIM,21696,2022 - 2023 Bahar Dönemi
MIM 204,Mimarlık. Yapı Elemanları Tas.,Hülya Kuş,"Çarşamba
Çarşamba","0930/1229
1330/1529","MMB
MMB / CATI2
CATI2",38,48,MIM,21697,2022 - 2023 Bahar Dönemi
MIM 204,Mimarlık. Yapı Elemanları Tas.,Caner Göçer,"Çarşamba
Çarşamba","0930/1229
1330/1529","MMB
MMB / CATI3
CATI3",48,48,MIM,21699,2022 - 2023 Bahar Dönemi
MIM 204E,Arch.Building Element Design,--,"Çarşamba
Çarşamba","0930/1229
1330/1529","MMB
MMB / ---
---",0,0,"ARC, ICM, MIM, MIME",21700,2022 - 2023 Bahar Dönemi
MIM 204E,Arch.Building Element Design,Fatih Yazıcıoğlu,"Çarşamba
Çarşamba","0930/1229
1330/1529","MMB
MMB / CATI4
CATI4",38,48,"ARC, ICM, MIME",21701,2022 - 2023 Bahar Dönemi
MIM 204E,Arch.Building Element Design,Fethiye Ecem Edis,"Çarşamba
Çarşamba","0930/1229
1330/1529","MMB
MMB / CATI5
CATI5",48,48,"ARC, ICM, MIME",21702,2022 - 2023 Bahar Dönemi
MIM 208E,Structural Analysis& Design I,"Halet Almıla Büyüktaşkın, Gülseren Erol Soyöz","Salı
Cuma","1030/1229
1030/1229","MMB
MMB / 305
307",10,15,"MIM, MIME",25039,2022 - 2023 Bahar Dönemi
