Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
KON 103,Kontrol & Otom. Müh.Giriş&Etik,Mustafa Doğan,Çarşamba,0930/1229,EEB,0,0,KOM,12110,2022 - 2023 Güz Dönemi
KON 103E,Intr.toCont.& Auto.Eng.&Ethics,Mustafa Doğan,Çarşamba,1230/1529,EEB,0,0,KOM KOME,12111,2022 - 2023 Güz Dönemi
KON 218,Ölçme Tekniği ve Algılayıcılar,Yücel Aydın,Cuma,1400/1759,EEB,0,0,EHB ELK KOM MKN,15213,2022 - 2023 Güz Dönemi
KON 305E,Programming Techniq.in Control,Emre Dincel,Salı,1230/1629,,0,0,KOM KOME,12112,2022 - 2023 Güz Dönemi
KON 306E,Computer Controlled Systems,"Yaprak Yalçın, Ahmet Onat, Tufan Kumbasar",Cuma,1400/1759,EEB,0,0,KOM KOME,15251,2022 - 2023 Güz Dönemi
KON 309E,Microcontroller Systems,Ahmet Onat,Cuma,0830/1229,EEB,0,0,KOM KOME MKN,12114,2022 - 2023 Güz Dönemi
KON 309E,Microcontroller Systems,Osman Kaan Erol,Salı,0830/1229,EEB,0,0,KOM KOME MKN,12113,2022 - 2023 Güz Dönemi
KON 313,Geribeslemeli Kontrol Sist.,Müjde Güzelkaya,Pazartesi,1230/1529,EEB,0,0,KOM MKN,12115,2022 - 2023 Güz Dönemi
KON 313E,Feedback Control Systems,Tufan Kumbasar,Pazartesi,1230/1529,EEB,0,0,KOM KOME MKN,12116,2022 - 2023 Güz Dönemi
KON 314E,Control System Design,Emre Dincel,Pazartesi Cuma,1530/1729 1030/1229,,0,0,KOM KOME,15241,2022 - 2023 Güz Dönemi
KON 315,Elektronik Enstrümantasyon,--,Çarşamba,0830/1229,EEB,0,0,KOM,12118,2022 - 2023 Güz Dönemi
KON 315,Elektronik Enstrümantasyon,Serhat İkizoğlu,Çarşamba,0830/1229,EEB,0,0,KOM,12117,2022 - 2023 Güz Dönemi
KON 315E,Electronic Instrumentation,Serhat İkizoğlu,Perşembe,0830/1229,EEB,0,0,KOM KOME,12119,2022 - 2023 Güz Dönemi
KON 317,Otomatik Kontrol Sistemleri,Volkan Sezer,Pazartesi,1230/1529,EEB,0,0,BLG EHB ELE ELH ELK TEL,12120,2022 - 2023 Güz Dönemi
KON 317,Otomatik Kontrol Sistemleri,Sıddık Murat Yeşiloğlu,Pazartesi,1230/1529,EEB,0,0,BLG EHB ELE ELH ELK TEL,12121,2022 - 2023 Güz Dönemi
KON 317E,Control Systems,Gülay Öke Günel,Pazartesi,1230/1529,EEB,0,0,BLGE EHB EHBE EHS ELK ELKE,12124,2022 - 2023 Güz Dönemi
KON 318E,Introduction to Robotics,Hakan Temeltaş,Salı,1230/1529,EEB,0,0,KOM KOME,12127,2022 - 2023 Güz Dönemi
KON 405E,State Space Meth.in Contr.Syst,İlker Üstoğlu,Pazartesi,0830/1129,EEB,0,0,KOM KOME MKN,12135,2022 - 2023 Güz Dönemi
KON 405E,State Space Meth.in Contr.Syst,Fikret Çalışkan,Pazartesi,0830/1129,EEB,0,0,KOM KOME MKN,12132,2022 - 2023 Güz Dönemi
KON 409,Bitirme Tasarım Prj. Giriş,Hakan Temeltaş,Perşembe,1030/1229,EEB,0,0,KOM,12138,2022 - 2023 Güz Dönemi
KON 409E,Int. to Senior Design Project,Hakan Temeltaş,Perşembe,1230/1429,EEB,0,0,KOM KOME,12140,2022 - 2023 Güz Dönemi
KON 411,Kontrol Lab.,Ahmet Onat,Perşembe,0830/1029,EEB,0,0,KOM,12151,2022 - 2023 Güz Dönemi
KON 411,Kontrol Lab.,Ahmet Onat,Çarşamba,0830/1029,EEB,0,0,KOM,12144,2022 - 2023 Güz Dönemi
KON 411,Kontrol Lab.,Ahmet Onat,Salı,0830/1029,EEB,0,0,KOM,12147,2022 - 2023 Güz Dönemi
KON 411,Kontrol Lab.,Ahmet Onat,Pazartesi,0830/1029,EEB,0,0,KOM,12149,2022 - 2023 Güz Dönemi
KON 411E,Control Laboratory,Ali Fuat Ergenç,Cuma,0830/1029,EEB,0,0,KOM KOME,12154,2022 - 2023 Güz Dönemi
KON 411E,Control Laboratory,Ali Fuat Ergenç,Çarşamba,1230/1429,EEB,0,0,KOM KOME,12158,2022 - 2023 Güz Dönemi
KON 413,Endüstriyel Otomasyon,Salman Kurtulan,Perşembe,1230/1629,EEB,0,0,KOM MKN,12159,2022 - 2023 Güz Dönemi
KON 413E,Industrial Automation,Yaprak Yalçın,Perşembe,1230/1629,EEB,0,0,KOM KOME,12160,2022 - 2023 Güz Dönemi
KON 419E,Control Sys. Dsgn. Project,Ali Fuat Ergenç,Cuma,1030/1229,EEB,0,0,KOM KOME,12161,2022 - 2023 Güz Dönemi
KON 422,Elektrikli Ulaşım Sistemleri,Salman Kurtulan,Çarşamba,1230/1529,EEB,0,0,KOM,12162,2022 - 2023 Güz Dönemi
KON 425,Süreç Kontrolü,İlhan Kocaarslan,Çarşamba,0830/1129,EEB,0,0,KOM,13177,2022 - 2023 Güz Dönemi
KON 435E,Industrial Data Communications,Ali Fuat Ergenç,Pazartesi,1230/1629,EEB,0,0,EHB EHBE KOM KOME MKN,12164,2022 - 2023 Güz Dönemi
KON 437E,Motion Control Systems,Ali Fuat Ergenç,Salı Salı,0830/1029 1030/1229,EEB EEB,0,0,KOM KOME,12165,2022 - 2023 Güz Dönemi
KON 4901,Kontrol&Otom. Müh.Tasarımı I,Hakan Temeltaş,----,/,EEB,0,0,KOM,12166,2022 - 2023 Güz Dönemi
KON 4901E,Contr.&Automation Eng.Design I,Hakan Temeltaş,----,/,EEB,0,0,KOM KOME,12167,2022 - 2023 Güz Dönemi
KON 4902,Kontrol&Otom. Müh.Tasarımı II,Hakan Temeltaş,----,/,EEB,0,0,KOM,12168,2022 - 2023 Güz Dönemi
KON 4902E,Contr.&Automation Eng.DesignII,Hakan Temeltaş,----,/,EEB,0,0,KOM KOME,12169,2022 - 2023 Güz Dönemi
KON 492,Bitirme Tasarım Projesi,Hakan Temeltaş,----,/,EEB,0,0,KOM,12170,2022 - 2023 Güz Dönemi
KON 492E,Senior Design Project,Hakan Temeltaş,----,/,EEB,0,0,KOM KOME,12171,2022 - 2023 Güz Dönemi
