Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MAD 101E,Tech.Draw.Appl.in Mining Eng.,Hakan Tunçdemir,Perşembe,0830/1129,MDB,0,0,MAD MADE,12605,2022 - 2023 Güz Dönemi
MAD 101E,Tech.Draw.Appl.in Mining Eng.,Hakan Tunçdemir,Cuma,0830/1129,MDB,0,0,MAD,12606,2022 - 2023 Güz Dönemi
MAD 111,Maden Müh Giriş,Ataç Başçetin,Çarşamba,1430/1529,MDB,0,0,MAD MADE,12607,2022 - 2023 Güz Dönemi
MAD 213E,Mine Production Technology,Cüneyt Atilla Öztürk,Perşembe,1130/1329,MDB,0,0,CHZ CHZE,12604,2022 - 2023 Güz Dönemi
MAD 232,Açık İşletmeler,"Selamet Gürbüz Erçelebi, Ataç Başçetin",Pazartesi,1430/1729,MDB,0,0,MAD MADM,12610,2022 - 2023 Güz Dönemi
MAD 241E,Blasting Tech&its Applications,Türker Hüdaverdi,Salı,1130/1329,MDB,0,0,MAD MADE MADM,12477,2022 - 2023 Güz Dönemi
MAD 254E,Strngth of Mat.for Mining Eng.,Bahar Ayhan,Çarşamba,1330/1529,MDB,0,0,MAD MADE,15091,2022 - 2023 Güz Dönemi
MAD 307,Cevher Hazırlama I,Murat Olgaç Kangal,Perşembe,1030/1329,MDB,0,0,MAD,12478,2022 - 2023 Güz Dönemi
MAD 311,Jeofizik,Seda Yolsal Çevikbilen,Perşembe,0830/1029,MDB,0,0,MAD MADE,12479,2022 - 2023 Güz Dönemi
MAD 319,Doğal Taş Üretim Teknolojisi,Deniz Tumaç,Salı,1330/1529,MDB,0,0,MAD MADM,12480,2022 - 2023 Güz Dönemi
MAD 327,Madenlerde Ulaşım ve Su Atımı,Cemal Balcı,Pazartesi,0830/1029,MDB,0,0,MAD MADM,12481,2022 - 2023 Güz Dönemi
MAD 351E,Rock Mechanics,Hakan Tunçdemir,Çarşamba,0830/1129,MDB,0,0,MAD MADE MADM,12482,2022 - 2023 Güz Dönemi
MAD 361,Maden Yatakları,Mustafa Kumral,Pazartesi,1130/1329,MDB,0,0,MAD,12483,2022 - 2023 Güz Dönemi
MAD 362,Mühendislik Jeolojisi,--,Salı,1530/1729,MDB,0,0,MAD,12484,2022 - 2023 Güz Dönemi
MAD 362E,Engineering Geology,Kayhan Develi,Salı,1530/1729,MDB,0,0,MAD MADE,13759,2022 - 2023 Güz Dönemi
MAD 413E,Tunneling,"Hanifi Çopur, Deniz Tumaç",Salı,0830/1129,MDB,0,0,MAD MADE MADM,12486,2022 - 2023 Güz Dönemi
MAD 415E,Cement Technology,--,Salı,0830/1129,MDB,0,0,MAD MADE MADM,15226,2022 - 2023 Güz Dönemi
MAD 439E,Cement Technology,--,Salı,0830/1029,MDB,0,0,MAD MADE MADM,12487,2022 - 2023 Güz Dönemi
MAD 441E,Mine System Analysis,"Selamet Gürbüz Erçelebi, Muhammet Mustafa Kahraman",Perşembe,1330/1629,MDB,0,0,MAD MADE,12488,2022 - 2023 Güz Dönemi
MAD 451,Maden Makinaları,"Hanifi Çopur, Deniz Tumaç",Cuma,0830/1129,MDB,0,0,MAD MADM,12489,2022 - 2023 Güz Dönemi
MAD 461,Madenlerde Havalandırma,Abdullah Fişne,Pazartesi,1430/1729,MDB,0,0,MAD MADM,12491,2022 - 2023 Güz Dönemi
MAD 467,Jeoloji Haritaları,Ufuk Tarı,Pazartesi,0830/1129,MDB,0,0,MAD,12492,2022 - 2023 Güz Dönemi
MAD 471E,Electro-Techniques in Mines,Murat İmeryüz,Çarşamba,1130/1329,EEB,0,0,MAD MADE,12157,2022 - 2023 Güz Dönemi
MAD 4901,Maden Müh.Tasarım Projesi I,Ataç Başçetin,----,/,MDB,0,0,MAD,12877,2022 - 2023 Güz Dönemi
MAD 4902,Maden Müh.Tasarım Projesi II,Ataç Başçetin,----,/,MDB,0,0,MAD,12878,2022 - 2023 Güz Dönemi
MAD 492,Bitirme Çalışması,Ataç Başçetin,----,/,MDB,0,0,MAD,12879,2022 - 2023 Güz Dönemi
MAD 492E,Graduation Project,Ataç Başçetin,----,/,MDB,0,0,MAD MADE,12880,2022 - 2023 Güz Dönemi
