Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
PEM 119E,Int.Landscape Architec.&Ethics,Melih Bozkurt,Çarşamba,1330/1529,MMB,0,0,PEM PEME PEMM,12851,2022 - 2023 Güz Dönemi
PEM 205E,Comp. Aided Landscape Arch.,Ayşegül Akçay Kavakoğlu,Cuma,1430/1729,,0,0,PEM PEME,12866,2022 - 2023 Güz Dönemi
PEM 209E,Landform & Built Envir.Studio,Enise Burcu Derinboğaz,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,0,0,PEM PEME,13718,2022 - 2023 Güz Dönemi
PEM 209E,Landform & Built Envir.Studio,Seda Kurt Şengün,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,0,0,PEM PEME,13717,2022 - 2023 Güz Dönemi
PEM 209E,Landform & Built Envir.Studio,Meltem Erdem Kaya,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,0,0,PEM PEME,12852,2022 - 2023 Güz Dönemi
PEM 212E,Landscape Design I,Fatma Ayçim Türer Başkaya,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,0,0,PEM PEME,12853,2022 - 2023 Güz Dönemi
PEM 225E,Hist.Theo.&Crtc.inLndsc.Arc.II,Ebru Erbaş Gürler,Perşembe,0930/1229,MMB,0,0,PEM PEME PEMM,12865,2022 - 2023 Güz Dönemi
PEM 231E,Plant Material II,Elif Lutfiye Kutay Karaçor,Cuma,0830/1229,MMB,0,0,PEM PEME PEMM,12864,2022 - 2023 Güz Dönemi
PEM 231E,Plant Material II,Elif Lutfiye Kutay Karaçor,Salı,1330/1729,MMB,0,0,PEM PEME PEMM,12863,2022 - 2023 Güz Dönemi
PEM 242E,Landscape Eco.&Its Ref.onDsg.,Meltem Erdem Kaya,Salı,1030/1229,MMB,0,0,PEM PEME PEMM,12867,2022 - 2023 Güz Dönemi
PEM 253E,Landscape Construction I,Hayriye Eşbah Tunçay,Salı,0830/1229,MMB,0,0,PEM PEME,12869,2022 - 2023 Güz Dönemi
PEM 303E,Int.to Geographical Inf.Sys.,Elif Kısar Koramaz,Cuma,0930/1229,,0,0,PEM PEME,12868,2022 - 2023 Güz Dönemi
PEM 305E,Landscape Construction II,Hayriye Eşbah Tunçay,Salı,0830/1229,MMB,0,0,PEM PEME,12870,2022 - 2023 Güz Dönemi
PEM 307E,Urbanism & Planning Law,Turgay Kerem Koramaz,Pazartesi,0830/1229,MMB,0,0,PEM PEME,13509,2022 - 2023 Güz Dönemi
PEM 311E,Landscape Design II,Ebru Erbaş Gürler,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,0,0,PEM PEME,12856,2022 - 2023 Güz Dönemi
PEM 311E,Landscape Design II,Fatma Ayçim Türer Başkaya,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,0,0,PEM PEME,12855,2022 - 2023 Güz Dönemi
PEM 311E,Landscape Design II,Melih Bozkurt,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,0,0,PEM PEME,12854,2022 - 2023 Güz Dönemi
PEM 312E,Landscape Design III,Hayriye Eşbah Tunçay,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,0,0,PEM PEME,12859,2022 - 2023 Güz Dönemi
PEM 4012E,Adv.Rendering Tech.inLands.,Ikhwan Kim,Cuma,1430/1729,MMB,0,0,PEM PEME,12872,2022 - 2023 Güz Dönemi
PEM 4019E,Social Asspect of Landsc.Arch.,Melih Bozkurt,Çarşamba,1030/1229,MMB,0,0,MIM MIME PEM PEME SBP SBPE,12873,2022 - 2023 Güz Dönemi
PEM 4022E,Urban Furniture and Space,Gülşen Aytaç,Perşembe,1030/1229,,0,0,ENTE EUT EUTE ICM ICME MIM MIME PEM PEME SBP SBPE,12874,2022 - 2023 Güz Dönemi
PEM 4023E,Urban Visual Analysis,Elif Lutfiye Kutay Karaçor,Cuma,1430/1629,MMB,0,0,PEM PEME,12875,2022 - 2023 Güz Dönemi
PEM 407E,Const.Drawi.Tch.in Landsc.Dsgn,Hayriye Eşbah Tunçay,Salı,1330/1729,MMB,0,0,PEM PEME,12871,2022 - 2023 Güz Dönemi
PEM 411E,Landscape Design IV,Hayriye Eşbah Tunçay,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,0,0,PEM PEME,12858,2022 - 2023 Güz Dönemi
PEM 411E,Landscape Design IV,Gülşen Aytaç,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,0,0,PEM PEME,12857,2022 - 2023 Güz Dönemi
PEM 4902E,Graduation Project,Gülşen Aytaç,----,/,MMB,0,0,PEM PEME,12860,2022 - 2023 Güz Dönemi
PEM 4902E,Graduation Project,--,----,/,MMB,0,0,PEME,12861,2022 - 2023 Güz Dönemi
PEM 492E,Graduation Project,Gülşen Aytaç,----,/,MMB,0,0,PEM PEME,15179,2022 - 2023 Güz Dönemi
