Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
TEK 113E,Intr.to Textile Eng. & Ethics,"Cevza Candan, Fatma Banu Nergis",Cuma,0830/1029,MKB,0,0,TEK TEKE TEKM,11526,2022 - 2023 Güz Dönemi
TEK 116E,Fiber Science,"İkilem Göcek, Alper Gürarslan",Pazartesi,1330/1629,MKB,0,0,TEK TEKE TEKM,11528,2022 - 2023 Güz Dönemi
TEK 213E,Textile Chemistry,Berdan Kalav,Perşembe,1330/1629,MKB,0,0,TEK TEKE TEKM,11530,2022 - 2023 Güz Dönemi
TEK 213E,Textile Chemistry,Umut Kıvanç Şahin,Salı,0830/1129,MKB,0,0,TEK TEKE TEKM,11529,2022 - 2023 Güz Dönemi
TEK 233E,Introduction to Yarn Spinning,"Fatma Banu Nergis, Yeşim Beceren",Çarşamba,0830/1129,MKB,0,0,TEK TEKE TEKM,11531,2022 - 2023 Güz Dönemi
TEK 233E,Introduction to Yarn Spinning,Nazan Okur,Pazartesi,0830/1129,MKB,0,0,TEK TEKE TEKM,11532,2022 - 2023 Güz Dönemi
TEK 234E,Weaving Preparation,Hande Sezgin,Salı,1330/1629,MKB,0,0,TEK TEKE TEKM,11533,2022 - 2023 Güz Dönemi
TEK 254E,Knitting Technology,Sena Duru,Salı,0830/1129,MKB,0,0,TEK TEKE TEKM,11534,2022 - 2023 Güz Dönemi
TEK 305E,Textile Testing,"İlkay Özsev Yüksek, Nevin Çiğdem Gürsoy",Salı Perşembe,0830/1029 1030/1229,MKB MKB,0,0,TEK TEKE TEKM,11547,2022 - 2023 Güz Dönemi
TEK 305E,Textile Testing,"Hale Karakaş, Nevin Çiğdem Gürsoy",Çarşamba Perşembe,1330/1529 0830/1029,MKB MKB,0,0,TEK TEKE TEKM,11549,2022 - 2023 Güz Dönemi
TEK 327E,Machine Elements,İpek Yalçın Eniş,Perşembe,1430/1629,MKB,0,0,TEK TEKE,11552,2022 - 2023 Güz Dönemi
TEK 327E,Machine Elements,İkilem Göcek,Salı,1030/1229,MKB,0,0,TEK TEKE,11550,2022 - 2023 Güz Dönemi
TEK 345E,Clothing Technology,Fatma Kalaoğlu,Cuma,1400/1659,MKB,0,0,TEK TEKE TEKM,11553,2022 - 2023 Güz Dönemi
TEK 345E,Clothing Technology,Selin Hanife Eryürük,Salı,1330/1629,MKB,0,0,TEK TEKE TEKM,11555,2022 - 2023 Güz Dönemi
TEK 361E,Mechanisms,Meltem Yanılmaz,Pazartesi,0830/1129,MKB,0,0,IML IMLE TEK TEKE,11558,2022 - 2023 Güz Dönemi
TEK 361E,Mechanisms,Şule Selçuk,Cuma,0830/1129,MKB,0,0,IML IMLE TEK TEKE,11556,2022 - 2023 Güz Dönemi
TEK 413E,Fabric Design,Burçak Karagüzel Kayaoğlu,Perşembe,1330/1629,MKB,0,0,TEK TEKE TEKM,11562,2022 - 2023 Güz Dönemi
TEK 413E,Fabric Design,Ömer Berk Berkalp,Pazartesi,1330/1629,MKB,0,0,TEK TEKE TEKM,11563,2022 - 2023 Güz Dönemi
TEK 417E,Technical Yarns,Fatma Banu Nergis,Perşembe,0830/1129,MKB,0,0,TEK TEKE,11564,2022 - 2023 Güz Dönemi
TEK 441E,Yarn Production Calculations,"Yeşim Beceren, Fatma Banu Nergis",Salı,0830/1129,MKB,0,0,TEK TEKE,11565,2022 - 2023 Güz Dönemi
TEK 447E,Ecological Textiles,Berdan Kalav,Salı,1330/1629,MKB,0,0,TEK TEKE,11566,2022 - 2023 Güz Dönemi
TEK 451E,Textile Prod.Management &Cntrl,Canan Sarıçam,Salı,1330/1629,MKB,0,0,TEK TEKE,11567,2022 - 2023 Güz Dönemi
TEK 452E,Knitting Technology II,Sena Duru,Pazartesi,0830/1129,MKB,0,0,TEK TEKE,11568,2022 - 2023 Güz Dönemi
TEK 453E,Synthetic &Textured Yarn Prod.,Ali Demir,Salı,0830/1129,MKB,0,0,TEK TEKE,11569,2022 - 2023 Güz Dönemi
TEK 455E,Non-Woven Fabrics,İlkay Özsev Yüksek,Cuma,0830/1129,MKB,0,0,TEK TEKE TEKM,11561,2022 - 2023 Güz Dönemi
TEK 455E,Non-Woven Fabrics,İpek Yalçın Eniş,Çarşamba,0830/1129,MKB,0,0,TEK TEKE TEKM,11559,2022 - 2023 Güz Dönemi
TEK 456E,Textile Finishing Auxiliaries,Umut Kıvanç Şahin,Çarşamba,1230/1529,MKB,0,0,TEK TEKE,11571,2022 - 2023 Güz Dönemi
TEK 457E,Pre-treatment Processes,Berdan Kalav,Cuma,1400/1659,MKB,0,0,TEK TEKE,11572,2022 - 2023 Güz Dönemi
TEK 459E,Garment Pattern Making inAppar,Belgin Görgün,Pazartesi,0830/1129,MKB,0,0,TEK TEKE,11573,2022 - 2023 Güz Dönemi
TEK 483E,Motion and Time Study,Hande Sezgin,Cuma,1400/1659,MKB,0,0,TEK TEKE,11574,2022 - 2023 Güz Dönemi
TEK 485E,Cost Accounting,--,Pazartesi,1330/1629,MKB,0,0,TEK TEKE,11575,2022 - 2023 Güz Dönemi
TEK 4901E,Textile Engineering Design I,Ömer Berk Berkalp,----,/,MKB,0,0,TEK TEKE,11578,2022 - 2023 Güz Dönemi
TEK 4902E,Textile Engineering Design II,Ömer Berk Berkalp,----,/,MKB,0,0,TEK TEKE,11580,2022 - 2023 Güz Dönemi
TEK 492E,Senior Design Project,Ömer Berk Berkalp,----,/,MKB,0,0,TEK TEKE,11577,2022 - 2023 Güz Dönemi
