Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
GEO 109E,Analy. Geom. and Vect. Algeb.,Ramazan Alper Kuçak,"Salı
Perşembe","0830/1259
0830/1059","INB
INB / B306
B306",28,35,"GEO, GEOE",30312,2022 - 2023 Yaz Dönemi
GEO 212E,Engineering Surveying,Mustafa Yanalak,"Perşembe
Cuma","1330/1629
0830/1229","INB
INB / B201
B201",60,70,"GEO, GEOE",30277,2022 - 2023 Yaz Dönemi
GEO 216E,Computer Aided Map Design,Mehmet Ufuk Özerman,"Salı
Perşembe","0830/1329
0830/1259","INB
INB / D103
D103",40,45,"GEO, GEOE",30325,2022 - 2023 Yaz Dönemi
GEO 220E,Mathematics for Geomatics Eng.,Mehmet Ufuk Özerman,"Pazartesi
Çarşamba
Çarşamba","1330/1559
0830/1059
1330/1529","INB
INB
INB / B307
B307
B307",21,30,"GEO, GEOE",30313,2022 - 2023 Yaz Dönemi
GEO 225E,Prob.and Stat. for Geom. Eng.,Mustafa Yanalak,"Perşembe
Cuma","0830/1329
1400/1559","INB
INB / B308
B308",29,40,"GEO, GEOE",30298,2022 - 2023 Yaz Dönemi
GEO 301,Özel Ölçme Uygulamaları,Reha Metin Alkan,"Salı
Perşembe","1430/1729
1330/1729","INB
INB / B305
B305",18,30,GEO,30300,2022 - 2023 Yaz Dönemi
GEO 303E,Cadastre,Mustafa Yanalak,Pazartesi,0830/1329,INB / B308,33,40,"GEO, GEOE",30278,2022 - 2023 Yaz Dönemi
GEO 308,Taşınmaz Değerlemesi,Reha Metin Alkan,Salı,0830/1329,INB / B305,25,30,GEO,30220,2022 - 2023 Yaz Dönemi
GEO 314E,Geodesy II and Projections,Mustafa Yanalak,"Salı
Salı","0830/1329
1430/1629","INB
INB / B308
B308",24,30,"GEO, GEOE",30299,2022 - 2023 Yaz Dönemi
GEO 401E,Physical Geodesy,Serdar Erol,Çarşamba,0830/1329,INB / B304,27,35,"GEO, GEOE",30281,2022 - 2023 Yaz Dönemi
GEO 476,Geo. Müh. Proje Planlama Yön.,Reha Metin Alkan,Perşembe,0830/1329,INB / B305,18,30,GEO,30221,2022 - 2023 Yaz Dönemi
