Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
BUS 102,Business Law,Çiçek Ersoy Kekevi,Salı,1330/1629,FEB / D101,21,35,SIS,20970,2023 - 2024 Bahar Dönemi
BUS 112,Principles of Macroeconomics,Ayşe Aylin Bayar,Perşembe,1330/1629,ISB / F237,25,35,SIS,20971,2023 - 2024 Bahar Dönemi
BUS 202,Money & Banking,Oktay Taş,Çarşamba,1230/1529,MED / B37,15,15,SIS,20973,2023 - 2024 Bahar Dönemi
BUS 207,Fundament.of Corporate Finance,Cumhur Enis Ekinci,Çarşamba,0830/1129,MED / B33,21,35,SIS,20974,2023 - 2024 Bahar Dönemi
BUS 209,Business Decision Support Sys.,Tuncay Özcan,Pazartesi,1330/1629,ISB / F237,21,35,SIS,20975,2023 - 2024 Bahar Dönemi
BUS 307,Turkish Business Context,Kaya Tokmakçıoğlu,Salı,0830/1129,MED / B32,5,15,SIS,20979,2023 - 2024 Bahar Dönemi
BUS 311,Marketing Research,Elif Karaosmanoğlu,Pazartesi,0830/1129,ISB / F237,19,35,SIS,20976,2023 - 2024 Bahar Dönemi
BUS 315,Employment Law,Ulaş Baysal,Cuma,1400/1659,MED / B32,15,15,SIS,20977,2023 - 2024 Bahar Dönemi
BUS 321,Business Process Management,Hatice Camgöz Akdağ,Salı,1330/1629,FEB / L300,19,20,SIS,20978,2023 - 2024 Bahar Dönemi
BUS 322,International Business,İdil Vedia Evcimen,Perşembe,1330/1629,ISB / F235,15,15,SIS,20980,2023 - 2024 Bahar Dönemi
