Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
DFH 112,Denizde Güvenlik II,"Yusuf Nejat Koçar, Birgül Arslanoğlu",Pazartesi,0830/1129,DZB / ---,35,120,"DUI, GMI",23970,2023 - 2024 Bahar Dönemi
DFH 112,Denizde Güvenlik II,Sinan Çakır,Pazartesi,1130/1429,DZB / ---,64,70,"DUI, GMI",23971,2023 - 2024 Bahar Dönemi
DFH 112,Denizde Güvenlik II,"Yusuf Nejat Koçar, Birgül Arslanoğlu",Pazartesi,1430/1729,DZB / ---,71,120,"DUI, GMI",23972,2023 - 2024 Bahar Dönemi
DFH 112E,Maritime Safety II,Hakan Çap,Cuma,0830/1129,DZB / ---,56,60,"MEN, MTM",23699,2023 - 2024 Bahar Dönemi
DFH 112E,Maritime Safety II,Hakan Çap,Cuma,1400/1659,DZB / ---,58,60,"MEN, MTM",23700,2023 - 2024 Bahar Dönemi
DFH 172E,Maritime English I,Seda Çınar Alabay,Pazartesi,1230/1429,DZB / ---,45,55,DUI,23977,2023 - 2024 Bahar Dönemi
DFH 172E,Maritime English I,Seda Çınar Alabay,Pazartesi,1430/1629,DZB / ---,34,40,DUI,23978,2023 - 2024 Bahar Dönemi
DFH 172E,Maritime English I,Seda Çınar Alabay,Salı,0830/1029,DZB / ---,62,75,MTM,23706,2023 - 2024 Bahar Dönemi
DFH 172E,Maritime English I,Seda Çınar Alabay,Salı,1330/1529,DZB / ---,22,40,DUI,23979,2023 - 2024 Bahar Dönemi
DFH 172E,Maritime English I,Seda Çınar Alabay,Çarşamba,1230/1429,DZB / ---,21,45,MMD,23899,2023 - 2024 Bahar Dönemi
DFH 184,Denizcilik Gelenekleri,Gizem Çevik,Salı,1030/1329,DZB / ---,41,50,DUI,23980,2023 - 2024 Bahar Dönemi
